P,q
1.0,0.0025513795
2.0,0.005177071
3.0,0.0072022872
4.0,0.0098113226
5.0,0.0124297538
6.0,0.0153223707
7.0,0.0181419568
8.0,0.0201334336
9.0,0.0227100109
10.0,0.0252135574
20.0,0.0499158993
30.0,0.0753216429
40.0,0.1030156844
50.0,0.1270842387
60.0,0.1511425431
70.0,0.1804428347
80.0,0.2113685952
90.0,0.2357783869
100.0,0.2552186687
200.0,0.5294398616
300.0,0.8056901144
400.0,1.0410192125
500.0,1.2542819101
600.0,1.4466377311
700.0,1.6039827658
800.0,1.7097411618
900.0,1.8301099852
1000.0,1.8934622673
2000.0,2.331292486
3000.0,2.4730858077
4000.0,2.5342851764
5000.0,2.5702274255
6000.0,2.600258025
7000.0,2.6178738185
8000.0,2.6302638538
9000.0,2.6470327465
10000.0,2.6525228676
20000.0,2.6969460833
30000.0,2.7085519986
40000.0,2.7146511366
50000.0,2.7166793424
60000.0,2.7200981226
70000.0,2.7225871484
80000.0,2.7241942527
90000.0,2.7247695302
100000.0,2.7252948394
200000.0,2.7285714017
300000.0,2.7312201556
400000.0,2.7312603012
500000.0,2.7319705362
1000000.0,2.7324428874
2000000.0,2.7332406739
3000000.0,2.7336113799
4000000.0,2.7336152236
5000000.0,2.7333773397
