P,q
1.0,5.125e-06
2.0,7.2604e-06
3.0,7.6875e-06
4.0,1.45207e-05
5.0,1.5802e-05
6.0,2.34894e-05
7.0,2.17811e-05
8.0,2.86144e-05
9.0,2.6479e-05
10.0,3.2031e-05
20.0,6.49163e-05
30.0,0.0001097597
40.0,0.0001443532
50.0,0.0001721135
60.0,0.0001994466
70.0,0.0002242173
80.0,0.0002660712
90.0,0.000328425
100.0,0.0003570394
200.0,0.0007179225
300.0,0.001080941
400.0,0.0013764808
500.0,0.0017164369
600.0,0.0021204552
700.0,0.0024219741
800.0,0.0027260555
900.0,0.0031984066
1000.0,0.003417499
2000.0,0.0068627582
3000.0,0.0104109438
4000.0,0.0139540044
5000.0,0.0174560654
6000.0,0.0205374519
7000.0,0.0237234732
8000.0,0.0278076449
9000.0,0.0306631058
10000.0,0.0345068312
20000.0,0.0681411368
30000.0,0.1017647654
40000.0,0.1359350571
50000.0,0.1704606799
60000.0,0.1979121396
70000.0,0.2361256034
80000.0,0.266453878
90000.0,0.2917080081
100000.0,0.3280064424
200000.0,0.6007311449
300000.0,0.8318599053
400000.0,1.0366851985
500000.0,1.2083135168
1000000.0,1.7410828987
2000000.0,2.1479865029
3000000.0,2.3263374969
4000000.0,2.4140820603
5000000.0,2.466776546
