P,q
1.0,5.40969e-05
2.0,0.0001116104
3.0,0.000148624
4.0,0.0002180958
5.0,0.0002625122
6.0,0.0003251507
7.0,0.0003314145
8.0,0.000399178
9.0,0.0004783303
10.0,0.0005204689
20.0,0.0010010769
30.0,0.0014890877
40.0,0.0019970289
50.0,0.0026308165
60.0,0.0030670081
70.0,0.0036603655
80.0,0.0041398346
90.0,0.0047502752
100.0,0.005107884
200.0,0.0102408233
300.0,0.0158446903
400.0,0.0205442852
500.0,0.0255747252
600.0,0.0312156058
700.0,0.0362921705
800.0,0.0400761046
900.0,0.045714138
1000.0,0.0499684302
2000.0,0.1032595475
3000.0,0.1518169034
4000.0,0.2032613241
5000.0,0.2511820452
6000.0,0.3062372901
7000.0,0.3449746394
8000.0,0.3978124818
9000.0,0.4451631926
10000.0,0.4883102915
20000.0,0.9025408904
30000.0,1.3031117434
40000.0,1.6486575319
50000.0,1.9313951391
60000.0,2.1350328636
70000.0,2.3822891839
80000.0,2.4960714279
90000.0,2.6801061529
100000.0,2.8044651903
200000.0,3.4109845586
300000.0,3.6638350653
400000.0,3.758739208
500000.0,3.8267913696
1000000.0,3.9704612835
2000000.0,4.0300099857
3000000.0,4.0480982727
4000000.0,4.0573192276
5000000.0,4.0638797551
