P,q
1.0,0.0003331229
2.0,0.000639482
3.0,0.0009788687
4.0,0.0012687141
5.0,0.0015830454
6.0,0.0020852922
7.0,0.0024149984
8.0,0.0026661218
9.0,0.0028682733
10.0,0.0032560625
20.0,0.0065411665
30.0,0.0095381334
40.0,0.0132110266
50.0,0.0159306758
60.0,0.0191189749
70.0,0.022133025
80.0,0.0261219578
90.0,0.0285796643
100.0,0.0309656213
200.0,0.0654105258
300.0,0.0977257218
400.0,0.1333653131
500.0,0.1665323925
600.0,0.2024937179
700.0,0.2334285894
800.0,0.2759157064
900.0,0.3133217031
1000.0,0.3352309379
2000.0,0.6708866785
3000.0,1.0171049766
4000.0,1.3648607649
5000.0,1.7534522918
6000.0,1.9712577034
7000.0,2.2480537652
8000.0,2.4366770442
9000.0,2.5797792255
10000.0,2.7132726628
20000.0,3.4393575159
30000.0,3.6535617839
40000.0,3.7720732337
50000.0,3.8485252167
60000.0,3.8816222548
70000.0,3.9223503692
80000.0,3.9424134769
90000.0,3.9575549078
100000.0,3.9721576476
200000.0,4.036062572
300000.0,4.0587041076
400000.0,4.0683971289
500000.0,4.0751159609
1000000.0,4.0851711466
2000000.0,4.0912094968
3000000.0,4.0928506252
4000000.0,4.0928728334
5000000.0,4.0936683422
