P,q
1.0,0.0
2.0,5.694e-07
3.0,1.7083e-06
4.0,2.2778e-06
5.0,1.1389e-06
6.0,2.8472e-06
7.0,3.9861e-06
8.0,2.2778e-06
9.0,4.5555e-06
10.0,4.5555e-06
20.0,6.2638e-06
30.0,1.30971e-05
40.0,1.48055e-05
50.0,1.70832e-05
60.0,2.73332e-05
70.0,3.3597e-05
80.0,3.30276e-05
90.0,4.32775e-05
100.0,4.55553e-05
200.0,9.168e-05
300.0,0.0001104715
400.0,0.0001651378
500.0,0.0002198041
600.0,0.000250554
700.0,0.0002966787
800.0,0.000360456
900.0,0.0004037335
1000.0,0.0004361917
2000.0,0.0008763694
3000.0,0.0013102833
4000.0,0.0017624193
5000.0,0.0022834576
6000.0,0.0025932334
7000.0,0.0031125634
8000.0,0.0033693812
9000.0,0.0038966834
10000.0,0.0044456243
20000.0,0.0087597078
30000.0,0.0129673059
40000.0,0.0175382072
50000.0,0.0225578279
60000.0,0.0260775414
70000.0,0.0306860258
80000.0,0.034247878
90000.0,0.0394417476
100000.0,0.0424034092
200000.0,0.0864502245
300000.0,0.1318608505
400000.0,0.1747972563
500000.0,0.2111241627
1000000.0,0.432785258
2000000.0,0.8244591679
3000000.0,1.1681696487
4000000.0,1.4879163523
5000000.0,1.7229775285
