P,q
1.0,1.56032e-05
2.0,2.94726e-05
3.0,3.25066e-05
4.0,5.59113e-05
5.0,5.80784e-05
6.0,7.49818e-05
7.0,8.7551e-05
8.0,9.36189e-05
9.0,0.0001213579
10.0,0.0001018539
20.0,0.0002370813
30.0,0.000359306
40.0,0.0004611599
50.0,0.0005660478
60.0,0.0007086433
70.0,0.0008139646
80.0,0.0009231867
90.0,0.0010670825
100.0,0.0011706701
200.0,0.0022204157
300.0,0.0034071224
400.0,0.0045318499
500.0,0.0055243839
600.0,0.0069022292
700.0,0.0083394532
800.0,0.0093111831
900.0,0.0105698376
1000.0,0.0112381728
2000.0,0.0232595373
3000.0,0.0338657823
4000.0,0.0441777345
5000.0,0.0575362028
6000.0,0.0659978807
7000.0,0.0786897475
8000.0,0.0871171852
9000.0,0.0988689619
10000.0,0.1087869344
20000.0,0.2021739877
30000.0,0.2874105592
40000.0,0.3745628516
50000.0,0.4389739781
60000.0,0.493980736
70000.0,0.5429313024
80000.0,0.5885163549
90000.0,0.6488186504
100000.0,0.6900183493
200000.0,1.0231933973
300000.0,1.2161680245
400000.0,1.3508427611
500000.0,1.4605546159
1000000.0,1.7516739585
2000000.0,2.0176258447
3000000.0,2.1387496741
4000000.0,2.2241890867
5000000.0,2.284322348
