P,q
1.0,0.0001196242
2.0,0.0002184442
3.0,0.0003298334
4.0,0.0004412226
5.0,0.0005560791
6.0,0.000644497
7.0,0.000756753
8.0,0.0008759438
9.0,0.0010220067
10.0,0.001127328
20.0,0.0023110007
30.0,0.0032684277
40.0,0.0044581683
50.0,0.0056310055
60.0,0.0067006885
70.0,0.0077989773
80.0,0.0087178298
90.0,0.0099500456
100.0,0.0110374989
200.0,0.0226982572
300.0,0.035022583
400.0,0.0456132248
500.0,0.0570147973
600.0,0.0702423725
700.0,0.0824306041
800.0,0.0932838991
900.0,0.104008468
1000.0,0.1180170678
2000.0,0.2473776297
3000.0,0.3886334306
4000.0,0.5317403725
5000.0,0.6988068267
6000.0,0.8875256932
7000.0,1.0750049757
8000.0,1.2708900248
9000.0,1.4937000526
10000.0,1.7194872491
20000.0,2.9873537291
30000.0,3.4515727461
40000.0,3.6686347447
50000.0,3.7740644001
60000.0,3.8488693953
70000.0,3.9036746125
80000.0,3.9442688223
90000.0,3.9683098176
100000.0,3.9837651767
200000.0,4.0770672794
300000.0,4.1049041758
400000.0,4.1192989537
500000.0,4.1274841091
1000000.0,4.1445093189
2000000.0,4.1509118137
3000000.0,4.1522107764
4000000.0,4.1523962806
5000000.0,4.1521917059
