P,q
1.0,3.4674e-06
2.0,1.098e-05
3.0,1.098e-05
4.0,2.08042e-05
5.0,2.36937e-05
6.0,1.96484e-05
7.0,2.60053e-05
8.0,3.64074e-05
9.0,3.75632e-05
10.0,4.21863e-05
20.0,9.13074e-05
30.0,0.0001161568
40.0,0.0001635442
50.0,0.000202841
60.0,0.0002542736
70.0,0.0002785452
80.0,0.0003351789
90.0,0.0003623399
100.0,0.0004149284
200.0,0.0008310125
300.0,0.0012280261
400.0,0.0016886082
500.0,0.0020919786
600.0,0.0025045954
700.0,0.0029582427
800.0,0.0033442763
900.0,0.0036956363
1000.0,0.004097851
2000.0,0.0083627135
3000.0,0.0127622255
4000.0,0.016665326
5000.0,0.0201107339
6000.0,0.0240109449
7000.0,0.0284786484
8000.0,0.0319882026
9000.0,0.0367442756
10000.0,0.0407837592
20000.0,0.0795541335
30000.0,0.1143711304
40000.0,0.1464096099
50000.0,0.1808873827
60000.0,0.2078242081
70000.0,0.2411820211
80000.0,0.2604288025
90000.0,0.2968240297
100000.0,0.3123248979
200000.0,0.5187569579
300000.0,0.6412486639
400000.0,0.748128546
500000.0,0.8390284851
1000000.0,1.1213594949
2000000.0,1.3871037723
3000000.0,1.5173462014
4000000.0,1.6042627128
5000000.0,1.6676126802
