P,q
1.0,2.7161e-05
2.0,7.45484e-05
3.0,0.0001115337
4.0,0.0001514084
5.0,0.0001675894
6.0,0.0002109315
7.0,0.0002409821
8.0,0.0002768115
9.0,0.0003265105
10.0,0.0003750536
20.0,0.0006980967
30.0,0.0010488788
40.0,0.0013170219
50.0,0.0016816734
60.0,0.0020307218
70.0,0.0023722575
80.0,0.0028114575
90.0,0.0031356564
100.0,0.0035396047
200.0,0.0070468474
300.0,0.0106361511
400.0,0.0141659316
500.0,0.0177251847
600.0,0.0211653916
700.0,0.0250268837
800.0,0.0278475875
900.0,0.0321690837
1000.0,0.0355237621
2000.0,0.0720507493
3000.0,0.108794447
4000.0,0.1501636135
5000.0,0.1848083979
6000.0,0.2325997076
7000.0,0.2639955682
8000.0,0.3095671846
9000.0,0.3470858391
10000.0,0.4043072338
20000.0,0.7978852754
30000.0,1.2181383563
40000.0,1.5636084019
50000.0,1.787225893
60000.0,1.9477696503
70000.0,2.0700036153
80000.0,2.161635747
90000.0,2.2296418116
100000.0,2.2943504094
200000.0,2.5498185642
300000.0,2.6205285979
400000.0,2.6526936363
500000.0,2.6863606229
1000000.0,2.7285885409
2000000.0,2.7499001398
3000000.0,2.7491471431
4000000.0,2.7513726154
5000000.0,2.7489379452
