P,q
1.0,1.1558e-06
2.0,1.098e-05
3.0,5.7789e-06
4.0,7.5126e-06
5.0,1.098e-05
6.0,1.90705e-05
7.0,1.73368e-05
8.0,1.96484e-05
9.0,2.31158e-05
10.0,2.65832e-05
20.0,5.72116e-05
30.0,8.09053e-05
40.0,0.0001034431
50.0,0.0001271368
60.0,0.0001687452
70.0,0.0001843484
80.0,0.0002236452
90.0,0.000224801
100.0,0.0002872136
200.0,0.0005183715
300.0,0.0007928715
400.0,0.0010771956
500.0,0.0012956398
600.0,0.0015499135
700.0,0.0019012734
800.0,0.0021647934
900.0,0.0023682123
1000.0,0.0026594712
2000.0,0.0053958024
3000.0,0.0076692399
4000.0,0.0104754963
5000.0,0.0135516296
6000.0,0.015831424
7000.0,0.0186532836
8000.0,0.0210631042
9000.0,0.0227309082
10000.0,0.0268663223
20000.0,0.0527403996
30000.0,0.0797280798
40000.0,0.1039366646
50000.0,0.132623933
60000.0,0.1566816873
70000.0,0.1849170421
80000.0,0.2104322467
90000.0,0.233985499
100000.0,0.2553566211
200000.0,0.4969437463
300000.0,0.705785627
400000.0,0.9151568591
500000.0,1.1168975703
1000000.0,1.6952441351
2000000.0,2.1750660187
3000000.0,2.3718171874
4000000.0,2.4459685838
5000000.0,2.5070173747
