P,q
1.0,1.38695e-05
2.0,2.73055e-05
3.0,4.68095e-05
4.0,6.24126e-05
5.0,8.84179e-05
6.0,0.0001048879
7.0,0.0001183239
8.0,0.000123525
9.0,0.0001508305
10.0,0.0001642666
20.0,0.0003272328
30.0,0.0005118702
40.0,0.0006622673
50.0,0.0008343354
60.0,0.0009747638
70.0,0.0011299285
80.0,0.001300263
90.0,0.0015070048
100.0,0.001741919
200.0,0.0033815506
300.0,0.0048465135
400.0,0.0067210593
500.0,0.0081595835
600.0,0.0096007083
700.0,0.0113499954
800.0,0.0132124054
900.0,0.0142608508
1000.0,0.0162381173
2000.0,0.0322122813
3000.0,0.0469108873
4000.0,0.0606910742
5000.0,0.0782277208
6000.0,0.0893042276
7000.0,0.1057018438
8000.0,0.1187036066
9000.0,0.1321357565
10000.0,0.1490001671
20000.0,0.2674315854
30000.0,0.3683220228
40000.0,0.4541315769
50000.0,0.5153800305
60000.0,0.5709142617
70000.0,0.6324717444
80000.0,0.6808436938
90000.0,0.7424492863
100000.0,0.7762127813
200000.0,1.0937591018
300000.0,1.2727983774
400000.0,1.397185
500000.0,1.5045251752
1000000.0,1.7868872467
2000000.0,2.0658326607
3000000.0,2.2083549177
4000000.0,2.2532066218
5000000.0,2.331764176
