P,q
1.0,0.0002591858
2.0,0.0005131705
3.0,0.0007554528
4.0,0.0010549467
5.0,0.0012707903
6.0,0.0015321432
7.0,0.0018507076
8.0,0.0021098934
9.0,0.0023101339
10.0,0.0025376799
20.0,0.0052612974
30.0,0.0076719849
40.0,0.0101203801
50.0,0.0128396634
60.0,0.0159061169
70.0,0.0187519591
80.0,0.021174349
90.0,0.0232369995
100.0,0.0255263291
200.0,0.0553526278
300.0,0.0807623667
400.0,0.1139026023
500.0,0.1397726343
600.0,0.1713027109
700.0,0.2027573723
800.0,0.2457115594
900.0,0.2738847905
1000.0,0.3166426378
2000.0,0.7129731917
3000.0,1.0987256729
4000.0,1.4553427285
5000.0,1.7263392015
6000.0,1.9222246841
7000.0,2.0555497477
8000.0,2.1746334645
9000.0,2.2425986431
10000.0,2.2928199999
20000.0,2.5640565881
30000.0,2.639321443
40000.0,2.6746664912
50000.0,2.6988760874
60000.0,2.7133168079
70000.0,2.7170793355
80000.0,2.7259826694
90000.0,2.7337257354
100000.0,2.7370388054
200000.0,2.7581659115
300000.0,2.7626028421
400000.0,2.7655071962
500000.0,2.7658088572
1000000.0,2.7696121264
2000000.0,2.7718156387
3000000.0,2.7718199729
4000000.0,2.7715789908
5000000.0,2.7714394292
