P,q
1.0,3.0339e-06
2.0,8.6684e-06
3.0,1.77703e-05
4.0,1.95039e-05
5.0,1.73368e-05
6.0,2.55718e-05
7.0,2.77389e-05
8.0,2.77389e-05
9.0,4.1175e-05
10.0,4.33421e-05
20.0,7.71489e-05
30.0,0.0001365276
40.0,0.0001660002
50.0,0.0002236452
60.0,0.0002652536
70.0,0.0003094626
80.0,0.0003311336
90.0,0.0003965802
100.0,0.0004438231
200.0,0.0008841788
300.0,0.0013462056
400.0,0.0017258824
500.0,0.0021237628
600.0,0.0026859099
700.0,0.0030798895
800.0,0.0033044016
900.0,0.0038695826
1000.0,0.0043636825
2000.0,0.0085219235
3000.0,0.013179032
4000.0,0.0173069335
5000.0,0.022005217
6000.0,0.0261677922
7000.0,0.0299394216
8000.0,0.0342896681
9000.0,0.0387942124
10000.0,0.0427279413
20000.0,0.0879571551
30000.0,0.1274699795
40000.0,0.1698178106
50000.0,0.2146669142
60000.0,0.2600491257
70000.0,0.2949867581
80000.0,0.3370489648
90000.0,0.384500328
100000.0,0.426420806
200000.0,0.7820596304
300000.0,1.0991517258
400000.0,1.3466498465
500000.0,1.5315979504
1000000.0,2.0584016578
2000000.0,2.4000769582
3000000.0,2.5105893416
4000000.0,2.5768940844
5000000.0,2.6163661672
