P,q
1.0,1.04021e-05
2.0,3.23621e-05
3.0,3.35179e-05
4.0,5.54779e-05
5.0,7.62821e-05
6.0,8.55284e-05
7.0,0.0001017095
8.0,0.00013176
9.0,0.000147941
10.0,0.0001514084
20.0,0.0002935705
30.0,0.0004640494
40.0,0.0006275936
50.0,0.0008275451
60.0,0.0008743546
70.0,0.0010783514
80.0,0.0012488303
90.0,0.0013586303
100.0,0.0014950135
200.0,0.003044349
300.0,0.0046728561
400.0,0.0062060107
500.0,0.0075825557
600.0,0.008733144
700.0,0.0109337668
800.0,0.0122617687
900.0,0.0137608274
1000.0,0.0154817977
2000.0,0.0301395176
3000.0,0.0452624428
4000.0,0.0597283017
5000.0,0.0720039399
6000.0,0.087982727
7000.0,0.1057928622
8000.0,0.1161146386
9000.0,0.1335416297
10000.0,0.1465881793
20000.0,0.2952874078
30000.0,0.4007965238
40000.0,0.538876938
50000.0,0.6203733754
60000.0,0.7167679369
70000.0,0.8409621206
80000.0,0.8936245044
90000.0,0.9898838386
100000.0,1.0463244976
200000.0,1.5495696072
300000.0,1.8057266124
400000.0,1.9894803525
500000.0,2.1035180377
1000000.0,2.3303237736
2000000.0,2.5117838498
3000000.0,2.6110233867
4000000.0,2.626995817
5000000.0,2.6527652953
