P,q
1.0,3.4674e-06
2.0,4.6232e-06
3.0,5.7789e-06
4.0,2.8895e-06
5.0,1.098e-05
6.0,8.6684e-06
7.0,7.5126e-06
8.0,1.27137e-05
9.0,9.2463e-06
10.0,1.44474e-05
20.0,2.60053e-05
30.0,4.96989e-05
40.0,4.44979e-05
50.0,6.588e-05
60.0,8.2061e-05
70.0,9.70863e-05
80.0,0.0001202021
90.0,0.0001265589
100.0,0.0001358052
200.0,0.0002976157
300.0,0.0004374663
400.0,0.000570382
500.0,0.0006772925
600.0,0.0009292546
700.0,0.0009575714
800.0,0.0011910409
900.0,0.001283504
1000.0,0.0014718977
2000.0,0.0030397259
3000.0,0.0042862446
4000.0,0.0056321613
5000.0,0.0073525536
6000.0,0.0088556576
7000.0,0.0100230048
8000.0,0.0117306835
9000.0,0.0128286834
10000.0,0.0141433937
20000.0,0.028628901
30000.0,0.041037455
40000.0,0.0568139789
50000.0,0.0732568155
60000.0,0.0826869004
70000.0,0.0984882738
80000.0,0.1137111747
90000.0,0.1211197842
100000.0,0.1381116206
200000.0,0.2675334393
300000.0,0.3746138508
400000.0,0.4627947956
500000.0,0.5589605108
1000000.0,0.898404849
2000000.0,1.3061736717
3000000.0,1.3459224216
4000000.0,1.3449082165
5000000.0,1.3471978351
