P,q
1.0,0.0
2.0,0.0
3.0,0.0
4.0,1.1558e-06
5.0,0.0
6.0,0.0
7.0,0.0
8.0,5.779e-07
9.0,4.0453e-06
10.0,1.1558e-06
20.0,4.0453e-06
30.0,1.1558e-06
40.0,1.098e-05
50.0,5.2011e-06
60.0,4.6232e-06
70.0,7.5126e-06
80.0,9.2463e-06
90.0,1.15579e-05
100.0,1.61811e-05
200.0,2.48495e-05
300.0,4.10305e-05
400.0,4.44979e-05
500.0,6.0101e-05
600.0,7.22368e-05
700.0,8.37947e-05
800.0,0.0001005537
900.0,0.0001138452
1000.0,0.0001438958
2000.0,0.0002733442
3000.0,0.0003929684
4000.0,0.0005085473
5000.0,0.0006483978
6000.0,0.0007605094
7000.0,0.0009055609
8000.0,0.0010344314
9000.0,0.0012002872
10000.0,0.001355163
20000.0,0.0026883659
30000.0,0.0038938542
40000.0,0.0053998476
50000.0,0.0065856874
60000.0,0.0077304967
70000.0,0.0094208386
80000.0,0.0102767006
90000.0,0.0120248319
100000.0,0.013159817
200000.0,0.0251147236
300000.0,0.0403832782
400000.0,0.052469367
500000.0,0.0632950675
1000000.0,0.1222738398
2000000.0,0.2266323675
3000000.0,0.3197363968
4000000.0,0.4173324013
5000000.0,0.4911983177
