P,q
1.0,9.1018e-06
2.0,2.14543e-05
3.0,3.90079e-05
4.0,4.35588e-05
5.0,5.9162e-05
6.0,6.17625e-05
7.0,6.76137e-05
8.0,9.10184e-05
9.0,0.0001059714
10.0,0.0001248252
20.0,0.0002366479
30.0,0.0003621232
40.0,0.0004583427
50.0,0.0006215257
60.0,0.0007105937
70.0,0.0007899098
80.0,0.0008906801
90.0,0.0009719466
100.0,0.0011435813
200.0,0.0023196691
300.0,0.0034749528
400.0,0.0047739155
500.0,0.0060241183
600.0,0.0067061062
700.0,0.0081903564
800.0,0.0095062225
900.0,0.0103812995
1000.0,0.0119656699
2000.0,0.0230848687
3000.0,0.0349744732
4000.0,0.0443409175
5000.0,0.0572265235
6000.0,0.066915433
7000.0,0.073600735
8000.0,0.0890641123
9000.0,0.0986145438
10000.0,0.1091505746
20000.0,0.2078444345
30000.0,0.2970671789
40000.0,0.3740947569
50000.0,0.4420406483
60000.0,0.5033109896
70000.0,0.5603476747
80000.0,0.6194049685
90000.0,0.6535141167
100000.0,0.702699814
200000.0,1.0450662042
300000.0,1.2522169484
400000.0,1.4029044234
500000.0,1.5291996153
1000000.0,1.8557392047
2000000.0,2.1539317612
3000000.0,2.3026434866
4000000.0,2.4022995411
5000000.0,2.4768052591
