P,q
1.0,0.0001157234
2.0,0.0002359977
3.0,0.0003595227
4.0,0.0004732957
5.0,0.0006208756
6.0,0.0007359488
7.0,0.000781458
8.0,0.0009231867
9.0,0.0010818188
10.0,0.0012001427
20.0,0.002536813
30.0,0.0036179817
40.0,0.0048103228
50.0,0.0058219274
60.0,0.0070721303
70.0,0.0085128216
80.0,0.0095913898
90.0,0.0111289507
100.0,0.0119377143
200.0,0.0240672174
300.0,0.0361096028
400.0,0.0498273771
500.0,0.0623840165
600.0,0.0754965184
700.0,0.0894112825
800.0,0.1002418229
900.0,0.112890781
1000.0,0.1261957218
2000.0,0.2692714575
3000.0,0.4265512657
4000.0,0.5934361165
5000.0,0.7269542692
6000.0,0.9387157459
7000.0,1.1184601974
8000.0,1.3397246459
9000.0,1.5610937656
10000.0,1.7690084143
20000.0,3.0233603944
30000.0,3.4870913794
40000.0,3.6758577055
50000.0,3.7839641689
60000.0,3.8618785263
70000.0,3.9119373502
80000.0,3.9356619483
90000.0,3.9658560047
100000.0,3.9804924148
200000.0,4.0737264704
300000.0,4.1053963254
400000.0,4.1168191355
500000.0,4.1294498899
1000000.0,4.1419447669
2000000.0,4.1514477388
3000000.0,4.1530288586
4000000.0,4.1514509894
5000000.0,4.1525555628
