P,q
1.0,7.1514e-06
2.0,1.10522e-05
3.0,1.88538e-05
4.0,1.4953e-05
5.0,2.53551e-05
6.0,2.21045e-05
7.0,3.64074e-05
8.0,3.83578e-05
9.0,4.87599e-05
10.0,5.39609e-05
20.0,9.49192e-05
30.0,0.0001657835
40.0,0.0002021909
50.0,0.0002242954
60.0,0.0002795565
70.0,0.0003517211
80.0,0.0004082826
90.0,0.000455092
100.0,0.0005214054
200.0,0.0010155054
300.0,0.0015759187
400.0,0.0020830213
500.0,0.0026330325
600.0,0.003159639
700.0,0.0036030287
800.0,0.0039983086
900.0,0.0046016306
1000.0,0.0052998718
2000.0,0.0104632161
3000.0,0.0158905137
4000.0,0.0209270823
5000.0,0.0256047783
6000.0,0.0319403096
7000.0,0.0364262168
8000.0,0.0418177572
9000.0,0.047152086
10000.0,0.0509488539
20000.0,0.1057302329
30000.0,0.1570119541
40000.0,0.2087897256
50000.0,0.267964043
60000.0,0.3141506838
70000.0,0.3754210251
80000.0,0.4241451291
90000.0,0.4774286052
100000.0,0.5259030586
200000.0,1.0147915314
300000.0,1.4552478093
400000.0,1.8805475719
500000.0,2.1911537389
1000000.0,3.0784063769
2000000.0,3.5942694551
3000000.0,3.790382917
4000000.0,3.8567931979
5000000.0,3.920752483
