P,q
1.0,6.68797e-05
2.0,0.0001088739
3.0,0.0001718652
4.0,0.0002706294
5.0,0.0003413975
6.0,0.0003631722
7.0,0.0004456054
8.0,0.0004977093
9.0,0.0005855861
10.0,0.0006096939
20.0,0.0013119306
30.0,0.0019659517
40.0,0.0024761037
50.0,0.0030181403
60.0,0.0037219323
70.0,0.0043448466
80.0,0.0050673027
90.0,0.0056085616
100.0,0.0062097011
200.0,0.0125127227
300.0,0.0190249377
400.0,0.0246373877
500.0,0.0311612678
600.0,0.0384130477
700.0,0.0436887662
800.0,0.050971653
900.0,0.0560529538
1000.0,0.0641026239
2000.0,0.1269897484
3000.0,0.192356865
4000.0,0.2545759703
5000.0,0.3169187253
6000.0,0.3758490609
7000.0,0.4456426796
8000.0,0.5114818423
9000.0,0.5731806859
10000.0,0.6332339781
20000.0,1.187966758
30000.0,1.7365792689
40000.0,2.1417402965
50000.0,2.4734526529
60000.0,2.7403033787
70000.0,2.8865762516
80000.0,3.0580915399
90000.0,3.1602595927
100000.0,3.276726678
200000.0,3.7247731379
300000.0,3.8980140777
400000.0,3.9745889854
500000.0,4.0208969468
1000000.0,4.116759645
2000000.0,4.1829961975
3000000.0,4.2154250686
4000000.0,4.234313914
5000000.0,4.2462146098
