P,q
1.0,3.57729e-05
2.0,7.15457e-05
3.0,0.0001236497
4.0,0.0001524235
5.0,0.0001780866
6.0,0.0001998614
7.0,0.0002340789
8.0,0.0003157343
9.0,0.0003686159
10.0,0.0003623946
20.0,0.0007527853
30.0,0.0011820596
40.0,0.0015957804
50.0,0.0019573973
60.0,0.0022832414
70.0,0.0028190565
80.0,0.0029232644
90.0,0.0034684116
100.0,0.0038494703
200.0,0.0076756105
300.0,0.0112357873
400.0,0.0148931729
500.0,0.0191104815
600.0,0.0224676862
700.0,0.0267122133
800.0,0.0312732524
900.0,0.0351141683
1000.0,0.038277733
2000.0,0.0791808825
3000.0,0.1180037627
4000.0,0.1604443673
5000.0,0.1996125333
6000.0,0.2517055875
7000.0,0.2906233436
8000.0,0.3406897878
9000.0,0.3883446749
10000.0,0.4375580142
20000.0,0.9457596413
30000.0,1.5134849667
40000.0,1.9928225654
50000.0,2.3592081507
60000.0,2.6092448568
70000.0,2.9060133548
80000.0,3.0753954922
90000.0,3.2354222503
100000.0,3.3164275485
200000.0,3.8082895349
300000.0,3.9319625175
400000.0,4.0034024652
500000.0,4.0473603054
1000000.0,4.1219754828
2000000.0,4.1549417245
3000000.0,4.157446602
4000000.0,4.1577693354
5000000.0,4.1580422978
