P,q
1.0,1.5553e-06
2.0,3.8884e-06
3.0,6.2214e-06
4.0,3.1107e-06
5.0,4.666e-06
6.0,1.16651e-05
7.0,6.999e-06
8.0,7.7767e-06
9.0,1.16651e-05
10.0,1.16651e-05
20.0,2.41078e-05
30.0,2.25525e-05
40.0,4.27719e-05
50.0,5.75476e-05
60.0,8.78768e-05
70.0,7.46564e-05
80.0,9.95419e-05
90.0,0.000127538
100.0,0.0001477574
200.0,0.0002690741
300.0,0.0003989451
400.0,0.0005513686
500.0,0.0007442309
600.0,0.0008181097
700.0,0.0009627564
800.0,0.0010599653
900.0,0.001209278
1000.0,0.001384254
2000.0,0.002711738
3000.0,0.0039785637
4000.0,0.0054048119
5000.0,0.0066335317
6000.0,0.0080068983
7000.0,0.0094463668
8000.0,0.0106618663
9000.0,0.0119963493
10000.0,0.0134715908
20000.0,0.0267339881
30000.0,0.0400710418
40000.0,0.0532183438
50000.0,0.0678478864
60000.0,0.0800860913
70000.0,0.0929059939
80000.0,0.107068934
90000.0,0.1216860338
100000.0,0.1337064909
200000.0,0.2695990143
300000.0,0.3960832767
400000.0,0.5272856677
500000.0,0.6307392103
1000000.0,1.165222221
2000000.0,2.0107960922
3000000.0,2.5339056679
4000000.0,2.8512280044
5000000.0,3.0567834977
