P,q
1.0,1.17891e-05
2.0,2.61208e-05
3.0,3.69853e-05
4.0,4.16084e-05
5.0,5.52467e-05
6.0,6.21815e-05
7.0,7.65133e-05
8.0,8.25234e-05
9.0,0.000101016
10.0,0.0001190463
20.0,0.0002117406
30.0,0.0003428071
40.0,0.000453994
50.0,0.0005395224
60.0,0.0006673527
70.0,0.0007817759
80.0,0.0008666108
90.0,0.000997215
100.0,0.0011130251
200.0,0.0022588746
300.0,0.0033131856
400.0,0.0044405425
500.0,0.0055040998
600.0,0.0067121308
700.0,0.0078383319
800.0,0.0088981907
900.0,0.0097578668
1000.0,0.0105340949
2000.0,0.022610475
3000.0,0.0329351408
4000.0,0.0429299444
5000.0,0.0548960622
6000.0,0.0620406893
7000.0,0.0730553614
8000.0,0.0824757377
9000.0,0.0931367382
10000.0,0.1028019107
20000.0,0.1827973245
30000.0,0.2522836085
40000.0,0.3135859796
50000.0,0.3719815407
60000.0,0.4246876133
70000.0,0.4551059073
80000.0,0.4945599309
90000.0,0.5312245726
100000.0,0.5514730766
200000.0,0.7353117672
300000.0,0.8278911838
400000.0,0.887389599
500000.0,0.9227525908
1000000.0,1.0219359563
2000000.0,1.104143782
3000000.0,1.169260489
4000000.0,1.2165225629
5000000.0,1.2438105171
