P,q
1.0,3.67541e-05
2.0,6.77293e-05
3.0,0.0001104935
4.0,0.0001400817
5.0,0.0001828459
6.0,0.0002145145
7.0,0.0002586656
8.0,0.0003058218
9.0,0.0003176109
10.0,0.0003603751
20.0,0.0007189009
30.0,0.0010459893
40.0,0.0014662343
50.0,0.0018610519
60.0,0.0021913765
70.0,0.0025431988
80.0,0.0028760661
90.0,0.0032560896
100.0,0.0036610782
200.0,0.0070320533
300.0,0.0106989104
400.0,0.0141665095
500.0,0.0176431237
600.0,0.0214366553
700.0,0.0252260262
800.0,0.0290546938
900.0,0.0315717717
1000.0,0.0350643359
2000.0,0.0702532658
3000.0,0.1045064687
4000.0,0.1378731812
5000.0,0.1671759074
6000.0,0.19613652
7000.0,0.2327033819
8000.0,0.2550031807
9000.0,0.2840694324
10000.0,0.3118164662
20000.0,0.5673714208
30000.0,0.7911366217
40000.0,0.9517379373
50000.0,1.0869960296
60000.0,1.168569327
70000.0,1.2810807924
80000.0,1.3517411272
90000.0,1.4053410873
100000.0,1.4608245216
200000.0,1.7376034663
300000.0,1.8408979743
400000.0,1.8955524765
500000.0,1.9246538642
1000000.0,2.0002399419
2000000.0,2.0364737053
3000000.0,2.0372399936
4000000.0,2.0371805861
5000000.0,2.0384036423
