P,q
1.0,2.5427e-06
2.0,5.0855e-06
3.0,5.0855e-06
4.0,1.01709e-05
5.0,9.9398e-06
6.0,1.27137e-05
7.0,1.15579e-05
8.0,1.54876e-05
9.0,2.24223e-05
10.0,2.24223e-05
20.0,4.64627e-05
30.0,6.61111e-05
40.0,8.41415e-05
50.0,0.0001102623
60.0,0.0001384636
70.0,0.0001423932
80.0,0.0001645844
90.0,0.0001994892
100.0,0.0002191377
200.0,0.0004331898
300.0,0.0006548702
400.0,0.0008820984
500.0,0.0010709544
600.0,0.0012665139
700.0,0.0015036819
800.0,0.0017024776
900.0,0.0020237871
1000.0,0.0021206422
2000.0,0.0043346722
3000.0,0.0065431544
4000.0,0.0088075768
5000.0,0.0109573449
6000.0,0.013610806
7000.0,0.0150879047
8000.0,0.0173363772
9000.0,0.0188347425
10000.0,0.0215041534
20000.0,0.041009716
30000.0,0.0649174489
40000.0,0.0845066906
50000.0,0.1063619729
60000.0,0.1214184401
70000.0,0.142587877
80000.0,0.1551526936
90000.0,0.1751101698
100000.0,0.1929007723
200000.0,0.3452042141
300000.0,0.4874633846
400000.0,0.5930428881
500000.0,0.6920785437
1000000.0,1.022872608
2000000.0,1.3536574259
3000000.0,1.5307379853
4000000.0,1.6373006032
5000000.0,1.6900147664
