P,q
1.0,6.2135e-06
2.0,7.545e-06
3.0,1.15394e-05
4.0,1.37585e-05
5.0,1.81967e-05
6.0,2.2635e-05
7.0,2.61856e-05
8.0,3.5062e-05
9.0,4.527e-05
10.0,5.19273e-05
20.0,8.29949e-05
30.0,0.0001224952
40.0,0.000165546
50.0,0.0001837428
60.0,0.0002356701
70.0,0.0002942547
80.0,0.0003239909
90.0,0.0003630473
100.0,0.0004025475
200.0,0.0008086457
300.0,0.0012484744
400.0,0.0016186228
500.0,0.0020367042
600.0,0.0024592238
700.0,0.0028218272
800.0,0.0032656503
900.0,0.0037116925
1000.0,0.0041497459
2000.0,0.0081778843
3000.0,0.0119246388
4000.0,0.0161618179
5000.0,0.020318665
6000.0,0.0241226727
7000.0,0.0284029026
8000.0,0.0332596587
9000.0,0.0358165235
10000.0,0.0397874087
20000.0,0.0799369771
30000.0,0.1193147371
40000.0,0.1589898586
50000.0,0.1971843863
60000.0,0.2310352174
70000.0,0.2650573641
80000.0,0.3108048732
90000.0,0.3352852673
100000.0,0.3745831392
200000.0,0.670958436
300000.0,0.9409000732
400000.0,1.1842251958
500000.0,1.3727732286
1000000.0,2.11197701
2000000.0,2.9319459423
3000000.0,3.4152936999
4000000.0,3.682644298
5000000.0,3.8961813461
