P,q
1.0,3.72811e-05
2.0,9.18714e-05
3.0,0.0001171693
4.0,0.0001646584
5.0,0.0002054901
6.0,0.0002476533
7.0,0.0002862659
8.0,0.000353727
9.0,0.0003830193
10.0,0.0004513681
20.0,0.0008308368
30.0,0.0013217052
40.0,0.0017446686
50.0,0.0021520982
60.0,0.0025981404
70.0,0.0029989126
80.0,0.0034085613
90.0,0.0037676142
100.0,0.0043006458
200.0,0.0084428467
300.0,0.0131287309
400.0,0.0170485764
500.0,0.0217597586
600.0,0.0258331669
700.0,0.0305012982
800.0,0.034819253
900.0,0.0393497992
1000.0,0.0425772807
2000.0,0.0897605574
3000.0,0.1370139582
4000.0,0.1863111644
5000.0,0.2361010141
6000.0,0.2978545592
7000.0,0.3448385594
8000.0,0.4089767659
9000.0,0.4610709451
10000.0,0.544432905
20000.0,1.6421046091
30000.0,3.6445593946
40000.0,4.9694569824
50000.0,5.5232705324
60000.0,5.7871566474
70000.0,5.9530652642
80000.0,6.0752013847
90000.0,6.1569993121
100000.0,6.2153491778
200000.0,6.458878459
300000.0,6.5267532122
400000.0,6.5631795486
500000.0,6.5809750793
1000000.0,6.6179455429
2000000.0,6.6355559994
3000000.0,6.635860462
4000000.0,6.6368506313
5000000.0,6.6376663782
