P,q
1.0,4.8821e-06
2.0,1.02079e-05
3.0,1.46462e-05
4.0,1.46462e-05
5.0,1.9972e-05
6.0,2.52979e-05
7.0,2.79609e-05
8.0,3.10676e-05
9.0,3.55058e-05
10.0,4.79329e-05
20.0,9.71973e-05
30.0,0.0001238266
40.0,0.0001770854
50.0,0.0002059339
60.0,0.0002365577
70.0,0.0002862659
80.0,0.0003355303
90.0,0.0003670417
100.0,0.0004207443
200.0,0.0008481459
300.0,0.0012471429
400.0,0.0016962919
500.0,0.0021046091
600.0,0.0024951734
700.0,0.0029154739
800.0,0.0033082573
900.0,0.0036424561
1000.0,0.0040889421
2000.0,0.008472139
3000.0,0.0129356678
4000.0,0.0173849943
5000.0,0.0211850077
6000.0,0.0252903713
7000.0,0.0294023922
8000.0,0.0337057009
9000.0,0.0384102257
10000.0,0.0427428267
20000.0,0.0850289595
30000.0,0.1260892528
40000.0,0.1701875153
50000.0,0.2191491911
60000.0,0.260965759
70000.0,0.3106584116
80000.0,0.3449268801
90000.0,0.3957592704
100000.0,0.4327843242
200000.0,0.9205574418
300000.0,1.473911191
400000.0,2.0358946364
500000.0,2.5512748818
1000000.0,4.4450564765
2000000.0,5.6137886958
3000000.0,5.9645895746
4000000.0,6.1439038679
5000000.0,6.2487388767
