Nmae,R2,qb1,qd1,b1,d1,nb1,nd1,isotherm
AEL-1_298K,0.9996,1.978491265,1.125518421,0.000434975,3.20E-07,1.622052108,0.593241656,good
AFY-0_298K,1,3.711878629,4.585478094,1.00E-06,8.28E-29,0.777231906,0.162707953,good
AHT-1_298K,0.9999,0.033218724,2.68786602,0.012563531,0.000154823,0.515529801,0.721844927,good
APC-0_298K,1,1.004873655,2.944889028,2.56E-06,8.19E-14,0.93041259,0.421208445,good
APC-1_298K,0.9998,0.033525527,4.05877105,6.55E-19,5.40E-06,0.302402429,0.719011017,good
APC-2_298K,0.9999,0.958001887,3.010415893,9.21E-06,2.92E-12,1.024270152,0.462972115,good
APD-0_298K,1,1.772045915,2.388323598,4.10E-05,2.17E-11,0.932437353,0.382892901,good
ATV-0_298K,1,1.929303324,0.834624651,5.45E-06,8.09E-14,0.862376809,0.346678928,good
ATV-1_298K,0.9999,0.183472672,2.467729166,9.92E-06,2.46E-09,0.88238399,0.622330674,good
AWO-0_298K,1,1.46904905,1.30331009,8.79E-05,1.02E-09,0.880837152,0.398070807,good
BIK-0_298K,0.9997,0.912774163,0.481650237,7.39E-08,8.59E-72,0.782311904,0.08464754,good
DFT-0_298K,1,1.935816215,2.222427309,3.76E-05,9.31E-12,0.91804834,0.369371309,good
GIS-1_298K,0.9999,0.113000707,4.025936332,1.63E-05,2.22E-08,0.68293983,0.606153464,good
JNT-0_298K,1,0.367616462,1.689093688,0.000251788,1.74E-06,1.255322651,0.812763459,good
SBN-0_298K,1,2.518599615,4.128621348,1.89E-06,1.64E-21,0.78092016,0.214065733,good
ACO-0_298K,1,2.345896245,3.88304767,9.18E-07,2.72E-24,0.773883142,0.198014307,good
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
