Nmae,R2,qb1,qd1,b1,d1,nb1,nd1,isotherm,,,,
AEL-1_CO2_298K,1,0.545716204,1.58001467,0.000429089,8.16E-05,2.040973153,0.96230177,good,,,,
AEL-1_ethane_298K,1,1.366278477,0.269142439,5.47E-05,2.97E-07,1.047692669,0.649075799,good,,,,
AEL-1_methane_298K,1,0,1.65165131,0,1.33E-06,1,0.942623104,good,,,,
AEL-1_N2_298K,1,0.301990712,1.255557023,2.96E-06,5.86E-08,1.011204836,0.86072508,good,,,,
AFY-0_CO2_298K,1,5.450256871,2.6033036,7.17E-06,3.75E-11,1.094948221,0.501943005,good,,,,
AFY-0_ethane_298K,1,5.255591877,1.078600499,3.70E-06,6.88E-15,1.004965802,0.364191677,good,,,,
AFY-0_methane_298K,1,4.218009542,3.301803681,1.15E-06,2.30E-11,1.04816765,0.582518558,good,,,,
AFY-0_N2_298K,1,0,7.62461844,0,1.47E-07,1,1.00423138,good,,,,
AHT-1_CO2_298K,0.9998,1.126242,1.614538,0.000968,0.050928,1.230508,1.183849,good,,,,
AHT-1_ethane_298K,1,1.538043896,1.167840036,1.76E-05,7.04E-08,1.053947469,0.692403668,good,,,,
AHT-1_methane_298K,1,2.38235437,0.342378151,1.15E-06,3.00E-13,0.97562653,0.459523555,good,,,,
AHT-1_N2_298K,1,0,2.70035716,0,2.61E-06,1,1.02381116,good,,,,
APC-0_CO2_298K,1,2.360891239,1.758505328,2.24E-06,2.96E-12,0.977108809,0.478570495,good,,,,
APC-0_ethane_298K,0.9984,0,0.306140784,0,4.96E-08,1.5,0.918267715,bad,,,,
APC-0_methane_298K,1,0,15.3603572,0,1.66E-08,1,1.00878917,good,,,,
APC-0_N2_298K,0.9999,0,7.523413879,0,2.41E-08,1.5,1.003814828,good,,,,
APC-1_CO2_298K,1,2.149913062,1.940898431,3.06E-05,1.35E-08,1.036088136,0.607851489,good,,,,
APC-1_ethane_298K,0.9967,0,1.101295095,0,3.62E-09,1.5,0.77233055,good,,,,
APC-1_methane_298K,0.9999,0,5.15187377,0,3.99E-08,1,0.943084316,good,,,,
APC-1_N2_298K,1,0,9.55724952,0,5.66E-08,1,1.04022971,good,,,,
APC-2_CO2_298K,0.9999,0,3.83980615,0,1.50E-06,1,1.02033294,good,,,,
APC-2_ethane_298K,0.9988,0,0.062503143,0,2.65E-08,1.5,0.85457117,bad,,,,
APC-2_methane_298K,1,0,7.396373832,0,2.85E-08,1.5,1.007439907,good,,,,
APC-2_N2_298K,1,0,3.292650823,0,3.42E-08,1.5,0.993675481,good,,,,
APD-0_CO2_298K,1,0.954212252,1.691761167,1.64E-06,8.28E-06,1.095227749,1.027565878,good,,,,
APD-0_ethane_298K,0.9999,1.012788591,1.070765004,6.76E-07,7.15E-13,0.928518706,0.513114962,good,,,,
APD-0_methane_298K,1,1.755432434,2.362504394,5.65E-06,2.63E-10,1.077360365,0.592806809,good,,,,
APD-0_N2_298K,1,0.373485211,3.228572675,1.19E-06,3.90E-10,0.957211226,0.696380684,good,,,,
ATV-0_CO2_298K,1,1.778280049,0.226805683,5.63E-06,1.95E-07,1.140051636,0.754521871,good,,,,
ATV-0_ethane_298K,0.9999,0.991938156,1.032490458,1.95E-07,3.57E-16,0.882458063,0.406458783,good,,,,
ATV-0_methane_298K,0.9997,0,2.77146694,0,1.13E-07,1,0.841467385,good,,,,
ATV-0_N2_298K,1,0,3.24281036,0,1.16E-07,1,0.990256474,good,,,,
