Name,henry
ACAJOF_FSR,2.01E-05
ACODAA_FSR,3.97E-06
AGAWOU_FSR,0.000243303
AHOMOB01_FSR,7.95E-05
AHUTIH01_freeONLY,1.81E-05
AKAYIV_FSR,8.31E-06
AKEDIF_freeONLY,0.000954262
AKUKUO_freeONLY,0.00111909
ALAMUW_freeONLY,0.000139724
ALULAV_FSR,0.000241073
AMAFOK_freeONLY,1.83E-06
AMILUE_FSR,7.24E-06
ANAWIX_FSR,0.000438727
ANUGOG_freeONLY,5.18E-06
APAZIC_FSR,9.58E-05
ARICOT_FSR,0.000246241
ATULIM_freeONLY,1.12E-06
AVELUJ_freeONLY,4.16E-05
AVESOL_FSR,7.14E-05
BEPLUF_FSR,1.17E-05
BEPVOJ_FSR,1.76E-05
BEVYUX_FSR,4.60E-05
BIBXOB_freeONLY,3.72E-06
BIFVUK_FSR,1.82E-06
BIJYOK_FSR,1.37E-06
BOLFUE_FSR,1.51E-06
BOLPIC_FSR,5.59E-06
BONWEH_FSR,0.0716092
BOTCEU_FSR,6.11E-07
BUCVAY_freeONLY,0.00122679
BUKTAE_FSR,4.73E-06
BUSQEM_FSR,2.95E-06
BUVYIB_FSR,7.80E-06
BUYDAC_FSR,0.000169908
CACKEZ_FSR,6.40E-05
CADZOY_FSR,4.73E-05
CAGVOY_FSR,6.85E-05
CAXVII_FSR,1.25E-06
CAYSOK_FSR,4.97E-06
CECJUS_FSR,9.45E-05
CECVOX_FSR,0.00106996
CEGDUO_FSR,4.92E-07
CEJZAU_freeONLY,1.76E-05
CELZEA_FSR,8.21E-06
CENPUI_freeONLY,2.65E-06
CESYEF01_FSR,2.45E-07
CEVGIW_FSR,0.000662181
CEZZIR_FSR,0.00568932
CIQPID_FSR,4.53E-05
COJMOF01_FSR,1.32E-05
COKNOH_FSR,2.97E-06
COKXIL_FSR,0.000416227
COLVEE_FSR,6.43E-07
COMDOY_freeONLY,3.27E-06
CUMDIY_freeONLY,0.000504071
CUMJEB_FSR,2.02E-05
CUPXOC_FSR,1.52E-05
CUVGIK_freeONLY,1.61E-05
DABWUA_FSR,0.000704104
DAJHOM_manual,4.23E-06
DAQLUF_FSR,2.76E-05
DARSEV_SL,3.78E-05
DATHAJ_FSR,8.23E-05
DAWBOU_freeONLY,2.35E-06
DAWLAQ_FSR,4.12E-06
DICKUX_FSR,5.88E-06
DIDDIE_FSR,0.000188024
DIFHUY_FSR,1.20E-05
DONNAW01_SL,3.56E-06
