Name,Uptake
ACAJOF_FSR,0.126427613
ACODAA_FSR,0.546252821
AGAWOU_FSR,0.485553814
AHOMOB01_FSR,0.200551879
AKAYIV_FSR,0.164399123
AKEDIF_freeONLY,0.568132902
AKUKUO_freeONLY,0.336690398
ALAMUW_freeONLY,0.422379854
ALULAV_FSR,0.280544805
AMAFOK_freeONLY,0.419050904
AMILUE_FSR,0.159671457
ANAWIX_FSR,0.325305522
ANUGOG_freeONLY,0.322577382
APAZIC_FSR,0.386015719
ARICOT_FSR,0.241333406
ATULIM_freeONLY,0.351602097
AVELUJ_freeONLY,0.263827235
AVESOL_FSR,0.637775514
BEPLUF_FSR,0.111486158
BEPVOJ_FSR,0.169451997
BEVYUX_FSR,0.189685838
BIBXOB_freeONLY,0.277340392
BIFVUK_FSR,0.363155143
BIJYOK_FSR,0.307739686
BOLFUE_FSR,0.333506923
BOLPIC_FSR,0.447185094
BONWEH_FSR,0.129324043
BOTCEU_FSR,0.130745832
BUKTAE_FSR,0.238683794
BUSQEM_FSR,0.560145165
BUVYIB_FSR,0.466584062
BUYDAC_FSR,0.35647277
CACKEZ_FSR,0.238616181
CADZOY_FSR,0.169922968
CAGVOY_FSR,0.433713942
CAXVII_FSR,0.242994648
CAYSOK_FSR,0.065270542
CECJUS_FSR,0.210429031
CECVOX_FSR,0.689316972
CEGDUO_FSR,0.081748654
CEJZAU_freeONLY,0.387635669
CELZEA_FSR,0.086346965
CENPUI_freeONLY,0.519496728
CESYEF01_FSR,0.025155019
CEVGIW_FSR,0.540122076
CEZZIR_FSR,0.039668607
CIQPID_FSR,0.372681965
COJMOF01_FSR,0.323561194
COKNOH_FSR,0.318013327
COKXIL_FSR,0.147553077
COLVEE_FSR,0.213755462
COMDOY_freeONLY,0.598880818
CUMDIY_freeONLY,0.300194501
CUMJEB_FSR,0.125724528
CUPXOC_FSR,0.257353047
CUVGIK_freeONLY,0.524011655
DABWUA_FSR,0.27309682
DAQLUF_FSR,0.103712857
DARSEV_SL,0.257290117
DAWBOU_freeONLY,0.3487264
DAWLAQ_FSR,0.128548777
DICKUX_FSR,0.430114536
DIDDIE_FSR,0.445317625
DIFHUY_FSR,0.099306442
DONNAW01_SL,0.577835342
DOYBEA_FSR,0.816218013
