pacmof,mpnn,cof,opt_core,ddec_core,zeolites,cof-test
ABACUF01_FSR,ABACUF01_FSR,05000N2_ddec,ABUWOJ_clean_min_charges,ABAVIJ_clean,ABW.new,07000N2_ddec
ABALOF_FSR,ABALOF_FSR,05001N2_ddec,ACOLIP_clean_min_charges,ABAVOP_clean,ACO.new,19110N2_ddec
ABAVIJ_FSR,ABAVIJ_FSR,07000N2_ddec,AFITIT_clean_min_charges,ABEXIQ_clean,AEI.new,19531N2_ddec
ABAVOP_FSR,ABAVOP_FSR,07001N2_ddec,AGARUW_clean_min_charges,ABEXOW_clean,AEL.new,19330N2_ddec
ABAXUZ_FSR,ABAXUZ_FSR,07002N2_ddec,AHOKIR01_clean_min_charges,ABEXUC_clean,AEN.new,21230N2_ddec
ABAYEI_FSR,ABAYEI_FSR,07010N3_ddec,AMIKOX_clean_min_charges,ABEYAJ_clean,AET.new,20672N2_ddec
ABAYIM_FSR,ABAYIM_FSR,07011N3_ddec,AMILUE_clean_min_charges,ABEYIR,AFG.new,15163N2_ddec
ABAYOS01_FSR,ABAYOS01_FSR,07012N3_ddec,AMIMEP_clean_min_charges,ABIYIV,AFI.new,16332N3_ddec
ABAZAF_FSR,ABAZAF_FSR,07013N3_ddec,AMUCOB_clean_min_charges,ABUWOJ_clean,AFN.new,10020N2_ddec
ABAZAF01_FSR,ABAZAF01_FSR,08000N3_ddec,ANUGIA_clean_min_charges,ACAKUM,AFO.new,20472N2_ddec
ABEREH01_FSR,ABECAM_FSR,08010N2_ddec,APEBED_clean_min_charges,ACALIB_clean,AFR.new,13040N3_ddec
ABEWUB_FSR,ABENAY_FSR,08011N2_ddec,AROFET_clean_min_charges,ACODED,AFS.new,19283N2_ddec
ABEXEM_FSR,ABEREH01_FSR,08012N2_ddec,ATOXEN_clean_min_charges,ACOLIP_clean,AFT.new,19292N2_ddec
ABEXOW_FSR,ABEWUB_FSR,08013N2_ddec,AVAQIX_clean_min_charges,ACOLUB_clean,AFX.new,21071N2_ddec
ABEXUC_FSR,ABEXEM_FSR,08020N2_ddec,AVEMOE_clean_min_charges,ACUBAB_clean,AFY.new,20521N3_ddec
ABEXUD_FSR,ABEXOW_FSR,08030N2_ddec,AVIMOI_clean_min_charges,ACUTOI_clean,AHT.new,21041N3_ddec
ABEYAJ_FSR,ABEXUC_FSR,09000N3_ddec,BAEDTA01_clean_min_charges,ADABAK,ANA.new,10010N2_ddec
ABEYEN_FSR,ABEXUD_FSR,09010N2_ddec,BALMUW_clean_min_charges,ADABAK01_clean,APC.new,21190N2_ddec
ABEYIR_FSR,ABEYAJ_FSR,10000N2_ddec,BALMUW01_clean_min_charges,ADABIS_clean,APD.new,13190N2_ddec
ABEYOX_FSR,ABEYIR_FSR,10010N2_ddec,BARZAW_clean_min_charges,ADABUE_clean,AST.new,20260N3_ddec
ABIFAT01_FSR,ABEYOX_FSR,10020N2_ddec,BENXUP_clean_min_charges,ADAXEK_clean,ASV.new,18140N2_ddec
ABIGEZ_FSR,ABIFAT01_FSR,11000N2_ddec,BERGAI_clean_min_charges,ADEGIA_clean,ATN.new,19360N2_ddec
ABIQAE_FSR,ABIGEZ_FSR,11001N2_ddec,BETGAK_clean_min_charges,ADIQEL_clean,ATO.new,11000N2_ddec
ABIVOY_FSR,ABIQAE_FSR,11002N2_ddec,BIBBUL_clean_min_charges,ADOBAX,ATS.new,13050N2_ddec
ABIWAL_FSR,ABITUA_FSR,11003N2_ddec,BICDAU_clean_min_charges,ADOBOL_clean,ATT.new,19080N2_ddec
ABIWEP01_FSR,ABIVOY_FSR,11010N2_ddec,BOJCIN_clean_min_charges,AFITIT_clean,ATV.new,19363N2_ddec
ABIWUF_FSR,ABIWAL_FSR,11020N2_ddec,BONWAD_clean_min_charges,AFIXAO_clean,AWO.new,20630N2_ddec
ABIXAM_FSR,ABIWEP01_FSR,11030N2_ddec,BONWIL_clean_min_charges,AFOQUI_clean,AWW.new,17131N2_ddec
ABOTUJ_FSR,ABIWUF_FSR,11031N2_ddec,BOWQAG_clean_min_charges,AFOTUL_clean,BCT.new,16057N2_ddec
ABOVOF_FSR,ABIXAL01_FSR,11040N2_ddec,BUDDIO_clean_min_charges,AFOVAT_clean,BEC.new,21260N2_ddec
ABOVUL_FSR,ABIXAM_FSR,12000N2_ddec,BUKMUQ_clean_min_charges,AFOVIB_clean,BIK.new,19020N3_ddec
ABUSOG_FSR,ABOTUJ_FSR,12001N2_ddec,BUVXOG_clean_min_charges,AFOVOH_clean,BOF.new,20564N3_ddec
