group,atom,ori,fsr
Transition Metal,Ag,0.2179308087,0.199043166
Transition Metal,Ag,0.2179308087,0.199043166
Transition Metal,Ag,0.2179308087,0.199043166
Transition Metal,Ag,0.2179308087,0.199043166
Nonmetal,H,0.0492309868,0.1217124106
Nonmetal,H,0.0330289207,0.0889662288
Nonmetal,H,-0.2003171196,0.0889662288
Nonmetal,H,-0.2094512421,0.1255654544
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.11028767,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1364526227,0.1217124106
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1364526227,0.1217124106
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1315857035,0.1255654544
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.11028767,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1364526227,0.1217124106
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1364526227,0.1217124106
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1315857035,0.1255654544
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.11028767,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1364526227,0.1217124106
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1364526227,0.1217124106
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1315857035,0.1255654544
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.11028767,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1364526227,0.1217124106
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1315857035,0.1217124106
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1010509631,0.0889662288
Nonmetal,H,0.1364526227,0.1217124106
Nonmetal,C,0.1315857035,0.0836088999
Nonmetal,C,0.1010509631,-0.2107731666
Nonmetal,C,0.1010509631,0.0175141022
Nonmetal,C,0.1315857035,0.0687111821
Nonmetal,C,0.1010509631,-0.2107731666
Nonmetal,C,-0.2003171196,0.0889662288
Nonmetal,C,0.0374071924,-0.1997717166
Nonmetal,C,0.081985414,0.0417162814
Nonmetal,C,-0.2003171196,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.1912049833,0.0836088999
Nonmetal,C,0.0710344003,-0.1906470008
Nonmetal,C,0.0710344003,0.0175141022
Nonmetal,C,-0.2094512421,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.180224078,0.0836088999
Nonmetal,C,0.0374071924,-0.1997717166
Nonmetal,C,0.0710344003,0.0293503087
Nonmetal,C,-0.2094512421,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.180224078,0.0836088999
Nonmetal,C,0.0492309868,-0.2107731666
Nonmetal,C,0.0710344003,0.0175141022
Nonmetal,C,-0.2003171196,0.0687111821
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.2003171196,0.0889662288
Nonmetal,C,0.0374071924,-0.1997717166
Nonmetal,C,0.081985414,0.0417162814
Nonmetal,C,-0.2003171196,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.1912049833,0.0836088999
Nonmetal,C,0.0710344003,-0.1906470008
Nonmetal,C,0.0710344003,0.0175141022
Nonmetal,C,-0.2094512421,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.180224078,0.0836088999
Nonmetal,C,0.0374071924,-0.1997717166
Nonmetal,C,0.0710344003,0.0293503087
Nonmetal,C,-0.2094512421,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.180224078,0.0836088999
Nonmetal,C,0.0492309868,-0.2107731666
Nonmetal,C,0.0710344003,0.0175141022
Nonmetal,C,-0.2003171196,0.0687111821
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.2003171196,0.0889662288
Nonmetal,C,0.0374071924,-0.1997717166
Nonmetal,C,0.081985414,0.0417162814
Nonmetal,C,-0.2003171196,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.1912049833,0.0836088999
Nonmetal,C,0.0710344003,-0.1906470008
Nonmetal,C,0.0710344003,0.0175141022
Nonmetal,C,-0.2094512421,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.180224078,0.0836088999
Nonmetal,C,0.0374071924,-0.1906470008
Nonmetal,C,0.0710344003,0.0293503087
Nonmetal,C,-0.2094512421,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.180224078,0.0836088999
Nonmetal,C,0.0492309868,-0.2107731666
Nonmetal,C,0.0710344003,0.0175141022
Nonmetal,C,-0.2003171196,0.0687111821
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.2003171196,0.0889662288
Nonmetal,C,0.0374071924,-0.1997717166
Nonmetal,C,0.081985414,0.0417162814
Nonmetal,C,-0.2003171196,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.1912049833,0.0836088999
Nonmetal,C,0.0710344003,-0.1906470008
Nonmetal,C,0.0710344003,0.0175141022
Nonmetal,C,-0.2094512421,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.180224078,0.0836088999
Nonmetal,C,0.0374071924,-0.1997717166
Nonmetal,C,0.0710344003,0.0293503087
Nonmetal,C,-0.2094512421,0.0528083125
Nonmetal,C,0.1010509631,-0.2203142868
Nonmetal,C,-0.1912049833,-0.0411965986
Nonmetal,C,0.0492309868,-0.0411965986
Nonmetal,C,0.0710344003,-0.0211255862
Nonmetal,C,-0.2003171196,-0.0211255862
Nonmetal,N,-0.0297179157,-0.2203142868
Nonmetal,N,-0.0297179157,-0.2107731666
