DDEC,GCN,DDEC_ions_NH4,GCN_ions_NH4,DDEC_ions_ClO4,GCN_ions_ClO4,DDEC_ions_BF4,GCN_ions_BF4
1.456860949,1.472456,0.319705372,0.348817,1.281666,1.281767914,1.03022,1.053763598
1.485148837,1.46641,0.319705372,0.355787,1.285975,1.281767914,1.032482,1.053763598
1.439110328,1.424701,0.326870789,0.354472,-0.510466,-0.506085447,1.036281,1.053763598
1.456860949,1.465351,0.326870789,0.357712,-0.525475,-0.525419048,1.034034,1.056537638
0.479238537,0.470108,0.312382509,0.350057,-0.498624,-0.502106181,0.137981,0.130703815
0.469635107,0.466221,0.319705372,0.352154,-0.509134,-0.502106181,-0.447617,-0.449431981
0.479238537,0.457725,0.319705372,0.354373,-0.510773,-0.502106181,-0.461875,-0.459275037
0.469635107,0.458734,0.312382509,0.354446,-0.526067,-0.525419048,-0.461914,-0.449431981
0.462871705,0.453321,0.319705372,0.351583,-0.514627,-0.506085447,-0.448474,-0.444630881
0.469635107,0.468516,0.326870789,0.351098,-0.497594,-0.502106181,-0.463953,-0.459275037
0.479238537,0.460584,0.319705372,0.35901,1.282277,1.317582563,-0.461172,-0.449431981
0.462871705,0.456966,0.326870789,0.354186,1.303497,1.307841674,-0.451178,-0.449431981
0.479238537,0.468063,0.319705372,0.358214,1.285435,1.317582563,-0.448065,-0.449431981
0.479238537,0.472354,0.319705372,0.36234,1.281694,1.307841674,-0.452441,-0.449431981
0.479238537,0.466776,0.319705372,0.370802,-0.514961,-0.488793959,-0.469037,-0.459275037
0.479238537,0.471487,0.319705372,0.36174,-0.50817,-0.469047709,-0.458794,-0.449431981
0.479238537,0.465554,-0.739298533,-0.695217,-0.512277,-0.498261913,-0.446205,-0.444630881
0.436302115,0.425683,-0.756716441,-0.695804,-0.524255,-0.498261913,-0.454544,-0.449431981
0.469635107,0.470927,-0.752821873,-0.689281,-0.505102,-0.478863663,-0.459129,-0.449431981
0.469635107,0.490414,-0.739298533,-0.678518,-0.497041,-0.469047709,-0.447288,-0.449431981
-0.500776167,-0.508456,,,-0.515143,-0.478863663,-0.463762,-0.449431981
-0.479850655,-0.499343,,,-0.539868,-0.488793959,,
-0.491112101,-0.53831,,,-0.516564,-0.498261913,,
-0.500776167,-0.548213,,,-0.536009,-0.498261913,,
-0.45904209,-0.48111,,,-0.511404,-0.488793959,,
-0.479850655,-0.480424,,,-0.50272,-0.478863663,,
-0.491112101,-0.510654,,,-0.485863,-0.469047709,,
-0.491112101,-0.520682,,,-0.531415,-0.488793959,,
-0.468913588,-0.471613,,,-0.504714,-0.488793959,,
-0.479850655,-0.494797,,,-0.508225,-0.478863663,,
-0.468913588,-0.485954,,,,,,
-0.518099597,-0.530106,,,,,,
-0.468913588,-0.478949,,,,,,
-0.479850655,-0.487977,,,,,,
-0.491112101,-0.541605,,,,,,
-0.508010457,-0.539666,,,,,,
-0.468913588,-0.502958,,,,,,
-0.491112101,-0.495575,,,,,,
-0.479850655,-0.51193,,,,,,
-0.491112101,-0.524789,,,,,,
-0.45904209,-0.465298,,,,,,
-0.479850655,-0.472216,,,,,,
-0.45904209,-0.465923,,,,,,
-0.518099597,-0.5356,,,,,,
-0.452047776,-0.456132,,,,,,
-0.518099597,-0.532449,,,,,,
-0.491112101,-0.574955,,,,,,
-0.253325413,-0.222112,,,,,,
-0.45904209,-0.47262,,,,,,
-0.500776167,-0.529979,,,,,,
-0.491112101,-0.541632,,,,,,
-0.500776167,-0.552818,,,,,,
-0.232666369,-0.215474,,,,,,
0.311125049,0.278791,,,,,,
0.338517123,0.303946,,,,,,
0.311125049,0.279568,,,,,,
0.338517123,0.304837,,,,,,
0.082908096,0.084284,,,,,,
0.12258266,0.121109,,,,,,
0.129979074,0.133605,,,,,,
0.082908096,0.08224,,,,,,
0.082908096,0.089284,,,,,,
0.129979074,0.127813,,,,,,
0.129979074,0.134858,,,,,,
0.088652056,0.086128,,,,,,
0.082908096,0.08646,,,,,,
0.12258266,0.122713,,,,,,
0.129979074,0.134694,,,,,,
0.088652056,0.090775,,,,,,
0.088652056,0.089292,,,,,,
0.12258266,0.123484,,,,,,
0.129979074,0.131034,,,,,,
0.088652056,0.093842,,,,,,
0.088652056,0.090139,,,,,,
0.129979074,0.127291,,,,,,
0.129979074,0.137026,,,,,,
0.088652056,0.086652,,,,,,
0.082908096,0.086541,,,,,,
0.12258266,0.120638,,,,,,
0.129979074,0.132283,,,,,,
0.082908096,0.081496,,,,,,
0.088652056,0.089317,,,,,,
0.12258266,0.123714,,,,,,
0.129979074,0.130928,,,,,,
0.088652056,0.09323,,,,,,
0.082908096,0.086058,,,,,,
0.12258266,0.123304,,,,,,
0.129979074,0.136029,,,,,,
0.088652056,0.091359,,,,,,
0.082908096,0.084283,,,,,,
-0.177342954,-0.173708,,,,,,
0.106812046,0.107296,,,,,,
-0.150463456,-0.139524,,,,,,
0.088652056,0.090753,,,,,,
0.088652056,0.08774,,,,,,
-0.177342954,-0.177226,,,,,,
0.095768155,0.095886,,,,,,
-0.150463456,-0.141111,,,,,,
0.082908096,0.088888,,,,,,
0.082908096,0.07973,,,,,,
-0.174365959,-0.173384,,,,,,
0.088652056,0.100416,,,,,,
-0.15998515,-0.152474,,,,,,
0.082908096,0.093413,,,,,,
0.082908096,0.08112,,,,,,
-0.15998515,-0.165174,,,,,,
0.088652056,0.091622,,,,,,
-0.150463456,-0.146187,,,,,,
0.088652056,0.085965,,,,,,
0.088652056,0.086581,,,,,,
-0.177342954,-0.177287,,,,,,
0.088652056,0.09602,,,,,,
-0.150463456,-0.144088,,,,,,
0.082908096,0.088112,,,,,,
0.082908096,0.080455,,,,,,
-0.177342954,-0.172315,,,,,,
0.106812046,0.107541,,,,,,
-0.150463456,-0.139934,,,,,,
0.088652056,0.092423,,,,,,
0.082908096,0.082804,,,,,,
-0.15998515,-0.165429,,,,,,
0.088652056,0.092439,,,,,,
-0.150463456,-0.148434,,,,,,
0.088652056,0.08799,,,,,,
0.082908096,0.080111,,,,,,
-0.174365959,-0.17266,,,,,,
0.088652056,0.099589,,,,,,
-0.15998515,-0.153131,,,,,,
0.082908096,0.093058,,,,,,
-0.210334635,-0.211176,,,,,,
-0.217080957,-0.214079,,,,,,
-0.203877954,-0.204416,,,,,,
-0.210334635,-0.205384,,,,,,
-0.217080957,-0.213073,,,,,,
-0.210334635,-0.211868,,,,,,
-0.210334635,-0.206667,,,,,,
-0.203877954,-0.205753,,,,,,
-0.517231366,-0.533691,,,,,,
-0.517231366,-0.535704,,,,,,
0.573106,0.588555799,,,,,,
0.583048,0.588555799,,,,,,
0.586256,0.588555799,,,,,,
0.575424,0.588555799,,,,,,
0.151556,0.148982633,,,,,,
0.125646,0.129606408,,,,,,
0.118327,0.129606408,,,,,,
0.116092,0.129606408,,,,,,
0.156692,0.148982633,,,,,,
0.172902,0.158244214,,,,,,
0.141253,0.139118196,,,,,,
0.122728,0.139118196,,,,,,
0.131215,0.139118196,,,,,,
0.159088,0.148982633,,,,,,
0.146682,0.139118196,,,,,,
0.11316,0.122734026,,,,,,
0.180445,0.158244214,,,,,,
0.16298,0.158244214,,,,,,
0.134315,0.139118196,,,,,,
0.130187,0.139118196,,,,,,
0.119682,0.129606408,,,,,,
0.159108,0.148982633,,,,,,
0.167864,0.158244214,,,,,,
0.109379,0.122734026,,,,,,
0.174183,0.148982633,,,,,,
0.153799,0.148982633,,,,,,
0.127065,0.139118196,,,,,,
0.122792,0.139118196,,,,,,
0.163712,0.148982633,,,,,,
0.138972,0.148982633,,,,,,
0.163252,0.148982633,,,,,,
0.151314,0.148982633,,,,,,
0.163768,0.158244214,,,,,,
0.128157,0.139118196,,,,,,
0.138251,0.148982633,,,,,,
0.36796,0.34043866,,,,,,
-0.208983,-0.200880442,,,,,,
0.394897,0.379922932,,,,,,
-0.194933,-0.200880442,,,,,,
0.362452,0.331612017,,,,,,
-0.221622,-0.208859376,,,,,,
0.367251,0.34043866,,,,,,
-0.218866,-0.200880442,,,,,,
0.28549,0.316524819,,,,,,
-0.08351,-0.170119881,,,,,,
0.356015,0.35749742,,,,,,
-0.199109,-0.208859376,,,,,,
0.367522,0.34043866,,,,,,
-0.215641,-0.208859376,,,,,,
0.392193,0.379922932,,,,,,
-0.178075,-0.179987832,,,,,,
0.384254,0.379922932,,,,,,
-0.195474,-0.208859376,,,,,,
0.364233,0.35749742,,,,,,
-0.203841,-0.179987832,,,,,,
0.357057,0.35749742,,,,,,
-0.19525,-0.200880442,,,,,,
0.370388,0.331612017,,,,,,
-0.214958,-0.200880442,,,,,,
0.364813,0.331612017,,,,,,
-0.214417,-0.208859376,,,,,,
0.373092,0.373030783,,,,,,
-0.193821,-0.200880442,,,,,,
0.373946,0.373030783,,,,,,
-0.19782,-0.200880442,,,,,,
0.377953,0.38559495,,,,,,
-0.189737,-0.208859376,,,,,,
-0.391586,-0.417325891,,,,,,
-0.423082,-0.409543677,,,,,,
-0.394634,-0.427670865,,,,,,
-0.393094,-0.43822122,,,,,,
-0.354545,-0.427670865,,,,,,
-0.400502,-0.409543677,,,,,,
-0.398606,-0.427670865,,,,,,
-0.425939,-0.409543677,,,,,,
-0.406798,-0.43822122,,,,,,
-0.40939,-0.417325891,,,,,,
-0.411495,-0.427670865,,,,,,
-0.395128,-0.417325891,,,,,,
-0.395833,-0.427670865,,,,,,
-0.406487,-0.417325891,,,,,,
-0.416451,-0.427670865,,,,,,
-0.41146,-0.43822122,,,,,,
0.328437,0.366732816,,,,,,
0.338699,0.390695463,,,,,,
0.338624,0.413667451,,,,,,
0.330757,0.356436412,,,,,,
0.089605,0.081768808,,,,,,
0.068591,0.069388677,,,,,,
0.123104,0.122077901,,,,,,
0.134877,0.130703815,,,,,,
0.091872,0.089762397,,,,,,
0.071105,0.069388677,,,,,,
0.116146,0.122077901,,,,,,
0.129219,0.130703815,,,,,,
0.100634,0.097377437,,,,,,
0.077547,0.069388677,,,,,,
0.113314,0.122077901,,,,,,
0.136623,0.138299767,,,,,,
0.089483,0.081768808,,,,,,
0.067452,0.069388677,,,,,,
0.124652,0.122077901,,,,,,
0.139289,0.138299767,,,,,,
0.096082,0.097377437,,,,,,
0.076632,0.069388677,,,,,,
0.123072,0.122077901,,,,,,
0.135422,0.138299767,,,,,,
0.091464,0.089762397,,,,,,
0.066697,0.069388677,,,,,,
0.114503,0.122077901,,,,,,
0.136476,0.130703815,,,,,,
