name,ions,mean,N>500,big_diff,None,ions_n
DIHPIU_charged,BF2,-0.086094795,ALOLET_charged,CEQBUV_charged,IRAGEN_charged,AgN3O9
CUSDIE_charged,BF4,-0.491906123,ALOLOD_charged,DANZAV_charged,LAGCON_charged,F5P
HIFZAY_charged,BF4,-0.343655576,AMUWIP_charged,DANZEZ_charged,NATNOM_charged,ClN2O6
KUBQAA_charged,BF4,-0.414906639,BARZOL_charged,DANZID_charged,NEVPUA_charged,Cl2N3
LAGDEE_charged,BF4,-0.470652507,BIYXUE_charged,EDORIY_charged,NOQLOV01_charged,CH2N
MAXFIA_charged,BF4,-0.441316349,BIYYAL_charged,FEVNIE_charged,POBYAH_charged,C3H12N2
MOXPEV_charged,BF4,-0.359737621,BIYYEP_charged,GERWIL_charged,RIDKOE_charged,B3F13
MOXPOF_charged,BF4,-0.224850765,CEXSEE_charged,GERWOR_charged,TICPOL_charged,CoH12O25
OBEDAA_charged,BF4,-0.437250042,CIMTAV_charged,HAFWAO_charged,VAPBAR_charged,NO
OBONUO_charged,BF4,-0.425597144,CUTFON_charged,HEBPUB_charged,WILGEE_charged,CN6
OKIJUO_charged,BF4,-0.436961262,CUTFUT_charged,HEFDUT_charged,WOCJII_charged,C3H7N
OMORUE_charged,BF4,-0.363081017,EBUQOH_charged,HEFFAB_charged,YAWFEI_charged,C6H7N
TALJUM_charged,BF4,-0.413457763,EMAFII_charged,JOQQAJ_charged,ZEDVOV_charged,C3N5
TIZVED_charged,BF4,-0.417316474,FACMIH01_charged,LARPOL_charged,,
TIZVED01_charged,BF4,-0.420216913,FERGUG_charged,LIRVAK_charged,,
WEHQAC_charged,BF4,-0.355389522,GIWBOE_charged,MAFZIE_charged,,
XAYNAM_charged,BF4,-0.429155145,HUKQUZ_charged,MAWFAT_charged,,
XICDUI_charged,BF4,-0.417513431,IBOWIH_charged,MITSEO_charged,,
ZAXQUM_charged,BF4,-0.38581467,ILAGUY_charged,MITTAL_charged,,
ADOCIG_charged,Br,-0.882566422,INEBOT_charged,MODNAU_charged,,
EWIMON_charged,Br,-0.501654649,IXEDUK_charged,MODNEY_charged,,
PADBAZ_charged,Br,-0.53489399,IXEFAS_charged,NARHAR_charged,,
WEMJII_charged,Br,-0.664193004,KESBIU_charged,NARHEV_charged,,
QAYTOZ_charged,Br4Hg,-0.545335132,LAJLIT_charged,NUFTOY_charged,,
JUPFOP_charged,C2H3O2,-0.385059464,LIZWEX_charged,OFIWIK_charged,,
EBIMOT_charged,C2H6N,-0.598347364,MALYIJ_charged,OFIWIK01_charged,,
GAJVEU_charged,C2H6N,-0.448185032,MANLIX_charged,OFIWOQ_charged,,
IMUVAO_charged,C2H6N,-0.52214187,NEXDOK_charged,OJICEQ_charged,,
NEDVOJ_charged,C2H6N,-0.41485137,NIFYUY_charged,PEJPEB_charged,,
QUSBEM_charged,C2H6N,-0.514027915,NIFZAF_charged,SAPJEA_charged,,
QUSBIQ_charged,C2H6N,-0.22963112,NIFZEJ_charged,SAPJIE_charged,,
AWEBIO_charged,C2H8N,-0.657888739,NIFZIN_charged,TANLAX_charged,,
BELVAR_charged,C2H8N,-0.566868844,NIFZOT_charged,VEHKOK_charged,,
BELVEV_charged,C2H8N,-0.474588357,NOSJIQ_charged,VINHEH_charged,,
CAJVUG_charged,C2H8N,-0.435911865,PAVKIH_charged,VUQLEZ_charged,,
DASTEY01_charged,C2H8N,-0.408374908,QEGGUE_charged,XUVGUQ_charged,,
DOQKAW_charged,C2H8N,-0.435452809,QIBTAW_charged,ZEDVIP_charged,,
EBIMIN_charged,C2H8N,-0.46299004,QIBTEA_charged,ZEDVUB_charged,,
GAJVIY_charged,C2H8N,-0.463931359,RAFRUL_charged,ZEDWAI_charged,,
GAZZIS_charged,C2H8N,-0.450849279,TASYUJ_charged,,,
GAZZIS01_charged,C2H8N,-0.453020968,TASZAQ_charged,,,
GAZZIS02_charged,C2H8N,-0.452588566,TASZEU_charged,,,
GAZZIS03_charged,C2H8N,-0.449013696,TIMMIM_charged,,,
GAZZIS04_charged,C2H8N,-0.443873205,TUSGUJ_charged,,,
GAZZIS05_charged,C2H8N,-0.444811723,UDIHIZ_charged,,,
KEFWEZ_charged,C2H8N,-0.409081355,UMARAC_charged,,,
KOYRAT_charged,C2H8N,-0.440331567,VEFMAW_charged,,,
MOXDOT_charged,C2H8N,-0.449702967,VETSOE_charged,,,
NANYUX_charged,C2H8N,-0.340860278,VETSUK_charged,,,
NANYUX01_charged,C2H8N,-0.309113274,VETTAR_charged,,,
