atom,ddec,,atom1,gcn1,ddec1
Metal,0.338624,,Metal,0.33406377,0.300214052
Metal,0.338699,,Metal,0.34153077,0.300214052
Metal,0.330757,,Metal,0.3351543,0.300214052
Metal,0.328437,,Metal,0.34102267,0.300214052
Metal,0.279568,,Metal,0.357644,0.286770135
Metal,0.278791,,Metal,0.357387,0.286770135
Metal,0.303946,,Metal,0.353626,0.282450676
Metal,0.304837,,Metal,0.357619,0.282450676
Metal,0.575424,,Metal,0.4607561,0.490350902
Metal,0.573106,,Metal,0.46245173,0.490350902
Metal,0.586256,,Metal,0.4870386,0.519490987
Metal,0.583048,,Metal,0.4843844,0.519490987
Metal,1.46641,,Metal,1.4724836,1.583135605
Metal,1.424701,,Metal,1.4674608,1.587040186
Metal,1.465351,,Metal,1.460135,1.500165463
Metal,1.472456,,Metal,1.4881827,1.571853638
C,-0.08351,,C,0.47315013,0.481877185
C,0.377953,,C,0.4754612,0.481877185
C,0.392193,,C,0.47990307,0.481877185
C,0.384254,,C,0.48143527,0.481877185
C,0.364813,,C,0.47404695,0.486498664
C,0.394897,,C,0.47576296,0.486498664
C,0.362452,,C,0.47845745,0.486498664
C,0.370388,,C,0.48029384,0.481877185
C,0.373092,,C,0.4731218,0.486498664
C,0.373946,,C,0.47762564,0.486498664
C,0.36796,,C,0.4763168,0.481877185
C,0.367522,,C,0.47751,0.486498664
C,0.367251,,C,0.47638187,0.481877185
C,0.425683,,C,0.4615232,0.428329945
C,0.356015,,C,0.47370195,0.481877185
C,0.357057,,C,0.47578025,0.47106725
C,0.364233,,C,0.06347922,0.061992814
C,-0.141111,,C,-0.1926649,-0.199131009
C,-0.203841,,C,0.07760938,0.071212882
C,-0.146187,,C,-0.16756341,-0.1610322
C,-0.148434,,C,0.06179556,0.061992814
C,-0.144088,,C,0.06958766,0.071212882
C,-0.139524,,C,-0.1869462,-0.199131009
C,-0.139934,,C,0.07604689,0.071212882
C,0.092423,,C,-0.17571716,-0.169432335
C,0.08799,,C,0.06064024,0.061992814
C,0.085965,,C,0.06027993,0.061992814
C,-0.152474,,C,-0.19955996,-0.206618721
C,-0.163088,,C,0.08367402,0.071212882
C,0.090753,,C,-0.16356403,-0.1610322
C,-0.153131,,C,0.06064298,0.061992814
C,0.088888,,C,0.07644828,0.071212882
C,0.093413,,C,-0.18275917,-0.199131009
C,-0.168693,,C,0.0720503,0.071212882
C,0.093058,,C,-0.17300212,-0.169432335
C,0.490414,,C,0.055826,0.061992814
C,0.088112,,C,0.06901551,0.071212882
C,0.28549,,C,-0.1882228,-0.199131009
C,-0.175161,,C,0.07612331,0.071212882
C,-0.172315,,C,-0.17583054,-0.169432335
C,-0.173708,,C,0.06049585,0.061992814
C,0.105682,,C,0.0633837,0.061992814
C,0.102548,,C,-0.1923088,-0.206618721
C,0.107296,,C,0.07821933,0.071212882
C,0.107255,,C,-0.1689934,-0.1610322
C,0.107541,,C,0.06169152,0.061992814
C,-0.176805,,C,0.0762069,0.071212882
C,0.103143,,C,-0.18302712,-0.199131009
C,-0.168146,,C,0.07331103,0.071212882
C,-0.171184,,C,-0.17276646,-0.169432335
C,-0.171417,,C,0.0566165,0.061992814
C,-0.176517,,C,0.0620098,0.061992814
C,-0.221622,,C,-0.19870092,-0.206618721
C,0.200757,,C,0.08299972,0.071212882
C,-0.177226,,C,-0.16295892,-0.1610322
C,-0.17266,,C,0.06066872,0.061992814
C,-0.173384,,C,0.28313816,0.248327506
C,0.103244,,C,-0.19709602,-0.210609809
C,-0.176843,,C,0.31064156,0.240512721
C,-0.178941,,C,-0.17278785,-0.161103576
C,0.096939,,C,0.29957065,0.248327506
C,-0.177287,,C,-0.1974086,-0.210609809
C,0.099072,,C,0.31172413,0.282283396
C,0.196887,,C,-0.20223436,-0.217230663
C,0.095143,,C,0.2709679,0.293464363
C,0.097082,,C,-0.24684799,-0.2383807
C,0.453321,,C,0.243764,0.166581765
C,-0.171935,,C,-0.14283869,-0.14702113
C,0.197039,,C,0.28880554,0.248327506
C,0.196853,,C,-0.20375247,-0.217230663
C,0.196103,,C,0.30778965,0.240512721
C,0.196791,,C,-0.16815253,-0.171457365
C,-0.180155,,C,0.29610434,0.248327506
C,0.200475,,C,-0.20253506,-0.182784446
C,0.101401,,C,0.28303725,0.189874232
C,-0.183052,,C,-0.15209806,-0.139288738
C,0.090644,,C,0.30239818,0.298491716
C,-0.173622,,C,-0.20450222,-0.199474096
C,0.196646,,C,0.30249944,0.248327506
C,0.099589,,C,-0.20192643,-0.217230663
C,0.100416,,C,0.29458076,0.209436759
C,0.093808,,C,-0.2048508,-0.210609809
C,-0.18637,,C,0.30847928,0.219878689
C,0.468063,,C,-0.19765538,-0.182784446
C,0.466221,,C,0.2635997,0.209436759
C,-0.165174,,C,-0.13252091,-0.130000487
C,0.193748,,C,0.23509035,0.209436759
C,0.197181,,C,-0.13482282,-0.139288738
C,0.457725,,C,0.198431,0.199969756
C,-0.185544,,C,-0.202209,-0.191869117
C,0.092462,,C,0.0795,0.081855335
C,0.192137,,C,0.083355,0.08684419
C,0.192216,,C,-0.194165,-0.197013582
C,0.192639,,C,0.199896,0.199969756
C,0.092252,,C,-0.206995,-0.197013582
C,0.090296,,C,0.081996,0.081855335
C,-0.183611,,C,0.082996,0.08684419
C,-0.165429,,C,-0.196792,-0.197013582
C,0.460584,,C,0.200541,0.199969756
C,0.091067,,C,-0.200612,-0.191869117
C,0.091354,,C,0.078676,0.081855335
C,0.09602,,C,0.087333,0.08684419
C,-0.188059,,C,-0.196245,-0.197013582
C,0.189559,,C,0.201744,0.199969756
C,0.09357,,C,-0.201942,-0.191869117
C,0.095886,,C,0.078963,0.081855335
C,-0.178021,,C,0.082379,0.081855335
C,0.19135,,C,-0.194839,-0.197013582
C,-0.215641,,C,0.205391,0.199969756
C,0.097142,,C,-0.198109,-0.191869117
C,0.090932,,C,0.079887,0.081855335
C,-0.177349,,C,0.084722,0.081855335
C,0.092439,,C,-0.197943,-0.191869117
C,-0.179851,,C,0.200559,0.199969756
C,0.192906,,C,-0.200784,-0.191869117
C,-0.218866,,C,0.080003,0.081855335
C,-0.214417,,C,0.085727,0.08684419
C,0.086581,,C,-0.195314,-0.197013582
C,-0.186045,,C,0.206244,0.199969756
C,0.08774,,C,-0.200577,-0.197013582
C,-0.194933,,C,0.077489,0.081855335
C,0.087674,,C,0.081525,0.081855335
C,-0.191964,,C,-0.194393,-0.191869117
C,0.472354,,C,0.203748,0.199969756
C,0.089395,,C,-0.198815,-0.191869117
C,0.089525,,C,0.081264,0.081855335
C,0.086771,,C,0.081725,0.081855335
C,0.470927,,C,-0.195086,-0.191869117
C,0.091622,,C,0.200513,0.199969756
C,0.087168,,C,-0.203708,-0.191869117
C,-0.188756,,C,0.080768,0.081855335
C,0.085354,,C,0.084026,0.08684419
C,0.468516,,C,-0.193164,-0.191869117
C,0.466776,,C,0.20199,0.199969756
C,0.456966,,C,-0.201141,-0.191869117
C,0.088525,,C,0.077701,0.081855335
C,-0.183103,,C,0.088031,0.08684419
C,0.458734,,C,-0.195959,-0.191869117
C,-0.208983,,C,0.200545,0.199969756
C,0.087566,,C,-0.204448,-0.197013582
C,-0.214958,,C,0.079002,0.081855335
C,0.088185,,C,0.079827,0.081855335
C,0.092543,,C,-0.192896,-0.197013582
C,-0.189737,,C,0.203046,0.199969756
C,-0.193821,,C,-0.20252,-0.191869117
C,-0.195474,,C,0.079929,0.081855335
C,-0.178543,,C,0.081712,0.081855335
C,-0.19009,,C,-0.195905,-0.197013582
C,-0.190684,,C,0.200896,0.199969756
C,-0.181932,,C,-0.201982,-0.191869117
C,0.088947,,C,0.079298,0.081855335
C,-0.181278,,C,0.081393,0.08684419
C,-0.181506,,C,-0.193956,-0.191869117
C,0.470108,,C,0.203818,0.199969756
C,-0.178075,,C,-0.19649,-0.191869117
C,-0.182668,,C,0.074579,0.081855335
C,0.08112,,C,0.086182,0.08684419
C,-0.19525,,C,-0.195769,-0.191869117
C,0.084283,,C,0.200414,0.199969756
C,0.465554,,C,-0.196331,-0.191869117
C,0.082658,,C,0.077182,0.081855335
C,-0.199109,,C,0.081895,0.08684419
C,0.471487,,C,-0.192467,-0.191869117
C,0.080455,,C,0.204838,0.199969756
C,-0.19782,,C,-0.197303,-0.191869117
C,0.082804,,C,0.075704,0.081855335
C,0.080111,,C,0.086224,0.081855335
C,0.07973,,C,-0.198705,-0.191869117
Cl,-0.533691,,Cl,-0.49573624,-0.486453757
Cl,-0.535704,,Cl,-0.4959849,-0.486453757
H,0.180445,,H,0.06946894,0.071212882
H,0.174183,,H,0.1066334,0.113196068
H,0.163768,,H,0.11551508,0.118124454
H,0.167864,,H,0.0796187,0.086846253
H,0.172902,,H,0.07774082,0.07800518
H,0.163252,,H,0.11045808,0.118124454
H,0.163712,,H,0.10847981,0.113196068
H,0.137026,,H,0.07984856,0.086846253
H,0.16298,,H,0.06851075,0.071212882
H,0.156692,,H,0.10739894,0.113196068
H,0.159088,,H,0.11472515,0.118124454
H,0.134858,,H,0.0770757,0.086846253
H,0.133605,,H,0.0766745,0.07800518
H,0.151314,,H,0.11056957,0.118124454
H,0.153799,,H,0.1077601,0.113196068
H,0.132283,,H,0.07997032,0.086846253
H,0.146682,,H,0.07783964,0.07800518
H,0.130928,,H,0.11061801,0.118124454
H,0.131034,,H,0.10838396,0.113196068
H,0.136029,,H,0.0792266,0.086846253
H,0.159108,,H,0.06918036,0.071212882
H,0.134694,,H,0.10657195,0.113196068
H,0.101721,,H,0.11500825,0.118124454
H,0.093842,,H,0.08001846,0.086846253
H,0.100634,,H,0.07638102,0.07800518
H,0.09323,,H,0.11086033,0.118124454
H,0.135972,,H,0.10738657,0.113196068
H,0.123714,,H,0.0797598,0.086846253
H,0.091359,,H,0.06889496,0.071212882
H,0.123484,,H,0.10746638,0.113196068
H,0.090775,,H,0.11486545,0.118124454
H,0.123304,,H,0.07684414,0.086846253
H,0.122713,,H,0.14890885,0.118404001
H,0.14204,,H,0.06863766,0.059073266
H,0.141954,,H,0.09282277,0.087706849
H,0.127291,,H,0.07151416,0.06895338
H,0.127813,,H,0.13807061,0.100298062
H,0.094131,,H,0.15341671,0.141570682
H,0.09505,,H,0.12693559,0.118404001
H,0.139289,,H,0.06943062,0.06895338
H,0.127035,,H,0.1625245,0.141570682
H,0.136476,,H,0.1391836,0.128705993
H,0.096082,,H,0.12316301,0.118404001
H,0.121109,,H,0.11697918,0.100298062
H,0.120638,,H,0.141096,0.141570682
H,0.086652,,H,0.12359877,0.110203331
H,0.086128,,H,0.17197604,0.149750233
H,0.09432,,H,0.163783,0.141570682
H,0.131215,,H,0.11277875,0.100298062
H,0.151556,,H,0.1441405,0.118404001
H,0.091872,,H,0.13624214,0.128705993
H,0.126736,,H,0.08567337,0.087706849
H,0.125646,,H,0.15751225,0.141570682
H,0.090419,,H,0.13747303,0.100298062
H,0.128723,,H,0.12380078,0.110203331
H,0.137311,,H,0.09914724,0.083864361
H,0.116092,,H,0.1112033,0.118404001
H,0.137981,,H,0.16527063,0.149750233
H,0.135483,,H,0.10728542,0.118404001
H,0.124652,,H,0.12359187,0.110203331
