Name,henry
ACAJOF_FSR,1.10E-05
ACODAA_FSR,4.02E-06
AGAWOU_FSR,0.000281207
AHOMOB01_FSR,0.000376231
AHUTIH01_freeONLY,1.88E-05
AKAYIV_FSR,2.19E-05
AKEDIF_freeONLY,0.00260145
AKUKUO_freeONLY,0.000606276
ALAMUW_freeONLY,8.64E-05
ALULAV_FSR,0.000243353
AMAFOK_freeONLY,1.82E-06
AMILUE_FSR,9.60E-06
ANAWIX_FSR,0.000406111
ANUGOG_freeONLY,5.46E-06
APAZIC_FSR,6.42E-05
ARICOT_FSR,0.000208889
ATULIM_freeONLY,1.05E-06
AVELUJ_freeONLY,0.000227534
AVESOL_FSR,7.94E-05
BEPLUF_FSR,4.86E-06
BEPVOJ_FSR,3.60E-05
BEVYUX_FSR,4.04E-05
BIBXOB_freeONLY,3.73E-06
BIFVUK_FSR,1.81E-06
BIJYOK_FSR,1.34E-06
BOLFUE_FSR,1.77E-06
BOLPIC_FSR,5.65E-06
BONWEH_FSR,0.385862
BOTCEU_FSR,5.82E-07
BUCVAY_freeONLY,0.00128648
BUKTAE_FSR,7.40E-06
BUSQEM_FSR,3.21E-06
BUVYIB_FSR,9.95E-06
BUYDAC_FSR,0.000109988
CACKEZ_FSR,0.000216931
CADZOY_FSR,6.12E-05
CAGVOY_FSR,8.44E-05
CAXVII_FSR,1.28E-06
CAYSOK_FSR,5.67E-06
CECJUS_FSR,6.23E-05
CECVOX_FSR,0.00188438
CEGDUO_FSR,5.16E-07
CEJZAU_freeONLY,1.15E-05
CELZEA_FSR,4.92E-06
CENPUI_freeONLY,3.06E-06
CESYEF01_FSR,2.38E-07
CEVGIW_FSR,0.000436361
CEZZIR_FSR,0.000785097
CIQPID_FSR,5.51E-05
COJMOF01_FSR,1.35E-05
COKNOH_FSR,2.48E-06
COKXIL_FSR,0.000785535
COLVEE_FSR,7.75E-07
COMDOY_freeONLY,3.21E-06
CUMDIY_freeONLY,0.00076866
CUMJEB_FSR,5.27E-05
CUPXOC_FSR,1.87E-05
CUVGIK_freeONLY,4.12E-05
DABWUA_FSR,0.00096522
DAJHOM_manual,4.27E-06
DAQLUF_FSR,4.29E-05
DARSEV_SL,5.38E-05
DATHAJ_FSR,0.000120929
DAWBOU_freeONLY,2.35E-06
DAWLAQ_FSR,4.51E-06
DICKUX_FSR,5.39E-06
DIDDIE_FSR,0.000350407
DIFHUY_FSR,1.74E-05
DONNAW01_SL,3.43E-06
DOYBEA_FSR,4.22E-06
DUKYIT_FSR,2.77E-06
DUMXEQ01_FSR,0.0013057
DUTJUZ_FSR,9.84E-06
EBATUY_freeONLY,0.000166245
EBEMII_FSR,0.00089139
EBEXEQ01_FSR,0.000171693
EBIVAO_FSR,4.78E-06
ECAHUN_FSR,4.98E-06
EDADIX_freeONLY,1.91E-05
