Name,Uptake
ACAJOF_FSR,0.0134319
ACODAA_FSR,0.06255382
AGAWOU_FSR,0.061812275
AHOMOB01_FSR,0.021394954
AKAYIV_FSR,0.016891556
AKEDIF_freeONLY,0.060186003
AKUKUO_freeONLY,0.038255576
ALAMUW_freeONLY,0.046840053
ALULAV_FSR,0.030828476
AMAFOK_freeONLY,0.054098086
AMILUE_FSR,0.015938553
ANAWIX_FSR,0.035637743
ANUGOG_freeONLY,0.032080973
APAZIC_FSR,0.037731613
ARICOT_FSR,0.028418679
ATULIM_freeONLY,0.045779193
AVELUJ_freeONLY,0.027874755
AVESOL_FSR,0.070332136
BEPLUF_FSR,0.011329407
BEPVOJ_FSR,0.01900364
BEVYUX_FSR,0.019517138
BIBXOB_freeONLY,0.026755274
BIFVUK_FSR,0.047129342
BIJYOK_FSR,0.035298972
BOLFUE_FSR,0.036045094
BOLPIC_FSR,0.0640166
BONWEH_FSR,0.015471936
BOTCEU_FSR,0.015892672
BUKTAE_FSR,0.023780029
BUSQEM_FSR,0.066409148
BUVYIB_FSR,0.046752795
BUYDAC_FSR,0.038460705
CACKEZ_FSR,0.023772204
CADZOY_FSR,0.017552308
CAGVOY_FSR,0.051166666
CAXVII_FSR,0.024931661
CAYSOK_FSR,0.006753034
CECJUS_FSR,0.023515198
CECVOX_FSR,0.084950348
CEGDUO_FSR,0.008336749
CEJZAU_freeONLY,0.040259539
CELZEA_FSR,0.011480024
CENPUI_freeONLY,0.068572016
CESYEF01_FSR,0.002659996
CEVGIW_FSR,0.071723144
CEZZIR_FSR,0.004154435
CIQPID_FSR,0.052318995
COJMOF01_FSR,0.034385237
COKNOH_FSR,0.032278424
COKXIL_FSR,0.016191587
COLVEE_FSR,0.02340256
COMDOY_freeONLY,0.070260661
CUMDIY_freeONLY,0.039602749
CUMJEB_FSR,0.014939077
CUPXOC_FSR,0.026193644
CUVGIK_freeONLY,0.058601056
DABWUA_FSR,0.028179399
DAQLUF_FSR,0.01158974
DARSEV_SL,0.026550675
DAWBOU_freeONLY,0.03951486
DAWLAQ_FSR,0.01352967
DICKUX_FSR,0.050463628
DIDDIE_FSR,0.049781048
DIFHUY_FSR,0.00975712
DONNAW01_SL,0.064920392
DOYBEA_FSR,0.102038237
DUKYIT_FSR,0.029100616
DUMXEQ01_FSR,0.034732862
DUTJUZ_FSR,0.03707187
EBEMII_FSR,0.007984606
EBEXEQ01_FSR,0.030286109
EBIVAO_FSR,0.039018646
ECAHUN_FSR,0.055726507
EDADIX_freeONLY,0.047886159
EDUVOO_freeONLY,0.031310249
EFIYEZ_FSR,0.012007034
EJIBOQ_FSR,0.017728435
EKUDIX01_FSR,0.035688045
EMAMIQ_FSR,0.010825442
EMIVAY_FSR,0.066377058
EPEXUT_FSR,0.032860734
ESARUN_FSR,0.047419264
ESIFIX_FSR,0.030684781
ESUSOC01_FSR,0.015952828
EWALUK_FSR,0.025804417
EWESIJ_FSR,0.018805701
EXEQAA_freeONLY,0.044717453
EXOTUH_SL,0.048545975
EXUHEM_FSR,0.024504616
EYIYES_FSR,0.027624346
EYOQAL_FSR,0.115017324
EZEQEH_FSR,0.062489999
FAHPOV_freeONLY,0.026911891
FANPAO_FSR,0.085201727
FARFOU_freeONLY,0.016280254
FATLUJ_FSR,0.013667065
FAVGAN_FSR,0.00506749
FAYPIG_freeONLY,0.023956474
FAZPED_FSR,0.019804528
FEDBEX_FSR,0.022011708
FIHLEP_FSR,0.052371996
FIQYOU_FSR,0.027451511
FIRBOX02_FSR,0.064898886
FISHUL_FSR,0.015480618
FITFIA_FSR,0.064024914
FOFCOU_freeONLY,0.039987913
FOKWIN_FSR,0.004504575
FUNBEW_FSR,0.029379013
FUQVOF_FSR,0.033454008
GADCIZ_FSR,0.054501834
GAWCUF_FSR,0.023946346
GECXUH01_FSR,0.056585295
GEFZAU_FSR,0.015959397
GELXUS_FSR,0.013113962
GENLAP_FSR,0.00542481
GISNED_freeONLY,0.028046726
GITWIQ_freeONLY,0.029670346
GIVDUL_FSR,0.005943546
GIYTEO_FSR,0.038901517
GOKBUE_freeONLY,0.011676416
GOVXIA_freeONLY,0.032967689
GULPIN_FSR,0.035444923
GUPBUP_SL,0.012084757
GUXPOF_freeONLY,0.019729118
HADMAD01_FSR,0.031144624
HAFPUB_FSR,0.027447745
HAKSAQ_freeONLY,0.054889551
HAPHUD_freeONLY,0.033645435
HAWYUB_FSR,0.037676527
HAYYOY_FSR,0.105402656
HEBZEV_FSR,0.055532695
HEFVAR_freeONLY,0.007345108
HEGNUD_freeONLY,0.026622257
HEJQAR_FSR,0.009646984
HIHGEM_manual,0.028788496
HIKMIY_FSR,0.041896299
HIQVUZ_FSR,0.054380257
HOBGOV_freeONLY,0.017198611
HOHHUK_FSR,0.030144418
HOZDOR_FSR,0.027484275
HUKSEM_FSR,0.089667912
HUPYUN_FSR,0.042594733
IBASUB_FSR,0.017803834
IDIWOH01_FSR,0.033090803
IDOKOE_FSR,0.009528573
IFEHUY_freeONLY,0.00751362
IGOJAR_FSR,0.016161884
IGUTUB01_FSR,0.053673317
IJASOC_freeONLY,0.033006272
IKUHUT_FSR,0.007857914
IRAYEG_FSR,0.013068096
IXAJEX_FSR,0.047363838
IXURID_freeONLY,0.049773358
IYICUP_freeONLY,0.053576916
IYUBAG_FSR,0.031866924
IZEWAN_FSR,0.050414427
JAQQEA_FSR,0.060692356
