Name,henry
ACAJOF_FSR,1.78E-05
ACODAA_FSR,4.79E-06
AGAWOU_FSR,0.00113684
AHOMOB01_FSR,0.000395725
AHUTIH01_freeONLY,2.53E-05
AKAYIV_FSR,1.12E-05
AKEDIF_freeONLY,0.00202475
AKUKUO_freeONLY,0.0137847
ALAMUW_freeONLY,0.00165113
ALULAV_FSR,0.00642453
AMAFOK_freeONLY,1.95E-06
AMILUE_FSR,2.04E-05
ANAWIX_FSR,0.000615203
ANUGOG_freeONLY,6.91E-06
APAZIC_FSR,0.000154245
ARICOT_FSR,0.000428623
ATULIM_freeONLY,1.15E-06
AVELUJ_freeONLY,4.65E-05
AVESOL_FSR,0.000553506
BEPLUF_FSR,2.32E-06
BEPVOJ_FSR,2.74E-05
BEVYUX_FSR,0.000160576
BIBXOB_freeONLY,4.94E-06
BIFVUK_FSR,3.16E-06
BIJYOK_FSR,1.65E-06
BOLFUE_FSR,1.57E-06
BOLPIC_FSR,8.26E-06
BONWEH_FSR,5.87439
BOTCEU_FSR,1.12E-06
BUCVAY_freeONLY,0.00646362
BUKTAE_FSR,7.35E-06
BUSQEM_FSR,4.38E-06
BUVYIB_FSR,1.41E-05
BUYDAC_FSR,0.000426382
CACKEZ_FSR,0.00155438
CADZOY_FSR,0.000342936
CAGVOY_FSR,0.000134866
CAXVII_FSR,5.28E-06
CAYSOK_FSR,0.000106079
CECJUS_FSR,0.0004
CECVOX_FSR,0.0038469
CEGDUO_FSR,6.68E-07
CEJZAU_freeONLY,1.29E-05
CELZEA_FSR,0.000156129
CENPUI_freeONLY,1.04E-05
CESYEF01_FSR,2.49E-07
CEVGIW_FSR,0.00448008
CEZZIR_FSR,0.000191427
CIQPID_FSR,0.000739391
COJMOF01_FSR,1.39E-05
COKNOH_FSR,4.04E-06
COKXIL_FSR,0.00304611
COLVEE_FSR,7.60E-07
COMDOY_freeONLY,3.12E-06
CUMDIY_freeONLY,0.00188379
CUMJEB_FSR,0.000532383
CUPXOC_FSR,4.44E-05
CUVGIK_freeONLY,1.14E-05
DABWUA_FSR,0.000354544
DAJHOM_manual,4.56E-06
DAQLUF_FSR,0.000142017
DARSEV_SL,4.36E-05
DATHAJ_FSR,0.000308849
DAWBOU_freeONLY,7.43E-06
DAWLAQ_FSR,8.18E-06
DICKUX_FSR,5.27E-06
DIDDIE_FSR,0.000217259
DIFHUY_FSR,1.13E-05
DONNAW01_SL,4.51E-06
DOYBEA_FSR,6.50E-06
DUKYIT_FSR,3.30E-06
DUMXEQ01_FSR,0.00157061
DUTJUZ_FSR,2.40E-05
EBATUY_freeONLY,0.00180759
EBEMII_FSR,0.000580591
EBEXEQ01_FSR,0.00038593
EBIVAO_FSR,3.59E-06
ECAHUN_FSR,1.49E-05
EDADIX_freeONLY,1.54E-05
EDUVOO_freeONLY,3.51E-06
EFIYEZ_FSR,3.26E-05
EJIBOQ_FSR,4.91E-06
EKUDIX01_FSR,0.0103436
EMAMIQ_FSR,2.21E-05
EMIVAY_FSR,7.58E-05
EPEXUT_FSR,0.000253432
ESARUN_FSR,0.000374227
ESIFIX_FSR,3.57E-06
ESUSOC01_FSR,2.48E-05
EWALUK_FSR,4.75E-06
EWESIJ_FSR,4.37E-05
EXEQAA_freeONLY,5.36E-05
EXOTUH_SL,5.11E-05
EXUHEM_FSR,9.50E-05
EYIYES_FSR,0.0732571
EYOQAL_FSR,0.000349472
EZEQEH_FSR,0.000157799
FAHPOV_freeONLY,3.30E-06
FANPAO_FSR,0.0002507
FARFOU_freeONLY,3.42E-06
FATLUJ_FSR,3.55E-05
FAVGAN_FSR,0.12282
FAYPIG_freeONLY,0.000265746
FAZPED_FSR,6.71E-06
FEDBEX_FSR,0.00197166
FIHLEP_FSR,0.00140419
FIPXEJ_FSR,0.0120412
FIQYOU_FSR,5.09E-05
FIRBOX02_FSR,1.45E-05
FISHUL_FSR,5.53E-05
FITFIA_FSR,0.000482973
FOFCOU_freeONLY,7.51E-06
FOKWIN_FSR,9.31E-06
FUNBEW_FSR,1.07E-05
FUNGAY_freeONLY,0.000838556
FUQVOF_FSR,0.000193472
GADCIZ_FSR,5.01E-06
GAWCUF_FSR,0.00025332
GECXUH01_FSR,1.12E-05
GEFZAU_FSR,5.18E-05
GELXUS_FSR,0.000627775
GENLAP_FSR,1.55E-06
GISNED_freeONLY,4.99E-06
GITWIQ_freeONLY,2.42E-05
GIVDUL_FSR,0.000785117
GIYTEO_FSR,4.24E-05
GOKBUE_freeONLY,0.00227861
GOVXIA_freeONLY,2.46E-05
GUBFOY_FSR,0.00108613
GULPIN_FSR,0.000501075
GUPBUP_SL,1.11E-06
GUXPOF_freeONLY,0.0024049
HADMAD01_FSR,3.58E-06
HAFPUB_FSR,3.84E-05
HAJLIO_FSR,0.000552201
HAKSAQ_freeONLY,1.99E-05
HAPHUD_freeONLY,0.00622713
HAWYUB_FSR,4.68E-05
HAYYOY_FSR,7.6524
HEBZEV_FSR,2.54E-06
HEFVAR_freeONLY,4.39E-05
HEGNUD_freeONLY,0.0193311
HEJQAR_FSR,4.64E-07
HIFVUO01_freeONLY,1.67E-06
HIHGEM_manual,0.00076542
HIKMIY_FSR,0.00178373
HIQVUZ_FSR,2.29E-05
HOBGOV_freeONLY,0.000467256
HOHHUK_FSR,5.24E-05
HOZDOR_FSR,6.17E-05
HUKSEM_FSR,0.00758922
HUPYUN_FSR,6.85E-06
IBASUB_FSR,0.00243689
IDIWOH01_FSR,1.11E-05
IDOKOE_FSR,0.00335794
IFEHUY_freeONLY,0.00103817
IGOJAR_FSR,3.43E-05
IGUTUB01_FSR,8.54E-06
IJASOC_freeONLY,0.006738
IKUHUT_FSR,8.74E-07
IRAYEG_FSR,2.58E-05
IXAJEX_FSR,0.000256629
IXURID_freeONLY,0.000953263
IYICUP_freeONLY,0.0132842
IYUBAG_FSR,0.0002602
IZEWAN_FSR,0.000269398
JAQQEA_FSR,1.39E-05
JEDQIS_FSR,0.00478363
JODGAM_FSR,0.000210137
JOQRIS_FSR,2.63E-05
JOXNAN_FSR,8.00E-05
JUYROM_freeONLY,0.000106957
KALFIO_FSR,0.00988124
KASLUO_FSR,1.72E-05
KAVTEI_freeONLY,0.000260669
KEHGIO_FSR,8.45E-05
KESMEC_FSR,0.0022323
KEXDUN_FSR,0.00242948
KEYDEZ_FSR,0.000124094
KIKDUF_freeONLY,0.005766
KINQAB_freeONLY,0.00201867
KITHUR_FSR,0.000111765
KIVGEC_FSR,2.84E-06
KOBPAV_FSR,0.000640316
KOSKIO_FSR,0.00157202
KUTNIY_FSR,0.000156514
LABZIA_FSR,0.000615234
LACJOR_FSR,0.000864357
LADHEF_freeONLY,0.108885
LADYUN_FSR,0.00012782
LAGHIL_freeONLY,0.0016489
LAZKUU_freeONLY,0.000154584
LECQEQ_FSR,4.84E-05
LEVPAF_freeONLY,2.47E-05
LIFWOO_freeONLY,0.00502546
LIHFAK_FSR,4.98E-06
LIQJEC_FSR,1.55E-05
LITCIC_FSR,0.000627162
LIVFUT_FSR,8.26E-05
LIVZOH_FSR,0.00119954
LIWXIZ_FSR,0.000182591
LIZSIY_FSR,0.00133539
LODBAJ_FSR,0.00164001
LOVVAV_FSR,0.000145134
LUFNAC_FSR,8.68E-05
LUFQUZ01_freeONLY,1.74E-05
LURGEL_FSR,1.37E-05
LUSJAL_FSR,0.000397512
LUTKIW_FSR,1.44E-05
MALFUD_freeONLY,0.0276376
MARJEW_FSR,7.94E-06
MARNUR01_FSR,4.18E-05
MAYJOM_freeONLY,5.65E-06
MENGIV_FSR,0.000277281
MERFEX_FSR,2.10E-06
MICDEJ_FSR,1.06E-05
MIHLEV_freeONLY,0.00265757
MIJBAK01_FSR,2.89E-05
MIJSII_FSR,3.37E-05
MIXYID_freeONLY,0.0285775
MULQOA_FSR,0.00307151
MUMLIR_FSR,5.44E-05
MUMYAW_freeONLY,1.24E-05
MUNPER_freeONLY,3.79E-05
MUVGOA_freeONLY,4.88E-06
NAGQET_freeONLY,4.86E-05
NAHFIO_FSR,0.000474722
NAJTEA_FSR,0.000273251
NEBQOD_FSR,0.000602271
NEGDAF_FSR,7.36E-07
NEPKUP_FSR,0.0639698
NEYBEZ_FSR,2.22E-05
NEYZAU_freeONLY,0.0067144
NICJOA_FSR,2.19E-07
NIJSAC_FSR,0.000409892
NIJZIP01_freeONLY,0.0113987
NIRPIQ_FSR,0.000133592
NIYZIG_freeONLY,8.75E-06
NOZZUZ_FSR,0.000150638
OBEDEE_freeONLY,0.00218575
OBIHIT_FSR,7.29E-05
ODODES_freeONLY,5.46E-05
OJIWAG_freeONLY,0.000288509
OKIRIK_FSR,0.000134037
OKIZOZ_FSR,6.06E-06
OKOSUE_FSR,0.00150572
OLAQOJ_FSR,0.000237415
OLEKUM_manual,3.72E-06
OPOGUW_FSR,1.18E-06
OSIWOD01_FSR,2.98E-06
OTAVAH_freeONLY,1.01E-06
OTECEX_FSR,6.97E-05
OTIQAL_FSR,0.000254369
OTOZII_FSR,0.000447547
PACZUQ_freeONLY,0.0389881
PAFMUH_freeONLY,1.62E-05
PAPRUU_FSR,0.000129681
PATWOY_FSR,6.97E-05
PEHTON_freeONLY,0.00403388
PENNUT_freeONLY,7.34E-05
PEPKUR_freeONLY,6.32E-06
PESSIS_FSR,5.20E-05
PESSUE_FSR,2.75E-05
PEZCII_FSR,0.000868379
PIHJOH03_FSR,7.74E-07
POLYEW_FSR,1.55E-05
POSGAH_freeONLY,1.83E-05
PUFYEW_FSR,0.000541221
PUPJEQ_FSR,2.43E-05
QAGDIO_FSR,0.000237326
QAKWUX_FSR,7.71E-06
QAPZUF_FSR,5.96E-05
QARCET_FSR,0.000255247
QAVZOE_FSR,4.60E-05
QEVKOS_freeONLY,4.25E-05
QEZBUV_FSR,0.00828767
QIPROY_freeONLY,5.14E-06
QITCIF_FSR,6.69E-05
