Name,henry
ACAJOF_FSR,4.82E-06
ACODAA_FSR,4.60E-06
AGAWOU_FSR,6.58E-05
AHOMOB01_FSR,2.59E-05
AHUTIH01_freeONLY,7.92E-06
AKAYIV_FSR,5.04E-06
AKEDIF_freeONLY,0.296198
AKUKUO_freeONLY,0.00224267
ALAMUW_freeONLY,0.000115624
ALULAV_FSR,2.14E-05
AMAFOK_freeONLY,1.28E-06
AMILUE_FSR,0.000269218
ANAWIX_FSR,0.00338659
ANUGOG_freeONLY,7.87E-05
APAZIC_FSR,0.802356
ARICOT_FSR,0.000229729
ATULIM_freeONLY,1.04E-06
AVELUJ_freeONLY,1.11E-05
AVESOL_FSR,0.00017431
BEPLUF_FSR,1.98E-06
BEPVOJ_FSR,1.71E-05
BEVYUX_FSR,0.000547586
BIBXOB_freeONLY,1.19E-05
BIFVUK_FSR,2.23E-06
BIJYOK_FSR,6.91E-06
BOLFUE_FSR,3.29E-06
BOLPIC_FSR,2.53E-05
BONWEH_FSR,0.540941
BOTCEU_FSR,5.89E-07
BUCVAY_freeONLY,0.0112559
BUKTAE_FSR,1.90E-05
BUSQEM_FSR,2.65E-05
BUVYIB_FSR,1.97E-05
BUYDAC_FSR,0.000421968
CACKEZ_FSR,0.000337236
CADZOY_FSR,6.52E-05
CAGVOY_FSR,0.0277373
CAXVII_FSR,1.55E-06
CAYSOK_FSR,1.68E-05
CECJUS_FSR,0.000109588
CECVOX_FSR,0.00315606
CEGDUO_FSR,6.95E-07
CEJZAU_freeONLY,2.67E-05
CELZEA_FSR,4.17E-06
CENPUI_freeONLY,0.00959785
CESYEF01_FSR,2.24E-07
CEVGIW_FSR,0.000143077
CEZZIR_FSR,6.45E-05
CIQPID_FSR,0.00860391
COJMOF01_FSR,5.04E-05
COKNOH_FSR,3.55E-06
COKXIL_FSR,0.000385268
COLVEE_FSR,1.18E-06
COMDOY_freeONLY,3.89E-06
CUMDIY_freeONLY,0.000884092
CUMJEB_FSR,1.80E-05
CUPXOC_FSR,0.000549342
CUVGIK_freeONLY,1.71E-05
DABWUA_FSR,0.0001771
DAJHOM_manual,4.69E-05
DAQLUF_FSR,8.47E-06
DARSEV_SL,0.000258615
DATHAJ_FSR,0.000256835
DAWBOU_freeONLY,4.81E-06
DAWLAQ_FSR,2.57E-05
DICKUX_FSR,1.87E-06
DIDDIE_FSR,4.96E-05
DIFHUY_FSR,0.0002722
DONNAW01_SL,4.31E-06
DOYBEA_FSR,4.51E-06
DUKYIT_FSR,2.95E-06
DUMXEQ01_FSR,0.000230558
DUTJUZ_FSR,1.06E-05
EBATUY_freeONLY,0.000267155
EBEMII_FSR,0.0022951
EBEXEQ01_FSR,0.00192448
EBIVAO_FSR,1.26E-05
ECAHUN_FSR,1.55E-05
EDADIX_freeONLY,1.01E-05
EDUVOO_freeONLY,3.21E-05
EFIYEZ_FSR,2.16E-05
EJIBOQ_FSR,8.87E-07
EKUDIX01_FSR,0.000191653
EMAMIQ_FSR,6.30E-06
EMIVAY_FSR,3.50E-05
EPEXUT_FSR,0.000355685
ESARUN_FSR,0.000213699
ESIFIX_FSR,2.58E-05
ESUSOC01_FSR,1.58E-05
EWALUK_FSR,0.000126142
EWESIJ_FSR,2.18E-06
EXEQAA_freeONLY,7.57E-06
EXOTUH_SL,0.000153542
EXUHEM_FSR,1.63E-05
EYIYES_FSR,0.000784012
EYOQAL_FSR,0.000512868
EZEQEH_FSR,7.05E-05
FAHPOV_freeONLY,4.27E-06
FANPAO_FSR,0.000108319
FARFOU_freeONLY,1.68E-05
FATLUJ_FSR,1.55E-05
FAVGAN_FSR,0.000228356
FAYPIG_freeONLY,5.38E-05
FAZPED_FSR,5.12E-06
FEDBEX_FSR,0.00200338
FIHLEP_FSR,0.000106839
FIPXEJ_FSR,0.00924722
FIQYOU_FSR,4.78E-06
FIRBOX02_FSR,6.96E-06
FISHUL_FSR,4.60E-05
FITFIA_FSR,0.00200078
FOFCOU_freeONLY,6.60E-05
FOKWIN_FSR,1.25E-05
FUNBEW_FSR,2.03E-05
FUNGAY_freeONLY,0.00455128
FUQVOF_FSR,0.000391773
GADCIZ_FSR,2.33E-05
GAWCUF_FSR,0.000178339
GECXUH01_FSR,1.63E-05
GEFZAU_FSR,0.000116574
GELXUS_FSR,0.101163
GENLAP_FSR,5.37E-06
GISNED_freeONLY,6.25E-06
GITWIQ_freeONLY,5.06E-05
GIVDUL_FSR,0.000248927
GIYTEO_FSR,1.27E-05
GOKBUE_freeONLY,0.00197496
GOVXIA_freeONLY,4.36E-05
GUBFOY_FSR,0.000884777
GULPIN_FSR,0.000252026
GUPBUP_SL,9.92E-07
GUXPOF_freeONLY,5.78E-05
HADMAD01_FSR,1.04E-05
HAFPUB_FSR,1.80E-05
HAJLIO_FSR,0.000562393
HAKSAQ_freeONLY,0.403349
HAPHUD_freeONLY,0.0131237
HAWYUB_FSR,1.92E-06
HAYYOY_FSR,0.0160885
HEBZEV_FSR,6.93E-06
HEFVAR_freeONLY,0.000108181
HEGNUD_freeONLY,2.57E-05
HEJQAR_FSR,5.20E-07
HIFVUO01_freeONLY,1.63E-06
HIHGEM_manual,323.294
HIKMIY_FSR,0.000366311
HIQVUZ_FSR,1.40E-05
HOBGOV_freeONLY,2.84E-05
HOHHUK_FSR,0.00124573
HOZDOR_FSR,0.000114361
HUKSEM_FSR,0.0147251
HUPYUN_FSR,7.96E-05
IBASUB_FSR,0.00986428
IDIWOH01_FSR,5.24E-05
IDOKOE_FSR,0.00194761
IFEHUY_freeONLY,0.00019776
IGOJAR_FSR,1.99E-05
IGUTUB01_FSR,7.82E-06
IJASOC_freeONLY,0.0011549
IKUHUT_FSR,4.10E-07
IRAYEG_FSR,3.17E-06
IXAJEX_FSR,341.477
IXURID_freeONLY,0.000495254
IYICUP_freeONLY,2.99E-05
IYUBAG_FSR,0.00106549
IZEWAN_FSR,0.000940065
JAQQEA_FSR,9.23E-06
JEDQIS_FSR,0.0115694
JODGAM_FSR,7.82E-06
JOQRIS_FSR,1.99E-05
JOXNAN_FSR,1.01E-05
JUYROM_freeONLY,9.14E-05
KALFIO_FSR,6.00E-05
KASLUO_FSR,2.15E-05
KAVTEI_freeONLY,2.89E-05
KEHGIO_FSR,6.12E-05
KESMEC_FSR,0.00421778
KEXDUN_FSR,0.000282429
KEYDEZ_FSR,8.63E-06
KIKDUF_freeONLY,0.00202387
KINQAB_freeONLY,0.0071654
KITHUR_FSR,1.18E-05
KIVGEC_FSR,1.95E-05
KOBPAV_FSR,0.000340155
KOSKIO_FSR,0.000277599
KUTNIY_FSR,1.90E-05
LABZIA_FSR,7.52E-05
LACJOR_FSR,0.00113373
LADHEF_freeONLY,0.00446189
LADYUN_FSR,5.78E-05
LAGHIL_freeONLY,0.000125258
LAZKUU_freeONLY,5.71E-05
LECQEQ_FSR,4.71E-05
LEVPAF_freeONLY,9.94E-06
LIFWOO_freeONLY,15.6841
LIHFAK_FSR,8.64E-05
LIQJEC_FSR,8.23E-06
LITCIC_FSR,0.000626014
LIVFUT_FSR,4.31E-05
LIVZOH_FSR,0.00163355
LIWXIZ_FSR,2.89E-05
LIZSIY_FSR,3.76E-05
LODBAJ_FSR,2.49E-05
LOVVAV_FSR,6.66E-05
LUFNAC_FSR,9.08E-05
LUFQUZ01_freeONLY,5.52E-06
LURGEL_FSR,0.00119817
LUSJAL_FSR,7.46E-05
LUTKIW_FSR,9.98E-06
MALFUD_freeONLY,0.00583341
MARJEW_FSR,6.02E-06
MARNUR01_FSR,3.92E-05
MAYJOM_freeONLY,9.75E-06
MENGIV_FSR,0.000220847
MERFEX_FSR,1.56E-06
MICDEJ_FSR,2.18E-06
MIHLEV_freeONLY,14.1359
MIJBAK01_FSR,5.00E-06
MIJSII_FSR,0.000118421
MIXYID_freeONLY,0.00199434
MULQOA_FSR,0.00410791
MUMLIR_FSR,1.17E-05
MUMYAW_freeONLY,9.12E-06
MUNPER_freeONLY,0.000124066
MUVGOA_freeONLY,5.63E-06
NAGQET_freeONLY,1.96E-05
NAHFIO_FSR,0.00168723
NAJTEA_FSR,0.00589213
NEBQOD_FSR,3.54E-05
NEGDAF_FSR,5.99E-06
NEPKUP_FSR,161.318
NEYBEZ_FSR,6.40E-06
NEYZAU_freeONLY,6.75E-05
NICJOA_FSR,2.07E-07
NIJSAC_FSR,3.30E-05
NIJZIP01_freeONLY,0.000189295
NIRPIQ_FSR,1.05E-05
NIYZIG_freeONLY,8.67E-06
NOZZUZ_FSR,0.000124079
OBEDEE_freeONLY,0.00123943
OBIHIT_FSR,8.36E-05
ODODES_freeONLY,0.000480373
OJIWAG_freeONLY,0.00116039
OKIRIK_FSR,8.88E-05
OKIZOZ_FSR,6.84E-06
OKOSUE_FSR,0.00198745
OLAQOJ_FSR,7.86E-05
OLEKUM_manual,4.44E-06
OPOGUW_FSR,2.76E-06
OSIWOD01_FSR,2.09E-06
OTAVAH_freeONLY,0.000675093
OTECEX_FSR,0.000772658
OTIQAL_FSR,0.000930838
OTOZII_FSR,0.000240246
PACZUQ_freeONLY,0.000119484
PAFMUH_freeONLY,4.34E-05
PAPRUU_FSR,1.06E-05
PATWOY_FSR,0.0164032
PEHTON_freeONLY,0.000106947
PENNUT_freeONLY,3.34E-05
PEPKUR_freeONLY,5.35E-06
PESSIS_FSR,6.85E-06
PESSUE_FSR,0.000666409
PEZCII_FSR,0.201508
PIHJOH03_FSR,1.71E-06
POLYEW_FSR,0.000773238
POSGAH_freeONLY,4.54E-05
PUFYEW_FSR,0.000194922
PUPJEQ_FSR,0.000154055
QAGDIO_FSR,0.00019406
QAKWUX_FSR,2.52E-06
QAPZUF_FSR,0.000113358
QARCET_FSR,3.79E-05
QAVZOE_FSR,1.94E-05
QEVKOS_freeONLY,0.000263474
QEZBUV_FSR,0.00616675
QIPROY_freeONLY,1.26E-05
QITCIF_FSR,2.87E-05
QIWDOR_freeONLY,4.35E-05
QIWSEU_FSR,7.72E-05
QIXNIW_freeONLY,0.000688192
QOBZOX_FSR,1.96E-05
QOMSES_FSR,3.90E-05
QOPZIF_FSR,0.000145534
QOVSOL_FSR,0.000437564
QOZSIJ_FSR,0.000155394
QUMFUB_freeONLY,5.92E-06
QUQQID_FSR,4.87E-05
RAQFUL_FSR,0.000320482
RAXNEK_FSR,0.000163422
RAYFEE_freeONLY,0.0572892
REBLES_FSR,7.23E-06
RINSUF_FSR,0.0289303
RIPKIM01_FSR,1.46E-06
RIXBEG_FSR,2.46E-05
RIYWED_FSR,0.00353666
ROCZUG_FSR,0.000275178
RONCAZ_FSR,6.33E-05
ROPWEA_FSR,0.00730172
RUBGUS_freeONLY,0.00012831
RUFRIV_freeONLY,0.0260403
RUHDEF_FSR,0.000180586
RUNXUV_freeONLY,6.25E-05
RUVBOB_freeONLY,5.52E-05
RUWWOW01_FSR,3.50E-06
RUWZOA_freeONLY,0.00944504
SABVOH01_freeONLY,3.83E-06
SADLOA_FSR,5.84E-06
SAMLAV_manual,1.27E-05
SARTAJ_FSR,9.79E-06
SASVOA_FSR,3.76E-05
SEFKUM_FSR,3.79E-06
SEHZUB_freeONLY,0.00258526
SEQGUR_FSR,0.0176286
SERKAC_FSR,1.33E-06
SERZAT_FSR,0.0105417
SINKUX_FSR,0.000109918
SIPHUV_FSR,0.0608344
SIXFIQ01_FSR,0.000110864
SOFKOQ_FSR,2.26E-05
SOMJOV_FSR,8.46E-05
SOPLOA_freeONLY,0.00270142
SOVHAM_freeONLY,0.00112738
SOWCOY01_FSR,0.000214794
SUPLOF_FSR,0.000239725
SURDOA_FSR,0.000635941
SUWCIY_FSR,6.23E-06
TADYEE_freeONLY,0.000496002
TAHJES_FSR,7.82E-06
TAKTEH_FSR,0.000141661
TEBSAW_freeONLY,4.48E-06
TEQTEQ_FSR,1.97E-06
TEYDOR_FSR,2.06E-06
TITTEY_FSR,0.000131874
TIZBOW_FSR,1.54E-05
TONLOY_freeONLY,5.06E-05
TOTVOP_FSR,6.25E-05
TOYHIB_FSR,0.00126231
TUJDEJ_FSR,0.711037
UDAFOX_FSR,9.74E-05
UDUNAI_FSR,8.86E-07
UFAQEA_FSR,7.74E-05
UFEXIN_freeONLY,0.00228337
UFOBAV_FSR,9.44E-07
UMAQAC_FSR,6.17E-06
UQENIP_FSR,9.96E-05
USUBUG_FSR,7.43E-06
UVAROZ_FSR,0.000220738
UXEHIP_FSR,0.000149495
UZEBOS01_FSR,0.000104703
VAHQAY_freeONLY,4.54E-05
VAMQUY_FSR,0.013215
VASGII_FSR,0.0302055
VEDGIW_FSR,9.00E-06
VEHPUU_FSR,0.000164839
VEJYIT_FSR,6.17E-06
VEKPOT_FSR,0.000224029
VETTOE_FSR,0.00575042
VEXVAW_freeONLY,4.29E-05
VIYZAF_FSR,0.0169049
VORSAY_FSR,0.00251282
VUQJUN_FSR,0.00131134
VUWWES_FSR,1.40E-06
VUZREQ_FSR,8.49E-07
WAHFUJ01_FSR,6.64E-06
WATYIB_FSR,0.00533796
WECFAN01_FSR,0.000100773
WEDQED_freeONLY,0.000738199
WEMCAU_FSR,5.03E-05
WEVQIX_freeONLY,0.000427242
WEXVUQ_FSR,1.57E-05
WILHUX_FSR,6.16E-05
WIMYEZ_FSR,9.88E-05
WISVEB_FSR,3.29E-05
WIYFAM_freeONLY,3.58E-06
WOBHEB_FSR,1.61E-05
WOFSUH_FSR,0.000112818
WOHSOB_FSR,0.000145535
WORSUT_FSR,42829.9
WOSCIS_FSR,2.58E-05
WOVDES_freeONLY,0.0894022
WUBLUD_FSR,7.40E-07
WUJFIR_FSR,3.51E-05
WUQRUV_FSR,4.55E-07
XAKQOR_freeONLY,0.000215064
XALTIP_freeONLY,8.21E-06
XEGJOK_FSR,259.666
XEGQOS_FSR,1.83E-06
XEJWUG_FSR,1.23E-05
XEQGEH_FSR,9.51E-05
XILVIZ_FSR,0.0181136
XIXLUO_FSR,4.50E-05
XUDMAL_FSR,3.30E-06
XUFZIJ_FSR,0.00101087
XUVPAH_FSR,9.36E-05
YADNEW_FSR,0.000661229
YARFII_FSR,0.000755824
YARSAN_FSR,0.000805435
YAYRIC02_FSR,0.000852813
YEKXOD_freeONLY,1.12E-05
YIWBEN_freeONLY,2.47E-05
ZAGFOF_FSR,6.23E-05
ZAZBUZ_FSR,2.42E-05
ZECKOJ_freeONLY,2.77E-05
ZEKKIM_FSR,0.0238337
ZEQDUW_FSR,0.027017
ZESZEE_FSR,2.09E-05
ZIFNUA_FSR,1.72E-05
ZIWQII_FSR,3.89E-06
ZOHCEH_FSR,4.24E-06
ZOHQIZ_FSR,0.000855991
ZOMNEW_FSR,0.0004719
ZURQOS_freeONLY,0.000214953
