Element,Count
Ba,452
Cu,11265
H,639974
C,718863
O,249106
S,13583
I,3952
N,155286
Co,3386
Zn,12576
Ag,5045
Pb,797
Dy,670
La,556
Pr,504
Nd,699
Cl,8993
Sm,641
Eu,132
Gd,857
Mn,2327
Cd,8786
In,276
Hg,1313
Na,1273
Br,3359
Pd,120
K,1274
Fe,790
F,7897
Rb,291
Cs,316
Ca,679
Ni,1945
Y,221
Tb,918
Mg,607
Er,471
Ce,45
Sn,575
P,3392
Li,1108
Ga,159
Mo,804
Se,300
V,559
Ho,341
Yb,194
Bi,188
Sr,423
Tl,274
Au,301
B,583
Nb,18
Ir,14
Rh,114
U,491
Zr,49
Ti,98
Lu,87
Sb,82
Si,215
Sc,103
Ge,29
Pt,118
Al,160
Cr,107
Te,88
Tm,131
As,84
Np,5
Ru,124
W,142
Th,29
Tc,2
Be,6
Pu,11
Re,36
