name,ions,mean
DIHPIU_charged,BF2,-0.137194144
CUSDIE_charged,BF4,-0.757122422
HIFZAY_charged,BF4,-0.614059446
KUBQAA_charged,BF4,-0.854691323
LAGDEE_charged,BF4,-0.816636546
MAXFIA_charged,BF4,-0.998164117
MOXPEV_charged,BF4,-0.597115621
MOXPOF_charged,BF4,-0.300955594
OBEDAA_charged,BF4,-0.777523763
OBONUO_charged,BF4,-0.760145545
OKIJUO_charged,BF4,-0.828012653
OMORUE_charged,BF4,-0.476929866
TALJUM_charged,BF4,-0.637663116
TIZVED_charged,BF4,-0.76618193
TIZVED01_charged,BF4,-0.762391542
WEHQAC_charged,BF4,-0.6134305
XAYNAM_charged,BF4,-0.870328017
XICDUI_charged,BF4,-0.825129852
ZAXQUM_charged,BF4,-0.654063073
ADOCIG_charged,Br,-0.741442114
EWIMON_charged,Br,-0.591127515
PADBAZ_charged,Br,-0.266700283
WEMJII_charged,Br,-0.586416721
QAYTOZ_charged,Br4Hg,-1.513649806
JUPFOP_charged,C2H3O2,-0.747273953
EBIMOT_charged,C2H6N,0.193661017
GAJVEU_charged,C2H6N,0.227863975
IMUVAO_charged,C2H6N,0.106969237
NEDVOJ_charged,C2H6N,0.325398902
QUSBEM_charged,C2H6N,0.194273949
QUSBIQ_charged,C2H6N,0.220382506
AWEBIO_charged,C2H8N,0.707651072
BELVAR_charged,C2H8N,0.67236917
BELVEV_charged,C2H8N,0.619155172
CAJVUG_charged,C2H8N,0.778011791
DASTEY01_charged,C2H8N,0.687532217
DOQKAW_charged,C2H8N,0.707630794
EBIMIN_charged,C2H8N,0.68498938
GAJVIY_charged,C2H8N,0.694891786
GAZZIS_charged,C2H8N,0.713315966
GAZZIS01_charged,C2H8N,0.716769457
GAZZIS02_charged,C2H8N,0.707190953
GAZZIS03_charged,C2H8N,0.694883266
GAZZIS04_charged,C2H8N,0.73075333
GAZZIS05_charged,C2H8N,0.696988189
KEFWEZ_charged,C2H8N,0.697088892
KOYRAT_charged,C2H8N,0.681759565
MOXDOT_charged,C2H8N,0.54912086
NANYUX_charged,C2H8N,0.704927858
NANYUX01_charged,C2H8N,0.776194568
NANYUX02_charged,C2H8N,0.732494539
NISPEL_charged,C2H8N,0.743677785
PANYOU_charged,C2H8N,0.693164475
PARKUQ_charged,C2H8N,0.691503851
RAXCAW_charged,C2H8N,0.684272597
RAXCEA_charged,C2H8N,0.726965862
RINPEJ_charged,C2H8N,0.736162915
VAKREG_charged,C2H8N,0.502368765
