IP,EA,HomoLumoGap,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,VSA_EState1,HeavyAtomCount,NumHeteroatoms,MolLogP,MolMR,fr_halogen,SPS,LF,GWP
0.423468673,-0.137798679,0.372,10.97511574,10.97511574,4.236111111,-5.626736111,0.542733125,14.4,168.036,166.02,168.000984,62,0.422901126,-0.376561905,0.422901126,0.376561905,0.8,1,1,19.42480145,10.33377901,2.552528626,-2.160897314,2.320402299,-2.41265426,4.721493343,-0.308368958,1.589495197,4.231132186,97.1417863,8.577350269,4.292350703,4.292350703,4.154700538,1.969442578,1.969442578,1.485761556,1.485761556,-0.46,63.57980789,9.54,2.296528024,2.421671467,51.25658143,65.85069444,10,7,1.4719,18.1168,6,14.4,0.278753601,2.31386722
0.381240875,-0.072472079,0.26959,12.22916667,12.22916667,1.137916667,-6.228333333,0.587135481,15.38461538,214.055,212.039,214.0028758,78,0.434920684,-0.218758441,0.434920684,0.218758441,0.692307692,1,1.076923077,19.43265247,10.06362478,2.707472652,-2.25782741,2.465069745,-2.510448162,5.084874022,-0.321796965,1.824142155,5.211085631,181.5603758,10.91421356,5.678416322,5.678416322,5.560660172,2.663102014,2.663102014,1.999939279,1.999939279,-0.82,277.2696076,12.18,3.149489421,2.100270606,66.83369968,92.20395833,13,8,3.3025,26.197,8,15.38461538,-0.476253533,0.914871818
0.41355199,-0.0511963,0.29259,11.66435185,11.66435185,2.756944444,-5.679398148,0.453411809,14.4,202.937,201.929,201.9375465,62,0.455720038,-0.193181466,0.455720038,0.193181466,0.9,1.2,1.2,35.53916891,10.36868176,2.613096818,-2.190711747,2.410608801,-2.414519299,6.445862678,-0.275243663,1.617252176,4.403817967,116.5516958,8.577350269,4.22310158,5.734959472,4.193375673,1.920022098,2.792893659,1.421421835,2.517686494,0.23,69.54184355,10.23,2.695265578,1.854712603,62.90334473,56.82453704,10,7,2.9877,26.496,7,14.4,0.278753601,2.136720567
0.441424512,-0.089009338,0.33465,10.86033951,10.86033951,3.769290123,-4.361111111,0.382491385,12.85714286,136.475,135.467,135.9702906,44,0.380825208,-0.201992468,0.380825208,0.201992468,1.285714286,1.428571429,1.428571429,35.49589493,10.7486096,2.369181251,-2.019438279,2.257729413,-2.16681875,6.214862761,-0.062949299,1.314320487,3.541196965,55.20035948,6.077350269,2.967172634,3.72310158,2.943375673,1.292057625,1.670022098,0.84230905,1.346241226,0.01,17.08616633,7.01,1.858233742,2.675557404,42.06960098,43.04012346,7,5,2.0831,16.804,5,12.85714286,1.230448921,3.315970345
0.42667495,-0.07575042,0.31563,11.21921296,11.21921296,2.921682099,-4.946442901,0.472871295,15.9,184.491,182.475,183.9714335,62,0.428429501,-0.293544238,0.428429501,0.293544238,1.2,1.6,1.7,35.495762,10.69538361,2.405000514,-2.121452871,2.263937846,-2.273934137,6.197367619,-0.245593139,1.602158148,3.734823721,101.5564106,8.36180732,4.330735667,5.086664613,4.337222523,1.981680036,2.418115816,1.25439524,1.650787292,-0.1,76.9035911,9.9,3.337834265,3.837557392,57.71362373,58.59709877,10,7,2.3528,22.785,6,15.9,0.544068044,2.731588765
0.42450555,-0.08819666,0.32441,11.58796296,11.58796296,2.525462963,-4.629243827,0.483294093,15.9,184.491,182.475,183.9714335,62,0.404702516,-0.25447272,0.404702516,0.25447272,1.2,1.6,1.7,35.49577932,10.68541059,2.427272129,-2.143217938,2.272654717,-2.308763697,6.196177818,-0.329976952,1.603051681,3.86555893,105.0661856,8.36180732,4.330735667,5.086664613,4.359877892,1.979337574,2.415773355,1.241001343,1.624176453,-0.1,78.54953236,9.9,3.337834265,3.165718374,57.71362373,59.02453704,10,7,2.3528,22.785,6,15.9,0.645422269,2.815577748
0.43546974,-0.11220313,0.38841,12.9233801,12.9233801,1.393730867,-7.36078125,0.516575101,18,386.035,386.035,385.9623889,140,0.528600066,-0.238007823,0.528600066,0.238007823,0.434782609,0.782608696,1.043478261,19.43521998,10.24772276,2.793874651,-2.346763322,2.511344317,-2.619142945,4.871885308,-0.584592548,2.044987074,5.701846608,406.2063416,19.12132034,9.516247494,9.516247494,9.621320344,4.370496182,4.370496182,3.270829657,3.270829657,-1.1,12333.31704,21.9,5.76201015,6.129415194,114.2220929,171.9675702,23,17,4.447,35.153,14,18,2.903089987,4.012837225
0.414567615,-0.073366255,0.29323,4.763888889,4.763888889,0.194444444,0.194444444,0.389962107,6,84.933,82.917,83.95335542,20,0.09670639,-0.10913233,0.10913233,0.09670639,1.333333333,1.333333333,1.333333333,35.53900508,11.92599492,1.41220442,-1.42363036,1.72667531,-1.23967531,6.402082915,2.204917085,0.918295834,1.632993162,2.754887502,2.707106781,1.463035727,2.974893619,1.414213562,0.534522484,1.603567451,0.101015254,0.90913729,0.58,2.754887502,3.58,2.58,2.58,29.34578348,0,3,2,1.4215,16.573,2,6,-0.307153081,1.049218023
0.37694324,-0.07902519,0.29406,12.97012188,12.97012188,2.070094128,-8.27638322,0.597180293,16.32,414.108,409.068,414.0100881,152,0.459647294,-0.396140421,0.459647294,0.396140421,0.44,0.72,1,19.43430392,9.90044085,2.926581833,-2.409826129,2.620654719,-2.721791518,5.123985061,-0.452259336,2.354440077,6.396388943,475.8839282,20.91421356,11.03089425,11.03089425,10.56066017,5.504514704,5.504514704,4.547779834,4.547779834,-1.09,43430.00166,23.91,5.973004133,3.092829532,126.9360527,188.6354914,25,16,4.7429,47.4398,15,16.32,-1.327902142,-0.347753659
0.422616145,-0.114412705,0.32476,10.05709877,10.05709877,0.777777778,-0.777777778,0.373734356,6,68.478,66.462,67.98290596,20,0.162895094,-0.233647252,0.233647252,0.162895094,2,2,2,35.49569634,11.8291885,1.426047023,-1.424559946,1.650895408,-1.291763624,6.16430715,0.598954913,0.918295834,1.632993162,4.754887502,2.707106781,1.463035727,2.218964673,1.414213562,0.534522484,1.069044968,0.101015254,0.303045763,0.22,2.754887502,3.22,2.22,2.22,23.20805266,10.05709877,3,2,1.1522,11.828,2,6,0.079181246,1.899820502
0.452414836,-0.170784407,0.46278,11.52083333,11.52083333,2.379583333,-4.956018519,0.49103934,13.09090909,184.035,182.019,183.9958986,68,0.493960089,-0.232108811,0.493960089,0.232108811,0.818181818,1.090909091,1.272727273,19.31683147,11.14014163,2.389142341,-2.137552772,2.224800095,-2.290363893,4.298520486,-0.46615431,1.530951606,3.793809545,102.3950231,9.068914101,4.738983957,4.738983957,4.833004439,2.130488845,2.130488845,1.220376407,1.220376407,-0.5,110.2285157,10.5,3.76611797,5.921052632,56.68943813,71.61574074,11,8,2.0151,19.125,6,13.09090909,1.423245874,3.782472624
0.40817283,-0.06362906,0.28849,11.2183642,11.2183642,1.051697531,-2.055555556,0.42590229,12,116.95,113.926,115.9595837,32,0.253967448,-0.2084811,0.253967448,0.2084811,1.6,1.6,1.6,35.53939508,10.90347281,2.094110024,-1.922921463,2.188314216,-1.897399676,6.462127418,0.423568798,0.721928095,3.023715784,23.11941548,4.5,2.633893419,4.145751311,2,1.06694671,1.822875656,0.781232424,2.394304227,0.51,3.609640474,5.51,1.311078808,109.2404883,39.876261,9.162808642,5,3,2.1072,21.219,3,12,0.973127854,2.934498451
0.460778278,-0.045651207,0.32379,11.92361111,11.92361111,0.458333333,-6.263888889,0.543893599,14.16666667,195.037,195.037,194.9918965,70,0.445300381,-0.206548483,0.445300381,0.206548483,0.75,1,1,19.43259273,10.09191033,2.733689808,-2.221800496,2.448737341,-2.514562045,5.109735478,-0.318159768,1.805472299,5.135322704,190.9169406,10.20710678,5.092964907,5.092964907,5.060660172,2.296482453,2.296482453,1.765794892,1.765794892,-1,173.3253407,11,2.5,1.44,61.38540487,79.62236111,12,8,2.34288,21.562,7,14.16666667,1.537819095,3.439332694
0.401892614,-0.040775006,0.25182,11.45891204,11.45891204,3.768518519,-5.944837963,0.526121263,16,200.028,200.028,199.9872258,72,0.445450509,-0.198487325,0.445450509,0.198487325,0.583333333,0.75,0.833333333,19.42313839,10.39809777,2.471472358,-2.065453205,2.367274446,-2.170977099,5.096681208,-0.13881511,1.801319709,4.964229828,170.08385,10.15470054,5.023715784,5.023715784,5.065384141,2.261857892,2.261857892,1.623482611,1.623482611,-0.82,174.7280118,11.18,2.906610388,2.665666078,60.46875756,89.2600463,12,8,3.2616,21.352,8,16,-1.070581074,0.294466226
0.387456284,-0.081865793,0.26508,11,11,1.125,-5.171875,0.443447289,14.375,132.031,131.023,131.9998411,48,0.444779307,-0.212330671,0.444779307,0.212330671,1.25,1.625,1.625,19.41725975,10.58103878,2.341542243,-1.971965771,2.253794296,-2.061537264,4.924843203,-0.10945143,1.620335266,4.028893685,98.73163484,6.78445705,3.467172634,3.467172634,3.481380475,1.512821971,1.512821971,0.954805645,0.954805645,-0.61,35.64737585,7.39,2.105461013,1.902080656,41.60720924,53.92418981,8,5,2.3291,16.354,5,14.375,-1.568636236,-0.463441557
0.34915741,-0.06960847,0.24204,10.96219136,10.96219136,1.50308642,-1.50308642,0.475710651,14,132.924,132.924,131.9345118,36,0.236290354,-0.189219637,0.236290354,0.189219637,1,1.166666667,1.166666667,35.4981145,11.13589611,1.926262665,-1.720063983,2.1389314,-1.519009264,6.366666169,0.609498752,1.360964047,3.675948765,59.61727061,5.154700538,2.511857892,4.023715784,2.64273441,1.005928946,1.761857892,0.520821616,1.184500375,0.18,13.60964047,6.18,2.369765503,2.41923445,43.35219337,21.92438272,6,4,2.5296,20.948,4,14,-1.721246399,-0.899629455
0.38680363,-0.078676595,0.26133,11,11,1.125,-5.171875,0.443447289,14.375,132.031,131.023,131.9998411,48,0.444779307,-0.212330671,0.444779307,0.212330671,1.25,1.625,1.625,19.41725975,10.58103878,2.341542243,-1.971965771,2.253794296,-2.061537264,4.924843203,-0.10945143,1.620335266,4.028893685,98.73163484,6.78445705,3.467172634,3.467172634,3.481380475,1.512821971,1.512821971,0.954805645,0.954805645,-0.61,35.64737585,7.39,2.105461013,1.902080656,41.60720924,53.92418981,8,5,2.3291,16.354,5,14.375,-1.795880017,-0.928117993
