SMILE,IP,EA,HomoLumoGap
C(C(F)(F)F)(C(F)(F)F)O,0.423468673,-0.137798679,0.372
 C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F  ,0.381240875,-0.072472079,0.26959
 C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,-0.0511963,0.29259
 C(C(F)(F)Cl)(F)F  ,0.441424512,-0.089009338,0.33465
 C(C(F)(F)F)(OC(F)F)Cl,0.42667495,-0.07575042,0.31563
 C(C(OC(F)F)(F)F)(F)Cl  ,0.42450555,-0.08819666,0.32441
 C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F ,0.43546974,-0.11220313,0.38841
 C(Cl)Cl ,0.414567615,-0.073366255,0.29323
 C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F  ,0.37694324,-0.07902519,0.29406
 C(F)Cl ,0.422616145,-0.114412705,0.32476
 C(OC(OC(F)F)(F)F)(F)F  ,0.452414836,-0.170784407,0.46278
 CC(F)(Cl)Cl  ,0.40817283,-0.06362906,0.28849
C(#N)C(C(F)(F)F)(C(F)(F)F)F ,0.460778278,-0.045651207,0.32379
C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,-0.040775006,0.25182
C(=C(/C(F)(F)F)\F)\F,0.387456284,-0.081865793,0.26508
C(=C(/F)\Cl)(\F)/Cl  ,0.34915741,-0.06960847,0.24204
C(=C(\C(F)(F)F)/F)\F,0.38680363,-0.078676595,0.26133
C(=C(Cl)Cl)(Cl)Cl,0.34069019,-0.03826466,0.22142
C(=C(Cl)Cl)(F)F,0.34990958,-0.07309798,0.24667
C(=C(Cl)Cl)Cl,0.34557732,-0.05399329,0.2316
C(=C(F)F)(C(=C(F)F)F)F,0.322808574,-0.052947202,0.2002
C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,-0.066658337,0.25522
C(=C(F)F)(C(C(F)(F)F)(F)F)F ,0.381971942,-0.072161368,0.26111
C(=C(F)F)(C(F)(F)F)F,0.385783705,-0.084676947,0.26608
C(=C(F)F)(F)F,0.367042484,-0.140748955,0.2841
C(=C(F)F)(OC(F)(F)F)F,0.369837428,-0.110437553,0.27597
C(=C(F)F)F,0.367537859,-0.134661826,0.28046
C(=C/Cl)\C(F)(F)F  ,0.380799562,-0.054501372,0.25117
C(=C/Cl)\F  ,0.357129643,-0.097376176,0.25675
C(=C/F)\C(F)(F)F,0.395292688,-0.080720398,0.27302
C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,-0.033431564,0.26327
C(=C\F)\C(F)(F)F,0.394313412,-0.075322411,0.26707
C(=CC(F)(F)F)C(F)(F)F,0.420768808,-0.03959119,0.27159
C(=CCl)C(F)(F)F ,0.380799567,-0.054501368,0.25117
C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,0.01439948,0.21221
C(Br)(Br)Br,0.3652842,-0.00429108,0.20765
C(Br)Br ,0.37603692,-0.04564583,0.24224
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F  ,0.42710509,-0.08330107,0.3597
C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,-0.11445633,0.37523
C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,-0.118131188,0.33801
C(C(C(C(F)(F)F)F)(F)F)O,0.397771334,-0.126354823,0.3478
C(C(C(F)(F)Cl)(F)F)(F)Cl  ,0.41301378,-0.06068886,0.31399
C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F ,0.43155834,-0.10653184,0.36586
C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F ,0.45274427,-0.11874679,0.39637
C(C(C(F)(F)F)(F)F)(F)F,0.444128271,-0.146483982,0.40148
C(C(C(F)(F)F)(F)F)F,0.442388325,-0.138171478,0.39405
C(C(C(F)(F)F)(F)F)O,0.402461134,-0.13416049,0.3498
C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.43849431,-0.09893422,0.37426
C(C(C(F)(F)F)F)F,0.441109306,-0.135181198,0.38883
C(C(C(F)F)(F)F)F,0.425993591,-0.144049611,0.38625
C(C(C(F)F)(F)F)O,0.391070215,-0.137037425,0.34576
C(C(C(F)F)(F)F)OC(F)F,0.41273935,-0.139536222,0.38321
C(C(Cl)(Cl)Cl)(F)(F)Cl,0.40493145,-0.0206872,0.26619
C(C(Cl)(Cl)Cl)(F)(F)F,0.41366938,-0.02413213,0.26783
C(C(Cl)Cl)(F)F ,0.41720555,-0.06150521,0.29595
C(C(F)(Cl)Cl)(Cl)Cl ,0.39143845,-0.02880397,0.26726
C(C(F)(Cl)Cl)(F)(Cl)Cl,0.40716058,-0.02792182,0.28124
C(C(F)(Cl)Cl)(F)(F)Cl,0.42040364,-0.04029044,0.29286
C(C(F)(Cl)Cl)(F)(F)F,0.43024014,-0.04854384,0.29392
C(C(F)(Cl)Cl)(F)Cl  ,0.40705172,-0.03901046,0.28215
C(C(F)(Cl)Cl)F  ,0.41872573,-0.05778599,0.29288
C(C(F)(F)Br)(F)(F)Br ,0.39522931,-0.01531468,0.24622
C(C(F)(F)Cl)(Cl)Cl ,0.40670093,-0.04148207,0.28432
C(C(F)(F)Cl)(F)(F)Cl,0.43310363,-0.0657485,0.32408
C(C(F)(F)Cl)(F)(F)F ,0.4565249,-0.08459308,0.33644
C(C(F)(F)Cl)(F)Cl ,0.42559675,-0.0689971,0.31698
C(C(F)(F)F)(C(F)(F)F)(F)F  ,0.465475764,-0.145627378,0.42021
C(C(F)(F)F)(C(F)(F)F)F,0.46716158,-0.135396352,0.41225
C(C(F)(F)F)(Cl)Br ,0.40330832,-0.03906782,0.25572
C(C(F)(F)F)(Cl)Cl ,0.42308256,-0.05666273,0.29568
C(C(F)(F)F)(F)(F)F,0.494092245,-0.191544565,0.47485
C(C(F)(F)F)(F)Br  ,0.41074817,-0.06402068,0.27328
C(C(F)(F)F)(F)Cl  ,0.434961906,-0.090618587,0.32506
C(C(F)(F)F)(F)F,0.466143167,-0.182417438,0.43772
C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0.44524624,-0.11831992,0.41176
C(C(F)(F)F)(OC(F)(F)F)F,0.463875284,-0.158402893,0.44026
C(C(F)(F)F)(OC(F)F)F,0.449640889,-0.162287933,0.43354
C(C(F)(F)F)Br ,0.40375793,-0.07171444,0.27033
C(C(F)(F)F)C(F)(F)F,0.475636481,-0.161763272,0.46237
C(C(F)(F)F)Cl  ,0.431566028,-0.096790179,0.31956
