index,SMILE,IP,FractionCSP3,BCUT2D_LOGPHI,qed,FpDensityMorgan1,Chi2v,BCUT2D_CHGLO,SPS,SMR_VSA5,VSA_EState8,GWP
0,C(C(F)(F)F)(C(F)(F)F)O,0.423468673,1.0,2.320402298542501,0.5427331254389619,0.8,1.4857615563239732,-2.1608973138098992,14.4,18.456563422635252,0.0,2.31386722
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.381240875,0.6,2.4650697447410557,0.5871354807043392,0.6923076923076923,1.9999392786391008,-2.257827409720573,15.384615384615385,18.02135685363263,0.0,0.914871818
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,1.0,2.4106088014171245,0.45341180918742213,0.9,2.5176864941752854,-2.1907117469541904,14.4,16.935097375788107,0.0,2.136720567
3,C(C(F)(F)Cl)(F)F,0.441424512,1.0,2.257729413346108,0.3824913854914838,1.2857142857142858,1.3462412257102054,-2.0194382790036265,12.857142857142858,11.807155734998098,0.0,3.315970345
4,C(C(F)(F)F)(OC(F)F)Cl,0.42667495,1.0,2.263937846085508,0.4728712952679373,1.2,1.6507872917510102,-2.1214528707200495,15.9,18.350951813682208,-3.5100694444444445,2.731588765
5,C(C(OC(F)F)(F)F)(F)Cl,0.42450555,1.0,2.272654716583178,0.48329409286155045,1.2,1.6241764533060352,-2.143217938250827,15.9,18.350951813682208,-3.7435185185185196,2.815577748
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0.43546974,1.0,2.5113443173601584,0.5165751014110705,0.43478260869565216,3.27082965726316,-2.346763322079888,18.0,37.159075756786706,0.0,4.012837225
7,C(Cl)Cl,0.414567615,1.0,1.7266753099347363,0.3899621067041534,1.3333333333333333,0.9091372900969896,-1.423630359926603,6.0,0.0,0.0,1.049218023
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37694324,1.0,2.6206547191557967,0.5971802928745348,0.44,4.547779834123849,-2.409826128768731,16.32,48.13229514893695,-2.0700941279289484,-0.347753659
9,C(F)Cl,0.422616145,1.0,1.6508954077685765,0.3737343558390309,2.0,0.3030457633656632,-1.4245599463570835,6.0,0.0,0.0,1.899820502
10,C(OC(OC(F)F)(F)F)(F)F,0.452414836,1.0,2.2248000950478524,0.4910393395339294,0.8181818181818182,1.220376407399968,-2.137552771925395,13.090909090909092,19.517660024160598,-7.743055555555557,3.782472624
11,CC(F)(Cl)Cl,0.40817283,1.0,2.188314215756155,0.4259022902552142,1.6,2.3943042269608665,-1.9229214633085416,12.0,11.510860662524962,1.0516975308641978,2.934498451
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.460778278,0.75,2.448737341214894,0.5438935986765442,0.75,1.765794891717179,-2.2218004961788536,14.166666666666666,18.02135685363263,0.0,3.439332694
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,0.5,2.367274446324797,0.5261212634391369,0.5833333333333334,1.6234826110944962,-2.0654532053331764,16.0,12.35259703488695,0.0,0.294466226
14,C(=C(/C(F)(F)F)\F)\F,0.387456284,0.3333333333333333,2.2537942961919173,0.44344728909575376,1.25,0.9548056448283403,-1.97196577053317,14.375,6.176298517443475,0.0,-0.463441557
15,C(=C(/F)\Cl)(\F)/Cl,0.34915741,0.0,2.138931400049142,0.47571065063195817,1.0,1.184500374589883,-1.7200639833049483,14.0,0.0,0.0,-0.899629455
16,C(=C(\C(F)(F)F)/F)\F,0.38680363,0.3333333333333333,2.2537942961919173,0.44344728909575376,1.25,0.9548056448283403,-1.97196577053317,14.375,6.176298517443475,0.0,-0.928117993
17,C(=C(Cl)Cl)(Cl)Cl,0.34069019,0.0,2.1955219623417714,0.5179764020153201,0.6666666666666666,2.4196077047419675,-1.7548169939500275,8.0,0.0,0.0,0.802089258
18,C(=C(Cl)Cl)(F)F,0.34990958,0.0,2.1433879929240627,0.47571065063195817,1.1666666666666667,1.4702146603041688,-1.7199008290337376,8.0,0.0,0.0,-1.677780705
19,C(=C(Cl)Cl)Cl,0.34557732,0.0,2.0542662292372316,0.4737750586148194,1.4,1.6248376489191085,-1.639883105102577,7.0,0.0,0.0,-1.356547324
20,C(=C(F)F)(C(=C(F)F)F)F,0.322808574,0.0,2.2325182330389555,0.40998695990753725,0.5,1.1487860888755972,-1.8679238183306492,9.0,0.0,0.0,-2.397940009
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,0.5,2.4249929919444093,0.5695133913062662,0.75,1.6465451579182315,-2.157793498066284,13.0,12.098827685538051,0.0,-1.045757491
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.381971942,0.5,2.4249929919444093,0.5695133913062662,0.75,1.6465451579182315,-2.157793498066284,13.0,12.098827685538051,0.0,-0.991399828
23,C(=C(F)F)(C(F)(F)F)F,0.385783705,0.3333333333333333,2.2928221944299443,0.4653113245049681,0.8888888888888888,1.0721521134804333,-1.9828417533284886,11.333333333333334,6.176298517443475,0.0,-1.045757491
24,C(=C(F)F)(F)F,0.367042484,0.0,2.0752478884996903,0.4081112544268904,0.6666666666666666,0.52082161586637,-1.6869329886781672,8.0,0.0,0.0,-2.397940009
25,C(=C(F)F)(OC(F)(F)F)F,0.369837428,0.3333333333333333,2.2327577875080955,0.4292130335586439,1.0,1.0819184856273212,-2.0306786163563215,11.0,6.362358859030383,0.0,-2.0
26,C(=C(F)F)F,0.367537859,0.0,1.9315112436557258,0.4168058255363289,1.4,0.39875540678256,-1.5937994876600856,7.0,0.0,0.0,-2.301029996
27,C(=C/Cl)\C(F)(F)F,0.380799562,0.3333333333333333,2.1525877209353586,0.4720737424715008,1.2857142857142858,1.086243689315597,-1.9225551348989691,13.142857142857142,6.176298517443475,0.0,0.588831726
28,C(=C/Cl)\F,0.357129643,0.0,1.732131297595268,0.41520184119842773,1.75,0.5039526306789698,-1.427262777373859,9.5,0.0,0.0,-2.397940009
29,C(=C/F)\C(F)(F)F,0.395292688,0.3333333333333333,2.1480954250071633,0.42244900321100093,1.1428571428571428,0.834267373976112,-1.9176289922418381,13.142857142857142,6.176298517443475,0.0,0.136720567
30,C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,0.5,2.2174446747373597,0.38101677762069575,0.6,1.416558432612739,-1.9933948441087153,14.6,12.35259703488695,0.0,0.318063335
31,C(=C\F)\C(F)(F)F,0.394313412,0.3333333333333333,2.1480954250071633,0.42244900321100093,1.1428571428571428,0.834267373976112,-1.9176289922418381,13.142857142857142,6.176298517443475,0.0,-0.501689446
32,C(=CC(F)(F)F)C(F)(F)F,0.420768808,0.5,2.2174446747373597,0.38101677762069575,0.6,1.416558432612739,-1.9933948441087153,13.0,12.35259703488695,0.0,1.252853031
33,C(=CCl)C(F)(F)F,0.380799567,0.3333333333333333,2.1525877209353586,0.4720737424715008,1.2857142857142858,1.086243689315597,-1.9225551348989691,10.857142857142858,6.176298517443475,0.0,-0.342944147
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,0.8333333333333334,2.5140506458605447,0.7117613075318905,0.5263157894736842,3.055267751554555,-2.3120151014067587,15.578947368421053,30.12018453917068,0.0,-0.943095149
35,C(Br)(Br)Br,0.3652842,1.0,2.131510843773625,0.5812778100557083,1.0,6.680767400622813,-1.703292031531636,9.0,2.6457101185676493,0.0,-0.602059991
36,C(Br)Br,0.37603692,1.0,1.8300848860732386,0.49009217871797,1.3333333333333333,2.727411870290968,-1.4261266256562073,6.0,0.0,0.0,0.178976947
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.42710509,1.0,2.5979390014527524,0.6573124695290602,0.25,3.293090315836464,-2.3708179480446128,16.5,36.04271370726526,0.0,3.935507266
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,1.0,2.4836888323444075,0.626964147987803,0.6923076923076923,1.9958148790672414,-2.265898393830886,15.23076923076923,24.446801598491817,0.0,3.460897843
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,1.0,2.4541563170800313,0.6736471786433598,0.8333333333333334,1.9347147416310977,-2.257547944567811,15.0,18.02135685363263,-2.556041666666667,1.562292864
40,C(C(C(C(F)(F)F)F)(F)F)O,0.397771334,1.0,2.336677127029468,0.6415154404025608,1.0909090909090908,1.8233137389904406,-2.194411817217038,16.636363636363637,18.270503081048343,-2.159050925925926,1.484299839
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0.41301378,1.0,2.419335668049369,0.47748784418387724,1.1,2.279293466852799,-2.1962883935645414,17.1,16.935097375788107,0.0,2.754348336
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.43155834,1.0,2.569350869783072,0.6732319281386244,0.29411764705882354,2.7186972713986655,-2.3371391264821053,16.235294117647058,30.12018453917068,0.0,3.964730921
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0.45274427,1.0,2.527928368302267,0.6139900655067855,0.35714285714285715,2.1443042269608665,-2.2872825455214705,15.857142857142858,24.197655371076102,0.0,4.0
44,C(C(C(F)(F)F)(F)F)(F)F,0.444128271,1.0,2.3915447290247545,0.5298835509469577,0.8,1.4214218346294432,-2.1703170927277555,14.4,18.524272430397243,0.0,3.474216264
45,C(C(C(F)(F)F)(F)F)F,0.442388325,1.0,2.346923093476261,0.5047221541678888,0.8888888888888888,1.335838435141093,-2.1418442381616,14.0,12.098827685538051,-2.697916666666667,3.130333768
46,C(C(C(F)(F)F)(F)F)O,0.402461134,1.0,2.338065575561471,0.5560995305933862,1.0,1.3603216971932997,-2.1521174652749044,14.0,12.098827685538051,-2.197916666666667,1.53529412
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.43849431,1.0,2.434498175172428,0.6602972019047446,0.6,2.465865423057733,-2.255569376966136,18.8,30.618476994002112,0.0,3.204119983
48,C(C(C(F)(F)F)F)F,0.441109306,1.0,2.2207402452616885,0.4798626577729781,1.25,1.1634523399138141,-2.0564190188649283,16.125,12.347973912953767,-1.9965277777777777,2.511883361
49,C(C(C(F)F)(F)F)F,0.425993591,1.0,2.217984105724609,0.5053432251246295,1.25,1.1953589698853564,-2.077736370308192,12.75,12.347973912953767,-2.300925925925926,2.895974732
50,C(C(C(F)F)(F)F)O,0.391070215,1.0,2.2032219420493453,0.5526723816351682,1.375,1.2198422319375632,-2.0911961321513997,12.75,12.347973912953767,-1.800925925925926,1.158362492
51,C(C(C(F)F)(F)F)OC(F)F,0.41273935,1.0,2.229595955652151,0.6048073047522099,1.0909090909090908,1.6333853540523997,-2.1360352607470983,13.090909090909092,18.95947899939987,-5.428587962962964,2.684845362
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0.40493145,1.0,2.4416678280245043,0.5309872165345898,0.875,3.751447084103724,-2.1494201072107053,14.25,9.174246925668676,0.0,3.550228353
53,C(C(Cl)(Cl)Cl)(F)(F)F,0.41366938,1.0,2.4232523084086424,0.5115647154654288,0.875,3.276750561884825,-2.1308841033842785,14.25,9.968834452973246,0.0,3.59439255
54,C(C(Cl)Cl)(F)F,0.41720555,1.0,2.105743092835505,0.48231871701072077,1.1666666666666667,1.8326913602002621,-1.9162339738199685,11.0,11.261714435109246,0.0,1.847572659
55,C(C(F)(Cl)Cl)(Cl)Cl,0.39143845,1.0,2.3227439567162347,0.5517222262770488,1.2857142857142858,3.2321523469206124,-2.0657675160760767,12.857142857142858,9.423393153084394,0.0,1.765668555
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,0.40716058,1.0,2.4401539280910565,0.5747806664420663,0.75,3.465732798389438,-2.1487706171695895,14.25,9.174246925668676,0.0,3.664641976
57,C(C(F)(Cl)Cl)(F)(F)Cl,0.42040364,1.0,2.420074565788984,0.553756284383752,0.875,2.7053219904562535,-2.1315840203880296,14.25,9.968834452973244,0.0,3.814247596
58,C(C(F)(Cl)Cl)(F)(F)F,0.43024014,1.0,2.4001745680922943,0.38773462792098856,0.875,2.2306254682373545,-2.1130617244783445,14.25,10.763421980277812,0.0,3.870403905
