index,SMILE,IP,MinAbsEStateIndex,FractionCSP3,FpDensityMorgan3,Chi2v,BCUT2D_LOGPHI,MinAbsPartialCharge,MinPartialCharge,BCUT2D_MWHI,SPS,LF
0,C(C(F)(F)F)(C(F)(F)F)O,0.423468673,4.2361111111111125,1.0,1.0,1.4857615563239732,2.320402298542501,0.3765619053384419,-0.3765619053384419,19.424801448408502,14.4,0.278753601
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.381240875,1.1379166666666674,0.6,1.0769230769230769,1.9999392786391008,2.4650697447410557,0.21875844090328136,-0.21875844090328136,19.432652471680367,15.384615384615385,-0.476253533
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,2.7569444444444455,1.0,1.2,2.5176864941752854,2.4106088014171245,0.19318146567143005,-0.19318146567143005,35.53916890529147,14.4,0.278753601
3,C(C(F)(F)Cl)(F)F,0.441424512,3.7692901234567913,1.0,1.4285714285714286,1.3462412257102054,2.257729413346108,0.2019924681966373,-0.2019924681966373,35.49589493244979,12.857142857142858,1.230448921
4,C(C(F)(F)F)(OC(F)F)Cl,0.42667495,2.9216820987654324,1.0,1.7,1.6507872917510102,2.263937846085508,0.29354423837879684,-0.29354423837879684,35.49576199840686,15.9,0.544068044
5,C(C(OC(F)F)(F)F)(F)Cl,0.42450555,2.525462962962963,1.0,1.7,1.6241764533060352,2.272654716583178,0.25447272008479,-0.25447272008479,35.495779321793904,15.9,0.645422269
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0.43546974,1.3937308673469389,1.0,1.0434782608695652,3.27082965726316,2.5113443173601584,0.23800782309299984,-0.23800782309299984,19.435219976743525,18.0,2.903089987
7,C(Cl)Cl,0.414567615,0.19444444444444464,1.0,1.3333333333333333,0.9091372900969896,1.7266753099347363,0.09670639037649198,-0.10913232990050524,35.5390050819453,6.0,-0.307153081
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37694324,2.0700941279289484,1.0,1.0,4.547779834123849,2.6206547191557967,0.39614042090829676,-0.39614042090829676,19.434303921978227,16.32,-1.327902142
9,C(F)Cl,0.422616145,0.7777777777777777,1.0,2.0,0.3030457633656632,1.6508954077685765,0.16289509380489306,-0.23364725235230419,35.49569634388328,6.0,0.079181246
10,C(OC(OC(F)F)(F)F)(F)F,0.452414836,2.3795833333333336,1.0,1.2727272727272727,1.220376407399968,2.2248000950478524,0.232108811196624,-0.232108811196624,19.31683147165401,13.090909090909092,1.423245874
