index,SMILE,FractionCSP3,fr_halogen,IP,SMR_VSA7,ExactMolWt,HomoLumoGap,Chi0v,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_CHGHI,GWP
0,C(C(F)(F)F)(C(F)(F)F)O,1.0,6,0.423468673,0.0,168.000984004,0.372,4.2923507027449475,1.0,1.0,2.5525286262218643,2.31386722
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.6,8,0.381240875,12.40580956301666,214.002875824,0.26959,5.678416322453068,1.0,1.0769230769230769,2.707472652244953,0.914871818
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,1.0,7,0.41355199,0.0,201.937546492,0.29259,5.734959472291125,1.2,1.2,2.6130968182821386,2.136720567
3,C(C(F)(F)Cl)(F)F,1.0,5,0.441424512,0.0,135.970290592,0.33465,3.723101580254217,1.4285714285714286,1.4285714285714286,2.369181251016136,3.315970345
4,C(C(F)(F)F)(OC(F)F)Cl,1.0,6,0.42667495,0.0,183.971433464,0.31563,5.086664612916933,1.6,1.7,2.405000514273296,2.731588765
5,C(C(OC(F)F)(F)F)(F)Cl,1.0,6,0.42450555,0.0,183.971433464,0.32441,5.086664612916933,1.6,1.7,2.427272129060784,2.815577748
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,1.0,14,0.43546974,0.0,385.96238894,0.38841,9.516247493520767,0.782608695652174,1.0434782608695652,2.793874650840118,4.012837225
7,C(Cl)Cl,1.0,2,0.414567615,0.0,83.953355424,0.29323,2.974893619241911,1.3333333333333333,1.3333333333333333,1.4122044204025896,1.049218023
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.0,15,0.37694324,0.0,414.01008808000006,0.29406,11.030894253011455,0.72,1.0,2.926581833463516,-0.347753659
9,C(F)Cl,1.0,2,0.422616145,0.0,67.982905964,0.32476,2.2189646732234563,2.0,2.0,1.4260470226198603,1.899820502
10,C(OC(OC(F)F)(F)F)(F)F,1.0,6,0.452414836,0.0,183.995898624,0.46278,4.738983957362341,1.0909090909090908,1.2727272727272727,2.3891423410322616,3.782472624
11,CC(F)(Cl)Cl,1.0,3,0.40817283,0.0,115.959583676,0.28849,4.145751311064591,1.6,1.6,2.094110024052782,2.934498451
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.75,7,0.460778278,0.0,194.99189654,0.32379,5.092964906564548,1.0,1.0,2.733689808086583,3.439332694
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.5,8,0.401892614,11.653747758836332,199.98722576,0.25182,5.023715784073818,0.75,0.8333333333333334,2.4714723582998457,0.294466226
14,C(=C(/C(F)(F)F)\F)\F,0.3333333333333333,5,0.387456284,12.156663335600946,131.999841132,0.26508,3.4671726342357623,1.625,1.625,2.34154224252966,-0.463441557
15,C(=C(/F)\Cl)(\F)/Cl,0.0,4,0.34915741,10.57211140292499,131.9345118,0.24204,4.0237157840738185,1.1666666666666667,1.1666666666666667,1.9262626650888794,-0.899629455
16,C(=C(\C(F)(F)F)/F)\F,0.3333333333333333,5,0.38680363,12.156663335600946,131.999841132,0.26133,3.4671726342357623,1.625,1.625,2.34154224252966,-0.928117993
17,C(=C(Cl)Cl)(Cl)Cl,0.0,4,0.34069019,8.982936348315855,163.87541072,0.22142,5.535573676110726,0.8333333333333334,0.8333333333333334,1.8759279385243854,0.802089258
18,C(=C(Cl)Cl)(F)F,0.0,4,0.34990958,10.572111402924993,131.9345118,0.24667,4.023715784073818,1.3333333333333333,1.3333333333333333,1.9262498844181903,-1.677780705
19,C(=C(Cl)Cl)Cl,0.0,3,0.34557732,10.02667010303614,129.914383072,0.2316,4.479030526272671,1.6,1.6,1.7013348182083698,-1.356547324
20,C(=C(F)F)(C(=C(F)F)F)F,0.0,6,0.322808574,23.815034216370464,161.99041932,0.2002,4.267786838055364,0.7,0.8,2.1630034457132536,-2.397940009
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.5,8,0.382938944,11.90751710818523,199.98722576,0.25522,5.023715784073818,1.0833333333333333,1.1666666666666667,2.624255933289915,-1.045757491
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.5,8,0.381971942,11.90751710818523,199.98722576,0.26111,5.023715784073818,1.0833333333333333,1.1666666666666667,2.624255933289915,-0.991399828
23,C(=C(F)F)(C(F)(F)F)F,0.3333333333333333,6,0.385783705,11.90751710818523,149.99041932,0.26608,3.767786838055364,1.2222222222222223,1.2222222222222223,2.3821141239184005,-1.045757491
24,C(=C(F)F)(F)F,0.0,4,0.367042484,12.161286457534128,99.99361288,0.2841,2.5118578920369092,0.8333333333333334,0.8333333333333334,1.977327601881187,-2.397940009
25,C(=C(F)F)(OC(F)(F)F)F,0.3333333333333333,6,0.369837428,12.093577449772138,165.98533394,0.27597,4.176035128519227,1.4,1.5,2.3365153906152076,-2.0
26,C(=C(F)F)F,0.0,3,0.367537859,12.410432684949845,82.003034692,0.28046,2.2112436882173077,1.6,1.6,1.7752513071938036,-2.301029996
27,C(=C/Cl)\C(F)(F)F,0.3333333333333333,4,0.380799562,11.611222035712094,129.979712404,0.25117,3.9224873764346153,1.7142857142857142,1.7142857142857142,2.2065075699966354,0.588831726
28,C(=C/Cl)\F,0.0,2,0.357129643,11.864991385060993,79.982905964,0.25675,2.6665584304161607,2.0,2.0,1.4136036941917796,-2.397940009
29,C(=C/F)\C(F)(F)F,0.3333333333333333,4,0.395292688,12.40580956301666,114.009262944,0.27302,3.1665584304161607,1.5714285714285714,1.5714285714285714,2.211352555770505,0.136720567
30,C(=C\C(F)(F)F)\C(F)(F)F,0.5,6,0.418603578,12.152040213667762,164.006069384,0.26327,4.422487376434614,0.8,0.9,2.2859501045236774,0.318063335
31,C(=C\F)\C(F)(F)F,0.3333333333333333,4,0.394313412,12.40580956301666,114.009262944,0.26707,3.1665584304161607,1.5714285714285714,1.5714285714285714,2.211352555770505,-0.501689446
32,C(=CC(F)(F)F)C(F)(F)F,0.5,6,0.420768808,12.152040213667762,164.006069384,0.27159,4.422487376434614,0.8,0.9,2.2859501045236774,1.252853031
33,C(=CCl)C(F)(F)F,0.3333333333333333,4,0.380799567,11.611222035712094,129.979712404,0.25117,3.9224873764346153,1.7142857142857142,1.7142857142857142,2.2065075699966354,-0.342944147
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.8333333333333334,12,0.40479327,0.0,315.97575326000003,0.21221,7.943821966574587,0.7894736842105263,0.9473684210526315,2.8387399736131287,-0.943095149
35,C(Br)(Br)Br,1.0,3,0.3652842,0.0,249.762836332,0.20765,6.46923330556142,1.0,1.0,1.7657961655482652,-0.602059991
36,C(Br)Br,1.0,2,0.37603692,0.0,171.852324264,0.24224,4.63502880543441,1.3333333333333333,1.3333333333333333,1.4056668629575895,0.178976947
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,1.0,14,0.42710509,0.0,337.97764508,0.3597,8.29150262212918,0.4,0.5,2.909253491065619,3.935507266
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.0,9,0.42810556,0.0,219.993454012,0.37523,5.47903052627267,1.0,1.0769230769230769,2.761949292563137,3.460897843
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,1.0,7,0.394277715,0.0,200.007212256,0.33801,5.300071687751096,1.1666666666666667,1.25,2.7215124318355026,1.562292864
40,C(C(C(C(F)(F)F)F)(F)F)O,1.0,6,0.397771334,0.0,182.016634068,0.3478,4.9994574839314945,1.4545454545454546,1.5454545454545454,2.558544506492455,1.484299839
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,1.0,7,0.41301378,0.0,201.937546492,0.31399,5.734959472291125,1.4,1.4,2.6027607481739414,2.754348336
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,1.0,12,0.43155834,0.0,287.98083864,0.36586,7.035573676110724,0.47058823529411764,0.5882352941176471,2.875208810146635,3.964730921
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,1.0,10,0.45274427,0.0,237.9840322,0.39637,5.779644730092271,0.5,0.5714285714285714,2.8239193398458213,4.0
44,C(C(C(F)(F)F)(F)F)(F)F,1.0,7,0.444128271,0.0,169.996647572,0.40148,4.223101580254217,1.1,1.1,2.6375868303189693,3.474216264
45,C(C(C(F)(F)F)(F)F)F,1.0,6,0.442388325,0.0,152.006069384,0.39405,3.9748936192419113,1.2222222222222223,1.2222222222222223,2.570947634457064,3.130333768
46,C(C(C(F)(F)F)(F)F)O,1.0,5,0.402461134,0.0,150.010405816,0.3498,4.044142741732642,1.3333333333333333,1.3333333333333333,2.5638843182857354,1.53529412
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,1.0,10,0.43849431,0.0,251.999682264,0.37426,6.434345268471522,0.9333333333333333,1.1333333333333333,2.6853777661163005,3.204119983
48,C(C(C(F)(F)F)F)F,1.0,5,0.441109306,0.0,134.015491196,0.38883,3.6742794154223097,1.625,1.625,2.393825705151714,2.511883361
49,C(C(C(F)F)(F)F)F,1.0,5,0.425993591,0.0,134.015491196,0.38625,3.6742794154223097,1.625,1.625,2.4005684815520936,2.895974732
50,C(C(C(F)F)(F)F)O,1.0,4,0.391070215,0.0,132.019827628,0.34576,3.7435285379130403,1.75,1.75,2.3903720935460213,1.158362492
51,C(C(C(F)F)(F)F)OC(F)F,1.0,6,0.41273935,0.0,182.016634068,0.38321,5.0378424480850255,1.5454545454545454,1.8181818181818181,2.4125076014897298,2.684845362
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,1.0,6,0.40493145,0.0,201.87221716,0.26619,6.29150262212918,1.0,1.0,2.482633232716688,3.550228353
53,C(C(Cl)(Cl)Cl)(F)(F)F,1.0,6,0.41366938,0.0,185.9017677,0.26783,5.535573676110725,1.0,1.0,2.5081885918900566,3.59439255
54,C(C(Cl)Cl)(F)F,1.0,4,0.41720555,0.0,133.950161864,0.29595,4.17841632245307,1.3333333333333333,1.3333333333333333,2.1066337376633877,1.847572659
55,C(C(F)(Cl)Cl)(Cl)Cl,1.0,5,0.39143845,0.0,183.881638972,0.26726,5.990888418309579,1.4285714285714286,1.4285714285714286,2.304360307337756,1.765668555
56,C(C(F)(Cl)Cl)(F)(Cl)Cl,1.0,6,0.40716058,0.0,201.87221716,0.28124,6.2915026221291805,0.875,0.875,2.4833110225058945,3.664641976
57,C(C(F)(Cl)Cl)(F)(F)Cl,1.0,6,0.42040364,0.0,185.9017677,0.29286,5.535573676110726,1.0,1.0,2.506737605493095,3.814247596
58,C(C(F)(Cl)Cl)(F)(F)F,1.0,6,0.43024014,0.0,169.93131824,0.29392,4.779644730092271,1.0,1.0,2.5326781699956156,3.870403905
59,C(C(F)(Cl)Cl)(F)Cl,1.0,5,0.40705172,0.0,167.911189512,0.28215,5.234959472291124,1.5714285714285714,1.5714285714285714,2.3237799356904922,2.389166084
60,C(C(F)(Cl)Cl)F,1.0,4,0.41872573,0.0,133.950161864,0.29288,4.230822565260365,1.6666666666666667,1.6666666666666667,2.1995028203011313,2.534026106
61,C(C(F)(F)Br)(F)(F)Br,1.0,6,0.39522931,0.0,257.83028708,0.24622,6.439779916284771,0.875,0.875,2.51532673764833,3.336459734
62,C(C(F)(F)Cl)(Cl)Cl,1.0,5,0.40670093,0.0,167.911189512,0.28432,5.234959472291125,1.4285714285714286,1.4285714285714286,2.330114227963144,1.751279104
63,C(C(F)(F)Cl)(F)(F)Cl,1.0,6,0.43310363,0.0,169.93131824,0.32408,4.779644730092272,0.875,0.875,2.5300351604922002,3.974511693
64,C(C(F)(F)Cl)(F)(F)F,1.0,6,0.4565249,0.0,153.96086878,0.33644,4.023715784073818,1.0,1.0,2.556430824197252,3.982271233
65,C(C(F)(F)Cl)(F)Cl,1.0,5,0.42559675,0.0,151.940740052,0.31698,4.4790305262726715,1.5714285714285714,1.5714285714285714,2.3495811568979157,2.596597096
