index,SMILE,IP,SMR_VSA7,fr_halogen,Chi2v,FractionCSP3,SMR_VSA6,MinAbsEStateIndex,AvgIpc,SPS,FpDensityMorgan2,LF
0,C(C(F)(F)F)(C(F)(F)F)O,0.423468673,0.0,6,1.4857615563239732,1.0,0.0,4.2361111111111125,1.5894951972794726,14.4,1.0,0.278753601
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.381240875,12.40580956301666,8,1.9999392786391008,0.6,0.0,1.1379166666666674,1.824142155395243,15.384615384615385,1.0,-0.476253533
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,0.0,7,2.5176864941752854,1.0,0.0,2.7569444444444455,1.6172521756325944,14.4,1.2,0.278753601
3,C(C(F)(F)Cl)(F)F,0.441424512,0.0,5,1.3462412257102054,1.0,0.0,3.7692901234567913,1.3143204867061786,12.857142857142858,1.4285714285714286,1.230448921
4,C(C(F)(F)F)(OC(F)F)Cl,0.42667495,0.0,6,1.6507872917510102,1.0,0.0,2.9216820987654324,1.6021581478790754,15.9,1.6,0.544068044
5,C(C(OC(F)F)(F)F)(F)Cl,0.42450555,0.0,6,1.6241764533060352,1.0,0.0,2.525462962962963,1.6030516808031245,15.9,1.6,0.645422269
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0.43546974,0.0,14,3.27082965726316,1.0,0.0,1.3937308673469389,2.0449870736049025,18.0,0.782608695652174,2.903089987
7,C(Cl)Cl,0.414567615,0.0,2,0.9091372900969896,1.0,5.33918526701467,0.19444444444444464,0.9182958340544894,6.0,1.3333333333333333,-0.307153081
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37694324,0.0,15,4.547779834123849,1.0,6.606881964512918,2.0700941279289484,2.3544400769369576,16.32,0.72,-1.327902142
9,C(F)Cl,0.422616145,0.0,2,0.3030457633656632,1.0,6.133772794319238,0.7777777777777777,0.9182958340544894,6.0,2.0,0.079181246
10,C(OC(OC(F)F)(F)F)(F)F,0.452414836,0.0,6,1.220376407399968,1.0,0.0,2.3795833333333336,1.5309516064545026,13.090909090909092,1.0909090909090908,1.423245874
11,CC(F)(Cl)Cl,0.40817283,0.0,3,2.3943042269608665,1.0,0.0,1.0516975308641978,0.7219280948873623,12.0,1.6,0.973127854
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.460778278,0.0,7,1.765794891717179,0.75,0.0,0.4583333333333335,1.8054722985800935,14.166666666666666,1.0,1.537819095
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,11.653747758836332,8,1.6234826110944962,0.5,0.0,3.768518518518518,1.801319709384139,16.0,0.75,-1.070581074
14,C(=C(/C(F)(F)F)\F)\F,0.387456284,12.156663335600946,5,0.9548056448283403,0.3333333333333333,0.0,1.125,1.6203352658383443,14.375,1.625,-1.568636236
15,C(=C(/F)\Cl)(\F)/Cl,0.34915741,10.57211140292499,4,1.184500374589883,0.0,0.0,1.5030864197530855,1.3609640474436813,14.0,1.1666666666666667,-1.721246399
16,C(=C(\C(F)(F)F)/F)\F,0.38680363,12.156663335600946,5,0.9548056448283403,0.3333333333333333,0.0,1.125,1.6203352658383443,14.375,1.625,-1.795880017
17,C(=C(Cl)Cl)(Cl)Cl,0.34069019,8.982936348315855,4,2.4196077047419675,0.0,0.0,0.09876543209876476,1.3609640474436813,8.0,0.8333333333333334,-0.521433504
18,C(=C(Cl)Cl)(F)F,0.34990958,10.572111402924993,4,1.4702146603041688,0.0,0.0,0.9629629629629626,1.3609640474436813,8.0,1.3333333333333333,-2.22184875
19,C(=C(Cl)Cl)Cl,0.34557732,10.02667010303614,3,1.6248376489191085,0.0,0.0,0.08950617283950679,1.3787834934861756,7.0,1.6,-1.823908741
20,C(=C(F)F)(C(=C(F)F)F)F,0.322808574,23.815034216370464,6,1.1487860888755972,0.0,0.0,2.8194444444444438,1.8406191515407482,9.0,0.7,-2.522878745
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,11.90751710818523,8,1.6465451579182315,0.5,0.0,3.6830324074074072,1.829215050497362,13.0,1.0833333333333333,-1.795880017
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.381971942,11.90751710818523,8,1.6465451579182315,0.5,0.0,3.6830324074074072,1.829215050497362,13.0,1.0833333333333333,-1.795880017
23,C(=C(F)F)(C(F)(F)F)F,0.385783705,11.90751710818523,6,1.0721521134804333,0.3333333333333333,0.0,3.331018518518518,1.6151713102472967,11.333333333333334,1.2222222222222223,-1.823908741
24,C(=C(F)F)(F)F,0.367042484,12.161286457534128,4,0.52082161586637,0.0,0.0,2.9074074074074066,1.3609640474436813,8.0,0.8333333333333334,-2.522878745
25,C(=C(F)F)(OC(F)(F)F)F,0.369837428,12.093577449772138,6,1.0819184856273212,0.3333333333333333,0.0,2.162037037037037,1.5998182365478808,11.0,1.4,-2.397940009
26,C(=C(F)F)F,0.367537859,12.410432684949845,3,0.39875540678256,0.0,0.0,0.75,1.3787834934861756,7.0,1.6,-2.397940009
27,C(=C/Cl)\C(F)(F)F,0.380799562,11.611222035712094,4,1.086243689315597,0.3333333333333333,0.0,0.04706790123456761,1.2958363892911637,13.142857142857142,1.7142857142857142,-0.935542011
28,C(=C/Cl)\F,0.357129643,11.864991385060993,2,0.5039526306789698,0.0,0.0,0.26543209876543217,1.370950594454669,9.5,2.0,-2.301029996
29,C(=C/F)\C(F)(F)F,0.395292688,12.40580956301666,4,0.834267373976112,0.3333333333333333,0.0,0.4791666666666665,1.2958363892911637,13.142857142857142,1.5714285714285714,-1.283996656
30,C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,12.152040213667762,6,1.416558432612739,0.5,0.0,0.8541666666666665,1.5730118671551043,14.6,0.8,-1.13076828
31,C(=C\F)\C(F)(F)F,0.394313412,12.40580956301666,4,0.834267373976112,0.3333333333333333,0.0,0.4791666666666665,1.2958363892911637,13.142857142857142,1.5714285714285714,-1.568636236
32,C(=CC(F)(F)F)C(F)(F)F,0.420768808,12.152040213667762,6,1.416558432612739,0.5,0.0,0.8541666666666665,1.5730118671551043,13.0,0.8,-0.476253533
33,C(=CCl)C(F)(F)F,0.380799567,11.611222035712094,4,1.086243689315597,0.3333333333333333,0.0,0.04706790123456761,1.2958363892911637,10.857142857142858,1.7142857142857142,-1.443697499
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,0.0,12,3.055267751554555,0.8333333333333334,0.0,4.9930555555555545,2.0912124264348146,15.578947368421053,0.7894736842105263,-1.721246399
35,C(Br)(Br)Br,0.3652842,0.0,3,6.680767400622813,1.0,0.0,0.27083333333333326,0.8112781244591328,9.0,1.0,-0.806875402
36,C(Br)Br,0.37603692,0.0,2,2.727411870290968,1.0,4.239357671196846,0.875,0.9182958340544894,6.0,1.3333333333333333,-0.386158178
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.42710509,0.0,14,3.293090315836464,1.0,0.0,7.4845153061224465,2.123974153271652,16.5,0.4,3.491361694
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,0.0,9,1.9958148790672414,1.0,0.0,5.07951388888889,1.8356240554391323,15.23076923076923,1.0,1.505149978
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,0.0,7,1.9347147416310977,1.0,6.606881964512918,2.556041666666667,1.8483335453198617,15.0,1.1666666666666667,-0.259637311
40,C(C(C(C(F)(F)F)F)(F)F)O,0.397771334,0.0,6,1.8233137389904406,1.0,6.606881964512918,2.159050925925926,1.8440159989938614,16.636363636363637,1.4545454545454546,-0.435333936
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0.41301378,0.0,7,2.279293466852799,1.0,0.0,3.4861111111111116,1.6172521756325944,17.1,1.4,0.770852012
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.43155834,0.0,12,2.7186972713986655,1.0,0.0,7.258749999999999,1.9839765572031232,16.235294117647058,0.47058823529411764,3.612783857
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0.45274427,0.0,10,2.1443042269608665,1.0,0.0,6.966249999999999,1.8096798835528565,15.857142857142858,0.5,3.414973348
44,C(C(C(F)(F)F)(F)F)(F)F,0.444128271,0.0,7,1.4214218346294432,1.0,0.0,4.70138888888889,1.6172521756325944,14.4,1.1,1.477121255
45,C(C(C(F)(F)F)(F)F)F,0.442388325,0.0,6,1.335838435141093,1.0,6.674590972274908,2.697916666666667,1.6364527976600283,14.0,1.2222222222222223,1.127104798
46,C(C(C(F)(F)F)(F)F)O,0.402461134,0.0,5,1.3603216971932997,1.0,6.606881964512918,2.197916666666667,1.6364527976600283,14.0,1.3333333333333333,-0.326979093
47,C(C(C(F)(F)F)F)(C(C(F)(F)F)(F)F)F,0.43849431,0.0,10,2.465865423057733,1.0,0.0,4.894328703703705,1.9725948902944757,18.8,0.9333333333333333,1.230448921
48,C(C(C(F)(F)F)F)F,0.441109306,0.0,5,1.1634523399138141,1.0,6.674590972274908,1.9965277777777777,1.6203352658383443,16.125,1.625,0.505149978
49,C(C(C(F)F)(F)F)F,0.425993591,0.0,5,1.1953589698853564,1.0,6.674590972274908,2.300925925925926,1.6668127273868607,12.75,1.625,0.819543936
50,C(C(C(F)F)(F)F)O,0.391070215,0.0,4,1.2198422319375632,1.0,6.606881964512918,1.800925925925926,1.6668127273868607,12.75,1.75,-0.59345982
51,C(C(C(F)F)(F)F)OC(F)F,0.41273935,0.0,6,1.6333853540523997,1.0,6.606881964512918,1.9699074074074074,1.835608509851416,13.090909090909092,1.5454545454545454,0.544068044
52,C(C(Cl)(Cl)Cl)(F)(F)Cl,0.40493145,0.0,6,3.751447084103724,1.0,0.0,2.713734567901234,1.253297578463043,14.25,1.0,1.716003344
53,C(C(Cl)(Cl)Cl)(F)(F)F,0.41366938,0.0,6,3.276750561884825,1.0,0.0,3.145833333333333,1.253297578463043,14.25,1.0,1.740362689
54,C(C(Cl)Cl)(F)F,0.41720555,0.0,4,1.8326913602002621,1.0,0.0,1.5370370370370374,1.3609640474436813,11.0,1.3333333333333333,0.049218023
55,C(C(F)(Cl)Cl)(Cl)Cl,0.39143845,0.0,5,3.2321523469206124,1.0,0.0,1.3927469135802475,1.3143204867061786,12.857142857142858,1.4285714285714286,0.045322979
