index,SMILE,SMR_VSA7,IP,fr_ketone,SlogP_VSA5,SMR_VSA6,MaxPartialCharge,MaxEStateIndex,Kappa2,VSA_EState3,AvgIpc,GWP
0,C(C(F)(F)F)(C(F)(F)F)O,0.0,0.423468673,0,0.0,0.0,0.422901125659,10.97511574074074,2.2965280240062507,7.472222222222222,1.5894951972794726,2.31386722
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,12.40580956301666,0.381240875,0,0.0,0.0,0.4349206842237613,12.229166666666666,3.1494894207882953,0.0,1.824142155395243,0.914871818
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.0,0.41355199,0,0.0,0.0,0.45572003758988056,11.664351851851851,2.6952655776237338,0.0,1.6172521756325944,2.136720567
3,C(C(F)(F)Cl)(F)F,0.0,0.441424512,0,0.0,0.0,0.380825207842695,10.86033950617284,1.8582337420131287,-4.361111111111111,1.3143204867061786,3.315970345
4,C(C(F)(F)F)(OC(F)F)Cl,0.0,0.42667495,0,0.0,0.0,0.4284295014111595,11.219212962962963,3.337834264767743,0.0,1.6021581478790754,2.731588765
5,C(C(OC(F)F)(F)F)(F)Cl,0.0,0.42450555,0,0.0,0.0,0.404702516427719,11.587962962962962,3.337834264767743,0.0,1.6030516808031245,2.815577748
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0.0,0.43546974,0,0.0,0.0,0.5286000661385706,12.923380102040817,5.762010150305275,0.0,2.0449870736049025,4.012837225
7,C(Cl)Cl,0.0,0.414567615,0,0.0,5.33918526701467,0.09670639037649198,4.763888888888888,2.58,0.19444444444444464,0.9182958340544894,1.049218023
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.0,0.37694324,0,6.4208216229260096,6.606881964512918,0.4596472944393932,12.970121882086168,5.973004132858219,7.966905688182068,2.3544400769369576,-0.347753659
9,C(F)Cl,0.0,0.422616145,0,0.0,6.133772794319238,0.16289509380489306,10.057098765432098,2.2199999999999993,0.0,0.9182958340544894,1.899820502
