index,SMILE,IP,SMR_VSA7,MinAbsEStateIndex,FpDensityMorgan3,SlogP_VSA12,fr_ketone,EState_VSA5,VSA_EState3,HomoLumoGap,BCUT2D_LOGPHI,LF
0,C(C(F)(F)F)(C(F)(F)F)O,0.423468673,0.0,4.2361111111111125,1.0,0.0,0,0.0,7.472222222222222,0.372,2.320402298542501,0.278753601
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.381240875,12.40580956301666,1.1379166666666674,1.0769230769230769,0.0,0,0.0,0.0,0.26959,2.4650697447410557,-0.476253533
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,0.0,2.7569444444444455,1.2,23.20187978046503,0,0.0,0.0,0.29259,2.4106088014171245,0.278753601
3,C(C(F)(F)Cl)(F)F,0.441424512,0.0,3.7692901234567913,1.4285714285714286,11.600939890232516,0,0.0,-4.361111111111111,0.33465,2.257729413346108,1.230448921
4,C(C(F)(F)F)(OC(F)F)Cl,0.42667495,0.0,2.9216820987654324,1.7,11.600939890232516,0,0.0,0.0,0.31563,2.263937846085508,0.544068044
5,C(C(OC(F)F)(F)F)(F)Cl,0.42450555,0.0,2.525462962962963,1.7,11.600939890232516,0,0.0,0.0,0.32441,2.272654716583178,0.645422269
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0.43546974,0.0,1.3937308673469389,1.0434782608695652,0.0,0,14.210588861400147,0.0,0.38841,2.5113443173601584,2.903089987
7,C(Cl)Cl,0.414567615,0.0,0.19444444444444464,1.3333333333333333,23.20187978046503,0,0.0,0.19444444444444464,0.29323,1.7266753099347363,-0.307153081
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37694324,0.0,2.0700941279289484,1.0,0.0,0,0.0,7.966905688182068,0.29406,2.6206547191557967,-1.327902142
9,C(F)Cl,0.422616145,0.0,0.7777777777777777,2.0,11.600939890232516,0,0.0,0.0,0.32476,1.6508954077685765,0.079181246
10,C(OC(OC(F)F)(F)F)(F)F,0.452414836,0.0,2.3795833333333336,1.2727272727272727,0.0,0,0.0,0.0,0.46278,2.2248000950478524,1.423245874
11,CC(F)(Cl)Cl,0.40817283,0.0,1.0516975308641978,1.6,23.20187978046503,0,0.0,0.0,0.28849,2.188314215756155,0.973127854
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.460778278,0.0,0.4583333333333335,1.0,0.0,0,0.0,7.391527777777777,0.32379,2.448737341214894,1.537819095
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,11.653747758836332,3.768518518518518,0.8333333333333334,0.0,0,0.0,0.0,0.25182,2.367274446324797,-1.070581074
14,C(=C(/C(F)(F)F)\F)\F,0.387456284,12.156663335600946,1.125,1.625,0.0,0,0.0,0.0,0.26508,2.2537942961919173,-1.568636236
15,C(=C(/F)\Cl)(\F)/Cl,0.34915741,10.57211140292499,1.5030864197530855,1.1666666666666667,23.20187978046503,0,0.0,-3.0061728395061715,0.24204,2.138931400049142,-1.721246399
16,C(=C(\C(F)(F)F)/F)\F,0.38680363,12.156663335600946,1.125,1.625,0.0,0,0.0,0.0,0.26133,2.2537942961919173,-1.795880017
17,C(=C(Cl)Cl)(Cl)Cl,0.34069019,8.982936348315855,0.09876543209876476,0.8333333333333334,46.40375956093006,0,0.0,0.0,0.22142,2.1955219623417714,-0.521433504
18,C(=C(Cl)Cl)(F)F,0.34990958,10.572111402924993,0.9629629629629626,1.3333333333333333,23.20187978046503,0,0.0,0.0,0.24667,2.1433879929240627,-2.22184875
19,C(=C(Cl)Cl)Cl,0.34557732,10.02667010303614,0.08950617283950679,1.6,34.802819670697545,0,0.0,0.0,0.2316,2.0542662292372316,-1.823908741
20,C(=C(F)F)(C(=C(F)F)F)F,0.322808574,23.815034216370464,2.8194444444444438,0.8,0.0,0,0.0,0.0,0.2002,2.2325182330389555,-2.522878745
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,11.90751710818523,3.6830324074074072,1.1666666666666667,0.0,0,0.0,0.0,0.25522,2.4249929919444093,-1.795880017
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.381971942,11.90751710818523,3.6830324074074072,1.1666666666666667,0.0,0,0.0,0.0,0.26111,2.4249929919444093,-1.795880017
23,C(=C(F)F)(C(F)(F)F)F,0.385783705,11.90751710818523,3.331018518518518,1.2222222222222223,0.0,0,0.0,0.0,0.26608,2.2928221944299443,-1.823908741
24,C(=C(F)F)(F)F,0.367042484,12.161286457534128,2.9074074074074066,0.8333333333333334,0.0,0,0.0,0.0,0.2841,2.0752478884996903,-2.522878745
25,C(=C(F)F)(OC(F)(F)F)F,0.369837428,12.093577449772138,2.162037037037037,1.5,0.0,0,0.0,0.0,0.27597,2.2327577875080955,-2.397940009
26,C(=C(F)F)F,0.367537859,12.410432684949845,0.75,1.6,0.0,0,0.0,0.0,0.28046,1.9315112436557258,-2.397940009
