index,SMILE,HomoLumoGap,Chi2n,MolMR,Chi1n,BCUT2D_LOGPLOW,IP,AvgIpc,MaxPartialCharge,BCUT2D_MWHI,fr_halogen,LF
0,C(C(F)(F)F)(C(F)(F)F)O,0.372,1.4857615563239732,18.1168,1.9694425779644689,-2.4126542596660494,0.423468673,1.5894951972794726,0.422901125659,19.424801448408502,6,0.278753601
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.26959,1.9999392786391008,26.197000000000003,2.6631020136964336,-2.5104481621353467,0.381240875,1.824142155395243,0.4349206842237613,19.432652471680367,8,-0.476253533
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.29259,1.4214218346294432,26.496,1.9200220975898659,-2.414519298704478,0.41355199,1.6172521756325944,0.45572003758988056,35.53916890529147,7,0.278753601
3,C(C(F)(F)Cl)(F)F,0.33465,0.8423090497599275,16.804000000000002,1.2920576245806386,-2.166818750282934,0.441424512,1.3143204867061786,0.380825207842695,35.49589493244979,5,1.230448921
4,C(C(F)(F)F)(OC(F)F)Cl,0.31563,1.254395240240068,22.785,1.9816800356076627,-2.2739341371363833,0.42667495,1.6021581478790754,0.4284295014111595,35.49576199840686,6,0.544068044
5,C(C(OC(F)F)(F)F)(F)Cl,0.32441,1.241001343301578,22.784999999999997,1.979337574175457,-2.3087636967218055,0.42450555,1.6030516808031245,0.404702516427719,35.495779321793904,6,0.645422269
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0.38841,3.27082965726316,35.153,4.370496182456178,-2.6191429449697936,0.43546974,2.0449870736049025,0.5286000661385706,19.435219976743525,14,2.903089987
7,C(Cl)Cl,0.29323,0.10101525445522105,16.573,0.5345224838248487,-1.239675309934736,0.414567615,0.9182958340544894,0.09670639037649198,35.5390050819453,2,-0.307153081
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.29406,4.547779834123849,47.43979999999999,5.504514704179313,-2.72179151842364,0.37694324,2.3544400769369576,0.4596472944393932,19.434303921978227,15,-1.327902142
9,C(F)Cl,0.32476,0.10101525445522105,11.828000000000001,0.5345224838248487,-1.2917636237575587,0.422616145,0.9182958340544894,0.16289509380489306,35.49569634388328,2,0.079181246
10,C(OC(OC(F)F)(F)F)(F)F,0.46278,1.220376407399968,19.125,2.1304888452080917,-2.2903638926287893,0.452414836,1.5309516064545026,0.493960088720082,19.31683147165401,6,1.423245874
11,CC(F)(Cl)Cl,0.28849,0.7812324237995549,21.218999999999998,1.066946709513841,-1.8973996756343587,0.40817283,0.7219280948873623,0.2539674477867957,35.53939507594621,3,0.973127854
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.32379,1.765794891717179,21.562000000000005,2.296482453282274,-2.514562045302714,0.460778278,1.8054722985800935,0.44530038085886264,19.43259272721461,7,1.537819095
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.25182,1.6234826110944962,21.352000000000004,2.261857892036909,-2.170977099348527,0.401892614,1.801319709384139,0.44545050946311066,19.42313838585497,8,-1.070581074
14,C(=C(/C(F)(F)F)\F)\F,0.26508,0.9548056448283403,16.354000000000003,1.5128219708492598,-2.061537263849502,0.387456284,1.6203352658383443,0.4447793066846682,19.417259746316663,5,-1.568636236
15,C(=C(/F)\Cl)(\F)/Cl,0.24204,0.52082161586637,20.948,1.0059289460184544,-1.519009263952686,0.34915741,1.3609640474436813,0.23629035437973975,35.49811449535688,4,-1.721246399
16,C(=C(\C(F)(F)F)/F)\F,0.26133,0.9548056448283403,16.354000000000003,1.5128219708492598,-2.061537263849502,0.38680363,1.6203352658383443,0.4447793066846682,19.417259746316663,5,-1.795880017
17,C(=C(Cl)Cl)(Cl)Cl,0.22142,0.52082161586637,30.438000000000002,1.0059289460184544,-1.4747103791520775,0.34069019,1.3609640474436813,0.13644179327201345,35.54379590352167,4,-0.521433504
