index,SMILE,IP,MinAbsEStateIndex,FpDensityMorgan3,BCUT2D_MWHI,FractionCSP3,Chi2v,FpDensityMorgan2,HomoLumoGap,AvgIpc,SlogP_VSA6,LF
0,C(C(F)(F)F)(C(F)(F)F)O,0.423468673,4.2361111111111125,1.0,19.424801448408502,1.0,1.4857615563239732,1.0,0.372,1.5894951972794726,0.0,0.278753601
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.381240875,1.1379166666666674,1.0769230769230769,19.432652471680367,0.6,1.9999392786391008,1.0,0.26959,1.824142155395243,12.40580956301666,-0.476253533
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,2.7569444444444455,1.2,35.53916890529147,1.0,2.5176864941752854,1.2,0.29259,1.6172521756325944,0.0,0.278753601
3,C(C(F)(F)Cl)(F)F,0.441424512,3.7692901234567913,1.4285714285714286,35.49589493244979,1.0,1.3462412257102054,1.4285714285714286,0.33465,1.3143204867061786,0.0,1.230448921
4,C(C(F)(F)F)(OC(F)F)Cl,0.42667495,2.9216820987654324,1.7,35.49576199840686,1.0,1.6507872917510102,1.6,0.31563,1.6021581478790754,0.0,0.544068044
5,C(C(OC(F)F)(F)F)(F)Cl,0.42450555,2.525462962962963,1.7,35.495779321793904,1.0,1.6241764533060352,1.6,0.32441,1.6030516808031245,0.0,0.645422269
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0.43546974,1.3937308673469389,1.0434782608695652,19.435219976743525,1.0,3.27082965726316,0.782608695652174,0.38841,2.0449870736049025,0.0,2.903089987
7,C(Cl)Cl,0.414567615,0.19444444444444464,1.3333333333333333,35.5390050819453,1.0,0.9091372900969896,1.3333333333333333,0.29323,0.9182958340544894,0.0,-0.307153081
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37694324,2.0700941279289484,1.0,19.434303921978227,1.0,4.547779834123849,0.72,0.29406,2.3544400769369576,0.0,-1.327902142
9,C(F)Cl,0.422616145,0.7777777777777777,2.0,35.49569634388328,1.0,0.3030457633656632,2.0,0.32476,0.9182958340544894,0.0,0.079181246
10,C(OC(OC(F)F)(F)F)(F)F,0.452414836,2.3795833333333336,1.2727272727272727,19.31683147165401,1.0,1.220376407399968,1.0909090909090908,0.46278,1.5309516064545026,0.0,1.423245874
11,CC(F)(Cl)Cl,0.40817283,1.0516975308641978,1.6,35.53939507594621,1.0,2.3943042269608665,1.6,0.28849,0.7219280948873623,0.0,0.973127854
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.460778278,0.4583333333333335,1.0,19.43259272721461,0.75,1.765794891717179,1.0,0.32379,1.8054722985800935,0.0,1.537819095
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,3.768518518518518,0.8333333333333334,19.42313838585497,0.5,1.6234826110944962,0.75,0.25182,1.801319709384139,11.653747758836332,-1.070581074
14,C(=C(/C(F)(F)F)\F)\F,0.387456284,1.125,1.625,19.417259746316663,0.3333333333333333,0.9548056448283403,1.625,0.26508,1.6203352658383443,12.156663335600946,-1.568636236
15,C(=C(/F)\Cl)(\F)/Cl,0.34915741,1.5030864197530855,1.1666666666666667,35.49811449535688,0.0,1.184500374589883,1.1666666666666667,0.24204,1.3609640474436813,10.57211140292499,-1.721246399
16,C(=C(\C(F)(F)F)/F)\F,0.38680363,1.125,1.625,19.417259746316663,0.3333333333333333,0.9548056448283403,1.625,0.26133,1.6203352658383443,12.156663335600946,-1.795880017
17,C(=C(Cl)Cl)(Cl)Cl,0.34069019,0.09876543209876476,0.8333333333333334,35.54379590352167,0.0,2.4196077047419675,0.8333333333333334,0.22142,1.3609640474436813,8.982936348315855,-0.521433504
18,C(=C(Cl)Cl)(F)F,0.34990958,0.9629629629629626,1.3333333333333333,35.53908818683247,0.0,1.4702146603041688,1.3333333333333333,0.24667,1.3609640474436813,10.572111402924993,-2.22184875
19,C(=C(Cl)Cl)Cl,0.34557732,0.08950617283950679,1.6,35.53934101259007,0.0,1.6248376489191085,1.6,0.2316,1.3787834934861756,10.02667010303614,-1.823908741
20,C(=C(F)F)(C(=C(F)F)F)F,0.322808574,2.8194444444444438,0.8,19.285113696645638,0.0,1.1487860888755972,0.7,0.2002,1.8406191515407482,23.815034216370464,-2.522878745
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,3.6830324074074072,1.1666666666666667,19.429588135917143,0.5,1.6465451579182315,1.0833333333333333,0.25522,1.829215050497362,11.90751710818523,-1.795880017
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.381971942,3.6830324074074072,1.1666666666666667,19.429588135917143,0.5,1.6465451579182315,1.0833333333333333,0.26111,1.829215050497362,11.90751710818523,-1.795880017
23,C(=C(F)F)(C(F)(F)F)F,0.385783705,3.331018518518518,1.2222222222222223,19.417753916914695,0.3333333333333333,1.0721521134804333,1.2222222222222223,0.26608,1.6151713102472967,11.90751710818523,-1.823908741
24,C(=C(F)F)(F)F,0.367042484,2.9074074074074066,0.8333333333333334,19.30523021811977,0.0,0.52082161586637,0.8333333333333334,0.2841,1.3609640474436813,12.161286457534128,-2.522878745
25,C(=C(F)F)(OC(F)(F)F)F,0.369837428,2.162037037037037,1.5,19.42313043464616,0.3333333333333333,1.0819184856273212,1.4,0.27597,1.5998182365478808,12.093577449772138,-2.397940009
26,C(=C(F)F)F,0.367537859,0.75,1.6,19.27988750368107,0.0,0.39875540678256,1.6,0.28046,1.3787834934861756,12.410432684949845,-2.397940009
27,C(=C/Cl)\C(F)(F)F,0.380799562,0.04706790123456761,1.7142857142857142,35.49562278097441,0.3333333333333333,1.086243689315597,1.7142857142857142,0.25117,1.2958363892911637,11.611222035712094,-0.935542011
28,C(=C/Cl)\F,0.357129643,0.26543209876543217,2.0,35.49562264254682,0.0,0.5039526306789698,2.0,0.25675,1.370950594454669,11.864991385060993,-2.301029996
