index,SMILE,FractionCSP3,SMR_VSA7,SlogP_VSA6,IP,HomoLumoGap,MinAbsEStateIndex,SlogP_VSA5,PEOE_VSA11,fr_ester,PEOE_VSA10,LF
0,C(C(F)(F)F)(C(F)(F)F)O,1.0,0.0,0.0,0.423468673,0.372,4.2361111111111125,0.0,0.0,0,0.0,0.278753601
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.6,12.40580956301666,12.40580956301666,0.381240875,0.26959,1.1379166666666674,0.0,0.0,0,0.0,-0.476253533
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,1.0,0.0,0.0,0.41355199,0.29259,2.7569444444444455,0.0,4.836269690250055,0,0.0,0.278753601
3,C(C(F)(F)Cl)(F)F,1.0,0.0,0.0,0.441424512,0.33465,3.7692901234567913,0.0,0.0,0,0.0,1.230448921
4,C(C(F)(F)F)(OC(F)F)Cl,1.0,0.0,0.0,0.42667495,0.31563,2.9216820987654324,0.0,0.0,0,0.0,0.544068044
5,C(C(OC(F)F)(F)F)(F)Cl,1.0,0.0,0.0,0.42450555,0.32441,2.525462962962963,0.0,0.0,0,0.0,0.645422269
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,1.0,0.0,0.0,0.43546974,0.38841,1.3937308673469389,0.0,0.0,0,0.0,2.903089987
7,C(Cl)Cl,1.0,0.0,0.0,0.414567615,0.29323,0.19444444444444464,0.0,0.0,0,0.0,-0.307153081
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.0,0.0,0.0,0.37694324,0.29406,2.0700941279289484,6.4208216229260096,0.0,0,0.0,-1.327902142
9,C(F)Cl,1.0,0.0,0.0,0.422616145,0.32476,0.7777777777777777,0.0,6.133772794319238,0,0.0,0.079181246
10,C(OC(OC(F)F)(F)F)(F)F,1.0,0.0,0.0,0.452414836,0.46278,2.3795833333333336,0.0,0.0,0,0.0,1.423245874
11,CC(F)(Cl)Cl,1.0,0.0,0.0,0.40817283,0.28849,1.0516975308641978,6.923737199690624,0.0,0,0.0,0.973127854
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.75,0.0,0.0,0.460778278,0.32379,0.4583333333333335,0.0,0.0,0,6.069221312792274,1.537819095
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.5,11.653747758836332,11.653747758836332,0.401892614,0.25182,3.768518518518518,0.0,0.0,0,0.0,-1.070581074
14,C(=C(/C(F)(F)F)\F)\F,0.3333333333333333,12.156663335600946,12.156663335600946,0.387456284,0.26508,1.125,0.0,0.0,0,6.32978945618278,-1.568636236
15,C(=C(/F)\Cl)(\F)/Cl,0.0,10.57211140292499,10.57211140292499,0.34915741,0.24204,1.5030864197530855,0.0,0.0,0,0.0,-1.721246399
16,C(=C(\C(F)(F)F)/F)\F,0.3333333333333333,12.156663335600946,12.156663335600946,0.38680363,0.26133,1.125,0.0,0.0,0,6.32978945618278,-1.795880017
17,C(=C(Cl)Cl)(Cl)Cl,0.0,8.982936348315855,8.982936348315855,0.34069019,0.22142,0.09876543209876476,0.0,0.0,0,8.982936348315855,-0.521433504
