index,SMILE,fr_methoxy,EState_VSA2,PEOE_VSA1,SMR_VSA6,Chi3n,MinPartialCharge,SlogP_VSA2,MinAbsPartialCharge,Chi4n,Chi4v,GWP
0,C(C(F)(F)F)(C(F)(F)F)O,0,0.0,5.106527394840706,0.0,0.6200968572385485,-0.3765619053384419,23.56309081747596,0.3765619053384419,0.1855768722395226,0.1855768722395226,2.31386722
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0,0.0,0.0,0.0,1.1177407287330325,-0.21875844090328136,18.02135685363263,0.21875844090328136,0.4365001248632943,0.4365001248632943,0.914871818
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0,0.0,0.0,0.0,0.6520152968491693,-0.19318146567143005,16.935097375788107,0.19318146567143005,0.12371791482634839,0.3711537444790452,2.136720567
3,C(C(F)(F)Cl)(F)F,0,0.0,0.0,0.0,0.24743582965269678,-0.2019924681966373,11.807155734998098,0.2019924681966373,0.0,0.0,3.315970345
4,C(C(F)(F)F)(OC(F)F)Cl,0,0.0,0.0,0.0,0.47969326748862984,-0.29354423837879684,18.350951813682208,0.29354423837879684,0.16746691453639692,0.24522849367237085,2.731588765
5,C(C(OC(F)F)(F)F)(F)Cl,0,0.0,0.0,0.0,0.5002598434248662,-0.25447272008479,18.350951813682208,0.25447272008479,0.17021240294487536,0.22164685293223932,2.815577748
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0,0.0,0.0,0.0,1.4768642817540638,-0.23800782309299984,37.159075756786706,0.23800782309299984,0.812172774987153,0.812172774987153,4.012837225
7,C(Cl)Cl,0,5.33918526701467,0.0,5.33918526701467,0.0,-0.10913232990050524,5.33918526701467,0.09670639037649198,0.0,0.0,1.049218023
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0,0.0,5.106527394840706,6.606881964512918,2.81853277420478,-0.39614042090829676,53.42488288536456,0.39614042090829676,1.296612122894364,1.296612122894364,-0.347753659
9,C(F)Cl,0,0.0,0.0,6.133772794319238,0.0,-0.23364725235230419,6.133772794319238,0.16289509380489306,0.0,0.0,1.899820502
10,C(OC(OC(F)F)(F)F)(F)F,0,0.0,0.0,0.0,0.45257336741483695,-0.232108811196624,19.517660024160598,0.232108811196624,0.23520408046340333,0.23520408046340333,3.782472624
11,CC(F)(Cl)Cl,0,0.0,0.0,0.0,0.0,-0.2084810996624261,4.587123462834338,0.2084810996624261,0.0,0.0,2.934498451
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0,0.0,0.0,0.0,0.9352935354109702,-0.2065484826463138,18.02135685363263,0.2065484826463138,0.28748742392356313,0.28748742392356313,3.439332694
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0,0.0,0.0,0.0,0.6904644730092271,-0.1984873246943009,12.35259703488695,0.1984873246943009,0.2488795345213173,0.2488795345213173,0.294466226
