index,SMILE,fr_allylic_oxid,FractionCSP3,SlogP_VSA6,SMR_VSA7,PEOE_VSA9,PEOE_VSA8,FpDensityMorgan1,EState_VSA1,AvgIpc,Chi1v,LF
0,C(C(F)(F)F)(C(F)(F)F)O,0,1.0,0.0,0.0,0.0,0.0,0.8,18.456563422635252,1.5894951972794726,1.9694425779644689,0.278753601
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,1,0.6,12.40580956301666,12.40580956301666,6.32978945618278,0.0,0.6923076923076923,30.427166416649285,1.824142155395243,2.6631020136964336,-0.476253533
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0,1.0,0.0,0.0,0.0,0.0,0.9,16.935097375788107,1.6172521756325944,2.7928936585338358,0.278753601
3,C(C(F)(F)Cl)(F)F,0,1.0,0.0,0.0,0.0,0.0,1.2857142857142858,11.807155734998098,1.3143204867061786,1.6700220975898659,1.230448921
4,C(C(F)(F)F)(OC(F)F)Cl,0,1.0,0.0,0.0,0.0,0.0,1.2,18.350951813682208,1.6021581478790754,2.4181158160796477,0.544068044
5,C(C(OC(F)F)(F)F)(F)Cl,0,1.0,0.0,0.0,0.0,0.0,1.2,18.350951813682208,1.6030516808031245,2.415773354647442,0.645422269
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0,1.0,0.0,0.0,0.0,0.0,0.43478260869565216,37.159075756786706,2.0449870736049025,4.370496182456178,2.903089987
7,C(Cl)Cl,0,1.0,0.0,0.0,5.33918526701467,0.0,1.3333333333333333,0.0,0.9182958340544894,1.6035674514745462,-0.307153081
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0,1.0,0.0,0.0,0.0,13.027703587438928,0.44,54.73917711344987,2.3544400769369576,5.504514704179313,-1.327902142
9,C(F)Cl,0,1.0,0.0,0.0,0.0,0.0,2.0,6.133772794319238,0.9182958340544894,1.0690449676496974,0.079181246
10,C(OC(OC(F)F)(F)F)(F)F,0,1.0,0.0,0.0,0.0,0.0,0.8181818181818182,19.517660024160598,1.5309516064545026,2.1304888452080917,1.423245874
11,CC(F)(Cl)Cl,0,1.0,0.0,0.0,0.0,0.0,1.6,4.587123462834338,0.7219280948873623,1.8228756555322954,0.973127854
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0,0.75,0.0,0.0,0.0,0.0,0.75,24.0905781664249,1.8054722985800935,2.296482453282274,1.537819095
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,2,0.5,11.653747758836332,11.653747758836332,0.0,0.0,0.5833333333333334,24.00634479372328,1.801319709384139,2.261857892036909,-1.070581074
14,C(=C(/C(F)(F)F)\F)\F,1,0.3333333333333333,12.156663335600946,12.156663335600946,0.0,0.0,1.25,18.33296185304442,1.6203352658383443,1.5128219708492598,-1.568636236
15,C(=C(/F)\Cl)(\F)/Cl,0,0.0,10.57211140292499,10.57211140292499,0.0,0.0,1.0,10.57211140292499,1.3609640474436813,1.7618578920369088,-1.721246399
16,C(=C(\C(F)(F)F)/F)\F,1,0.3333333333333333,12.156663335600946,12.156663335600946,0.0,0.0,1.25,18.33296185304442,1.6203352658383443,1.5128219708492598,-1.795880017
17,C(=C(Cl)Cl)(Cl)Cl,0,0.0,8.982936348315855,8.982936348315855,0.0,0.0,0.6666666666666666,0.0,1.3609640474436813,2.5177868380553634,-0.521433504
18,C(=C(Cl)Cl)(F)F,0,0.0,10.572111402924993,10.572111402924993,0.0,0.0,1.1666666666666667,10.572111402924993,1.3609640474436813,1.761857892036909,-2.22184875
19,C(=C(Cl)Cl)Cl,0,0.0,10.02667010303614,10.02667010303614,0.0,5.535201928878213,1.4,0.0,1.3787834934861756,2.077222224330472,-1.823908741
20,C(=C(F)F)(C(=C(F)F)F)F,2,0.0,23.815034216370464,23.815034216370464,0.0,0.0,0.5,23.815034216370464,1.8406191515407482,1.883893419027682,-2.522878745
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,1,0.5,11.90751710818523,11.90751710818523,0.0,0.0,0.75,24.00634479372328,1.829215050497362,2.261857892036909,-1.795880017
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,1,0.5,11.90751710818523,11.90751710818523,0.0,0.0,0.75,24.00634479372328,1.829215050497362,2.261857892036909,-1.795880017
23,C(=C(F)F)(C(F)(F)F)F,1,0.3333333333333333,11.90751710818523,11.90751710818523,0.0,0.0,0.8888888888888888,18.083815625628706,1.6151713102472967,1.6338934190276817,-1.823908741
24,C(=C(F)F)(F)F,0,0.0,12.161286457534128,12.161286457534128,0.0,0.0,0.6666666666666666,12.161286457534128,1.3609640474436813,1.0059289460184544,-2.522878745
25,C(=C(F)F)(OC(F)(F)F)F,0,0.3333333333333333,12.093577449772138,12.093577449772138,0.0,0.0,1.0,18.45593630880252,1.5998182365478808,1.7921417094915448,-2.397940009
26,C(=C(F)F)F,0,0.0,12.410432684949845,12.410432684949845,0.0,0.0,1.4,12.410432684949845,1.3787834934861756,0.8848574978400325,-2.397940009
27,C(=C/Cl)\C(F)(F)F,1,0.3333333333333333,11.611222035712094,11.611222035712094,0.0,11.611222035712094,1.2857142857142858,6.176298517443475,1.2958363892911637,1.8436088481499644,-0.935542011
28,C(=C/Cl)\F,0,0.0,11.864991385060993,11.864991385060993,6.32978945618278,5.535201928878213,1.75,0.0,1.370950594454669,1.206204894277303,-2.301029996
29,C(=C/F)\C(F)(F)F,1,0.3333333333333333,12.40580956301666,12.40580956301666,6.32978945618278,6.076020106833881,1.1428571428571428,18.582108080460134,1.2958363892911637,1.4071730676779797,-1.283996656
30,C(=C\C(F)(F)F)\C(F)(F)F,2,0.5,12.152040213667762,12.152040213667762,0.0,12.152040213667762,0.6,24.50463724855471,1.5730118671551043,2.044577021550641,-1.13076828
31,C(=C\F)\C(F)(F)F,1,0.3333333333333333,12.40580956301666,12.40580956301666,6.32978945618278,6.076020106833881,1.1428571428571428,18.582108080460134,1.2958363892911637,1.4071730676779797,-1.568636236
32,C(=CC(F)(F)F)C(F)(F)F,2,0.5,12.152040213667762,12.152040213667762,0.0,12.152040213667762,0.6,24.50463724855471,1.5730118671551043,2.044577021550641,-0.476253533
33,C(=CCl)C(F)(F)F,1,0.3333333333333333,11.611222035712094,11.611222035712094,0.0,11.611222035712094,1.2857142857142858,6.176298517443475,1.2958363892911637,1.8436088481499644,-1.443697499
34,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0,0.8333333333333334,0.0,0.0,0.0,0.0,0.5263157894736842,35.90342948553562,2.0912124264348146,3.721910983287294,-1.721246399
35,C(Br)(Br)Br,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8112781244591328,3.4016802570830453,-0.806875402
36,C(Br)Br,0,1.0,0.0,0.0,4.239357671196846,0.0,1.3333333333333333,0.0,0.9182958340544894,2.777460299317654,-0.386158178
37,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0,1.0,0.0,0.0,0.0,0.0,0.25,36.04271370726526,2.123974153271652,3.8957513110645894,3.491361694
38,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0,1.0,0.0,0.0,0.0,0.0,0.6923076923076923,24.446801598491817,1.8356240554391323,2.5479865705990936,1.505149978
39,C(C(C(C(F)(F)F)(F)F)(F)F)O,0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,24.628238818145544,1.8483335453198617,2.4926568121424073,-0.259637311
40,C(C(C(C(F)(F)F)F)(F)F)O,0,1.0,0.0,0.0,0.0,0.0,1.0909090909090908,24.87738504556126,1.8440159989938614,2.410260498558798,-0.435333936
41,C(C(C(F)(F)Cl)(F)F)(F)Cl,0,1.0,0.0,0.0,0.0,0.0,1.1,16.935097375788107,1.6172521756325944,2.7344223510710783,0.770852012
42,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0,1.0,0.0,0.0,0.0,0.0,0.29411764705882354,30.12018453917068,1.9839765572031232,3.2677868380553625,3.612783857
43,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0,1.0,0.0,0.0,0.0,0.0,0.35714285714285715,24.197655371076102,1.8096798835528565,2.6398223650461357,3.414973348
