index,SMILE,HomoLumoGap,BCUT2D_LOGPLOW,MolMR,fr_halogen,IP,Chi1n,BCUT2D_CHGLO,Chi1v,BCUT2D_MRHI,BertzCT,GWP
0,C(C(F)(F)F)(C(F)(F)F)O,0.372,-2.4126542596660494,18.1168,6,0.423468673,1.9694425779644689,-2.1608973138098992,1.9694425779644689,4.7214933427267365,97.14178630198491,2.31386722
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.26959,-2.5104481621353467,26.197000000000003,8,0.381240875,2.6631020136964336,-2.257827409720573,2.6631020136964336,5.084874021519248,181.56037583136612,0.914871818
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.29259,-2.414519298704478,26.496,7,0.41355199,1.9200220975898659,-2.1907117469541904,2.7928936585338358,6.445862677856659,116.55169583620197,2.136720567
3,C(C(F)(F)Cl)(F)F,0.33465,-2.166818750282934,16.804000000000002,5,0.441424512,1.2920576245806386,-2.0194382790036265,1.6700220975898659,6.214862760702644,55.20035947603792,3.315970345
4,C(C(F)(F)F)(OC(F)F)Cl,0.31563,-2.2739341371363833,22.785,6,0.42667495,1.9816800356076627,-2.1214528707200495,2.4181158160796477,6.197367618955667,101.55641063961481,2.731588765
5,C(C(OC(F)F)(F)F)(F)Cl,0.32441,-2.3087636967218055,22.784999999999997,6,0.42450555,1.979337574175457,-2.143217938250827,2.415773354647442,6.1961778177549895,105.06618564394175,2.815577748
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0.38841,-2.6191429449697936,35.153,14,0.43546974,4.370496182456178,-2.346763322079888,4.370496182456178,4.8718853084712475,406.206341632289,4.012837225
7,C(Cl)Cl,0.29323,-1.239675309934736,16.573,2,0.414567615,0.5345224838248487,-1.423630359926603,1.6035674514745462,6.402082914730795,2.7548875021634682,1.049218023
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.29406,-2.72179151842364,47.43979999999999,15,0.37694324,5.504514704179313,-2.409826128768731,5.504514704179313,5.123985060500917,475.88392823301484,-0.347753659
9,C(F)Cl,0.32476,-1.2917636237575587,11.828000000000001,2,0.422616145,0.5345224838248487,-1.4245599463570835,1.0690449676496974,6.164307149697664,4.754887502163468,1.899820502
10,C(OC(OC(F)F)(F)F)(F)F,0.46278,-2.2903638926287893,19.125,6,0.452414836,2.1304888452080917,-2.137552771925395,2.1304888452080917,4.298520485666458,102.39502311613278,3.782472624
11,CC(F)(Cl)Cl,0.28849,-1.8973996756343587,21.218999999999998,3,0.40817283,1.066946709513841,-1.9229214633085416,1.8228756555322954,6.462127418128692,23.11941547876375,2.934498451
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.32379,-2.514562045302714,21.562000000000005,7,0.460778278,2.296482453282274,-2.2218004961788536,2.296482453282274,5.109735478328251,190.91694057588538,3.439332694
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.25182,-2.170977099348527,21.352000000000004,8,0.401892614,2.261857892036909,-2.0654532053331764,2.261857892036909,5.096681207634588,170.08384997862262,0.294466226
14,C(=C(/C(F)(F)F)\F)\F,0.26508,-2.061537263849502,16.354000000000003,5,0.387456284,1.5128219708492598,-1.97196577053317,1.5128219708492598,4.924843203332317,98.73163483668567,-0.463441557
15,C(=C(/F)\Cl)(\F)/Cl,0.24204,-1.519009263952686,20.948,4,0.34915741,1.0059289460184544,-1.7200639833049483,1.7618578920369088,6.36666616921448,59.617270614347476,-0.899629455
16,C(=C(\C(F)(F)F)/F)\F,0.26133,-2.061537263849502,16.354000000000003,5,0.38680363,1.5128219708492598,-1.97196577053317,1.5128219708492598,4.924843203332317,98.73163483668567,-0.928117993
17,C(=C(Cl)Cl)(Cl)Cl,0.22142,-1.4747103791520775,30.438000000000002,4,0.34069019,1.0059289460184544,-1.7548169939500275,2.5177868380553634,6.672996403618487,55.617270614347476,0.802089258
18,C(=C(Cl)Cl)(F)F,0.24667,-1.5208941768802193,20.948,4,0.34990958,1.0059289460184544,-1.7199008290337376,1.761857892036909,6.55505227571844,59.617270614347476,-1.677780705
19,C(=C(Cl)Cl)Cl,0.2316,-1.3339745863707673,25.642,3,0.34557732,0.8848574978400325,-1.639883105102577,2.077222224330472,6.578145152858433,42.854752972273346,-1.356547324
20,C(=C(F)F)(C(=C(F)F)F)F,0.2002,-1.7823602561123977,20.700000000000003,6,0.322808574,1.883893419027682,-1.8679238183306492,1.883893419027682,5.185783197366362,159.92449716458776,-2.397940009
21,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.25522,-2.3681330679713786,21.352000000000004,8,0.382938944,2.261857892036909,-2.157793498066284,2.261857892036909,5.075074089567837,193.59362498294954,-1.045757491
22,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.26111,-2.3681330679713786,21.352000000000004,8,0.381971942,2.261857892036909,-2.157793498066284,2.261857892036909,5.075074089567837,193.59362498294954,-0.991399828
23,C(=C(F)F)(C(F)(F)F)F,0.26608,-2.0775578506807855,16.405,6,0.385783705,1.6338934190276817,-1.9828417533284886,1.6338934190276817,4.980743378225076,125.72862410467503,-1.045757491
24,C(=C(F)F)(F)F,0.2841,-1.5603286407164803,11.458000000000002,4,0.367042484,1.0059289460184544,-1.6869329886781672,1.0059289460184544,4.768084780181795,55.617270614347476,-2.397940009
25,C(=C(F)F)(OC(F)(F)F)F,0.27597,-2.1091184942127117,17.490000000000002,6,0.369837428,1.7921417094915448,-2.0306786163563215,1.7921417094915448,4.801459278461895,141.56214348997952,-2.0
26,C(=C(F)F)F,0.28046,-1.4174403318879352,11.407000000000002,3,0.367537859,0.8848574978400325,-1.5937994876600856,0.8848574978400325,4.657656631095518,42.854752972273346,-2.301029996
27,C(=C/Cl)\C(F)(F)F,0.25117,-1.9868840157156187,21.048,4,0.380799562,1.4071730676779797,-1.9225551348989691,1.8436088481499644,6.249091150544497,72.73943005576992,0.588831726
28,C(=C/Cl)\F,0.25675,-1.1447994739191243,16.101,2,0.357129643,0.7697691138053182,-1.427262777373859,1.206204894277303,6.2473684076359906,21.219280948873624,-2.397940009
29,C(=C/F)\C(F)(F)F,0.27302,-1.9879396828534566,16.303,4,0.395292688,1.4071730676779797,-1.9176289922418381,1.4071730676779797,4.802383897846619,69.49431755793337,0.136720567
30,C(=C\C(F)(F)F)\C(F)(F)F,0.26327,-2.0680935384432977,21.25,6,0.418603578,2.044577021550641,-1.9933948441087153,2.044577021550641,4.931707369912586,109.66369253840436,0.318063335
31,C(=C\F)\C(F)(F)F,0.26707,-1.9879396828534566,16.303,4,0.394313412,1.4071730676779797,-1.9176289922418381,1.4071730676779797,4.802383897846619,69.49431755793337,-0.501689446
