index,SMILE,IP,FractionCSP3,SMR_VSA7,SlogP_VSA6,HomoLumoGap,VSA_EState8,fr_ketone_Topliss,fr_ketone,AvgIpc,EState_VSA6,GWP
0,C(C(F)(F)F)(C(F)(F)F)O,0.423468673,1.0,0.0,0.0,0.372,0.0,0,0,1.5894951972794726,0.0,2.31386722
1,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.381240875,0.6,12.40580956301666,12.40580956301666,0.26959,0.0,0,0,1.824142155395243,0.0,0.914871818
2,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,1.0,0.0,0.0,0.29259,0.0,0,0,1.6172521756325944,0.0,2.136720567
3,C(C(F)(F)Cl)(F)F,0.441424512,1.0,0.0,0.0,0.33465,0.0,0,0,1.3143204867061786,0.0,3.315970345
4,C(C(F)(F)F)(OC(F)F)Cl,0.42667495,1.0,0.0,0.0,0.31563,-3.5100694444444445,0,0,1.6021581478790754,0.0,2.731588765
5,C(C(OC(F)F)(F)F)(F)Cl,0.42450555,1.0,0.0,0.0,0.32441,-3.7435185185185196,0,0,1.6030516808031245,0.0,2.815577748
6,C(C(OC(OC(F)(F)F)(F)F)(F)F)(C(F)(F)F)(OC(F)(F)F)F,0.43546974,1.0,0.0,0.0,0.38841,0.0,0,0,2.0449870736049025,0.0,4.012837225
7,C(Cl)Cl,0.414567615,1.0,0.0,0.0,0.29323,0.0,0,0,0.9182958340544894,0.0,1.049218023
8,C(CO)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.37694324,1.0,0.0,0.0,0.29406,-2.0700941279289484,0,0,2.3544400769369576,0.0,-0.347753659
9,C(F)Cl,0.422616145,1.0,0.0,0.0,0.32476,0.0,0,0,0.9182958340544894,0.0,1.899820502
10,C(OC(OC(F)F)(F)F)(F)F,0.452414836,1.0,0.0,0.0,0.46278,-7.743055555555557,0,0,1.5309516064545026,0.0,3.782472624
11,CC(F)(Cl)Cl,0.40817283,1.0,0.0,0.0,0.28849,1.0516975308641978,0,0,0.7219280948873623,0.0,2.934498451
12,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.460778278,0.75,0.0,0.0,0.32379,0.0,0,0,1.8054722985800935,0.0,3.439332694
13,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,0.5,11.653747758836332,11.653747758836332,0.25182,0.0,0,0,1.801319709384139,0.0,0.294466226
14,C(=C(/C(F)(F)F)\F)\F,0.387456284,0.3333333333333333,12.156663335600946,12.156663335600946,0.26508,0.0,0,0,1.6203352658383443,0.0,-0.463441557
15,C(=C(/F)\Cl)(\F)/Cl,0.34915741,0.0,10.57211140292499,10.57211140292499,0.24204,0.0,0,0,1.3609640474436813,0.0,-0.899629455
16,C(=C(\C(F)(F)F)/F)\F,0.38680363,0.3333333333333333,12.156663335600946,12.156663335600946,0.26133,0.0,0,0,1.6203352658383443,0.0,-0.928117993
17,C(=C(Cl)Cl)(Cl)Cl,0.34069019,0.0,8.982936348315855,8.982936348315855,0.22142,0.0,0,0,1.3609640474436813,0.0,0.802089258
18,C(=C(Cl)Cl)(F)F,0.34990958,0.0,10.572111402924993,10.572111402924993,0.24667,0.0,0,0,1.3609640474436813,0.0,-1.677780705
19,C(=C(Cl)Cl)Cl,0.34557732,0.0,10.02667010303614,10.02667010303614,0.2316,0.0,0,0,1.3787834934861756,0.0,-1.356547324
