,ori_name,func_type,func_ratio,t,p,dataset,Y,Y_pred
0,16056N2,ori,,111,5e5,train,0.8247877955436707,0.8702436685562134
1,16056N2,ori,,111,1e7,train,4.377422332763672,4.778558731079102
2,16056N2,ori,,231,5e5,train,0.10995952785015106,0.11466681957244873
3,16056N2,ori,,231,1e7,train,1.6091549396514893,1.6416999101638794
4,16056N2,ori,,296,5e5,train,0.07019747793674469,0.041273653507232666
5,16056N2,ori,,296,1e7,train,1.130575180053711,1.1645808219909668
6,16056N2,single,half,111,5e5,train,0.7904661297798157,0.8890299201011658
7,16056N2,single,half,111,1e7,train,3.625225305557251,4.3426971435546875
8,16056N2,single,half,231,5e5,train,0.10167836397886276,0.06917917728424072
9,16056N2,single,half,231,1e7,train,1.3646206855773926,1.5694172382354736
10,16056N2,single,half,296,5e5,train,0.061769209802150726,0.11325019598007202
11,16056N2,single,half,296,1e7,train,0.9517337679862976,1.2238967418670654
12,16056N2,single,all,111,5e5,train,0.7913995385169983,0.8785924315452576
13,16056N2,single,all,111,1e7,train,3.127472400665283,3.261910915374756
14,16056N2,single,all,231,5e5,train,0.09937790781259537,0.07771557569503784
15,16056N2,single,all,231,1e7,train,1.219246745109558,1.2779607772827148
16,16056N2,single,all,296,5e5,train,0.05604803189635277,0.011072278022766113
17,16056N2,single,all,296,1e7,train,0.8454523682594299,0.8911879062652588
18,16056N2,two,half,111,5e5,train,0.734462559223175,0.761854350566864
19,16056N2,two,half,111,1e7,train,3.115550994873047,3.196786880493164
20,16056N2,two,half,231,5e5,train,0.09083594381809235,0.13077858090400696
21,16056N2,two,half,231,1e7,train,1.174790382385254,1.254364252090454
22,16056N2,two,half,296,5e5,train,0.05204927176237106,0.0050147175788879395
23,16056N2,two,half,296,1e7,train,0.8101080656051636,0.8632713556289673
24,16056N2,two,all,111,5e5,train,0.6386517882347107,0.6798332929611206
25,16056N2,two,all,111,1e7,train,2.41379714012146,2.179673910140991
26,16056N2,two,all,231,5e5,train,0.08317353576421738,0.1283717155456543
27,16056N2,two,all,231,1e7,train,0.9399781227111816,0.8637731075286865
28,16056N2,two,all,296,5e5,train,0.04364451393485069,0.03211379051208496
29,16056N2,two,all,296,1e7,train,0.6441628336906433,0.5752301216125488
30,21091N3,ori,,111,5e5,train,0.8243880867958069,0.766077995300293
31,21091N3,ori,,111,1e7,train,1.2576013803482056,1.9624325037002563
32,21091N3,ori,,231,5e5,train,0.0616661012172699,0.07005935907363892
33,21091N3,ori,,231,1e7,train,0.5328298211097717,0.626316487789154
34,21091N3,ori,,296,5e5,train,0.023728763684630394,-0.017615139484405518
35,21091N3,ori,,296,1e7,train,0.3076016902923584,0.35822466015815735
36,21091N3,single,half,111,5e5,train,0.28814181685447693,0.3831161856651306
37,21091N3,single,half,111,1e7,train,0.3944845497608185,0.47389137744903564
38,21091N3,single,half,231,5e5,train,0.0451151505112648,0.06190133094787598
39,21091N3,single,half,231,1e7,train,0.1914810985326767,0.2225016951560974
40,21091N3,single,half,296,5e5,train,0.014970330521464348,0.04267007112503052
41,21091N3,single,half,296,1e7,train,0.11688648164272308,0.15340575575828552
42,21091N3,single,all,111,5e5,train,0.0,0.24733951687812805
43,21091N3,single,all,111,1e7,train,0.0,0.2381725013256073
