,PLD,LCD,ASA,Density,VF,site,ratio,T,Y,Y_pred
0,16.76115,16.93456,1220.29,0.58249,0.7134,1,0.5,296,0.42204779314359475,0.4196938835084439
1,8.04952,10.02023,2285.61,0.519721,0.7318,2,1.0,111,0.18176068563234016,0.2198668122291565
2,43.92127,44.22159,741.502,0.242289,0.8722,0,0.0,296,2.534404639193658,2.5246321186423297
3,14.70511,15.41679,1283.08,0.552143,0.7238,1,1.0,111,0.581522993990383,0.7351530194282536
4,27.92619,28.32721,1229.18,0.49464,0.7694,2,0.5,231,0.4681183873754669,0.48824192583560944
5,28.43869,29.05122,975.006,0.376184,0.8074,2,1.0,296,0.240976357486918,0.2258877884596586
6,56.24885,56.39856,624.098,0.240713,0.8774,1,0.5,111,2.5841143556591764,2.5203937292099
7,10.14918,10.78469,1296.81,0.813581,0.5754,0,0.0,296,0.5277534164854063,0.5503515154123306
8,18.04379,18.22778,1204.99,0.561339,0.7092,1,1.0,296,0.30056353982136197,0.28419294580817217
9,17.80946,18.15626,1115.87,0.77486,0.6632,0,0.0,111,2.4392928095308752,2.461035072803497
10,5.93934,7.94221,1311.09,0.921233,0.5638,1,0.5,231,0.239139344167601,0.3288664780557155
11,18.97041,27.19302,1072.03,0.171077,0.9146,0,0.0,296,4.035577052383698,3.767525315284729
12,27.9177,28.17859,989.193,0.401406,0.7956,1,0.5,111,1.5285474492052997,1.7022884488105774
13,5.9308,7.61354,1705.95,0.715945,0.6226,1,0.5,231,0.3245958795464058,0.35652415454387665
14,13.88005,15.08539,1273.17,0.717263,0.6706,2,1.0,231,0.3334611536942406,0.3136415332555771
15,13.98506,14.58736,1308.58,0.671482,0.638,1,0.5,111,0.534264315316647,0.6988331079483028
16,5.66415,6.16039,877.867,1.01261,0.4652,2,0.5,111,0.02496980495266421,0.0849051773548126
17,4.04298,5.26001,1266.76,1.03682,0.5036,1,1.0,231,0.1491882903187016,0.14688389748334887
18,13.89447,14.16961,1360.37,0.659957,0.659,0,0.0,296,0.7822756664686351,0.7787754610180855
19,10.32219,11.16891,1382.33,0.751486,0.6062,1,0.5,231,0.3819142253523668,0.42645082622766495
20,17.011,17.20752,1184.3,0.586624,0.7242,2,1.0,231,0.31618187980940116,0.33271056786179537
21,9.25945,9.46302,1229.41,0.832544,0.5424,2,0.5,296,0.1303722390455849,0.14671843871474272
22,17.6374,17.92327,1235.28,0.53257,0.7152,1,0.5,296,0.4283451827118563,0.42166191712021833
23,17.84961,18.82862,1771.96,0.421138,0.8194,2,0.5,111,1.842072736105869,1.5718095302581792
24,15.25916,15.76505,1234.89,0.620781,0.6884,0,0.0,231,1.129116144915337,1.1229352951049802
25,31.02221,31.22738,1069.07,0.51396,0.7444,0,0.0,111,3.590283203465461,3.534692108631134
