Pressure,uptake,error
1.00E-04,6.826823e-05,3.315780e-05
5.00E-04,1.267839e-04,1.035352e-04
1.00E-03,3.803516e-04,1.624394e-04
5.00E-03,2.067552e-03,2.112319e-04
1.00E-02,3.759629e-03,7.154585e-04
5.00E-02,2.054386e-02,2.430529e-03
1.00E-01,4.026851e-02,1.890116e-03
2.00E-01,7.533400e-02,3.246418e-03
3.00E-01,1.223611e-01,8.954489e-03
4.00E-01,1.508679e-01,1.066708e-02
5.00E-01,1.888397e-01,1.505796e-02
6.00E-01,2.291082e-01,2.497651e-02
7.00E-01,2.639835e-01,2.053147e-02
8.00E-01,3.092112e-01,2.956610e-02
9.00E-01,3.423311e-01,1.765650e-02
1.00E+00,3.758654e-01,3.086521e-02
2.00E+00,7.079172e-01,4.520170e-02
3.00E+00,1.004455e+00,4.705033e-02
4.00E+00,1.265405e+00,9.784139e-02
5.00E+00,1.493080e+00,2.094306e-02
6.00E+00,1.664145e+00,6.310049e-02
7.00E+00,1.934063e+00,8.752627e-02
8.00E+00,2.080977e+00,7.039072e-02
9.00E+00,2.299728e+00,9.778821e-02
1.00E+01,2.352411e+00,1.354764e-01
2.00E+01,3.686392e+00,7.286046e-02
3.00E+01,4.644444e+00,1.205565e-01
4.00E+01,5.412447e+00,1.029750e-01
5.00E+01,6.212073e+00,1.047748e-01
6.00E+01,6.946283e+00,6.418782e-02
7.00E+01,7.708459e+00,1.182308e-01
8.00E+01,8.347079e+00,1.915076e-01
9.00E+01,9.086858e+00,1.060349e-01
1.00E+02,9.770150e+00,1.613445e-01
2.00E+02,1.716288e+01,1.463812e-01
3.00E+02,2.568177e+01,1.819759e-01
4.00E+02,3.306621e+01,2.408114e-01
5.00E+02,3.843889e+01,5.848457e-01
6.00E+02,4.262021e+01,4.703897e-01
7.00E+02,4.965183e+01,1.707427e+00
8.00E+02,5.612738e+01,1.291977e+00
9.00E+02,5.991345e+01,4.983150e-01
1.00E+03,6.230868e+01,5.633276e-01
1.50E+03,6.794061e+01,1.799177e-01
2.00E+03,6.895111e+01,5.167528e-01
2.50E+03,6.994884e+01,5.529724e-01
3.00E+03,7.120057e+01,4.879460e-01
3.50E+03,7.180654e+01,3.479675e-01
4.00E+03,7.176378e+01,4.408265e-01
4.50E+03,7.213583e+01,1.801082e-01
5.00E+03,7.247159e+01,3.055251e-01
5.50E+03,7.285759e+01,1.843590e-01
6.00E+03,7.289339e+01,3.522588e-01
6.50E+03,7.353591e+01,4.081991e-01
7.00E+03,7.342806e+01,3.063786e-01
7.50E+03,7.339377e+01,2.109770e-01
8.00E+03,7.353179e+01,4.768161e-01
8.50E+03,7.393107e+01,3.857248e-01
9.00E+03,7.423810e+01,4.335951e-01
9.50E+03,7.474731e+01,3.548514e-01
1.00E+04,7.409792e+01,2.247891e-01
1.50E+04,7.498273e+01,2.147330e-01
2.00E+04,7.551982e+01,4.002490e-01
2.50E+04,7.649195e+01,5.397139e-01
3.00E+04,7.656519e+01,1.634300e-01
3.50E+04,7.673987e+01,3.647243e-01
4.00E+04,7.757427e+01,3.480680e-01
4.50E+04,7.704600e+01,5.709293e-01
5.00E+04,7.760988e+01,5.239804e-01
5.50E+04,7.755838e+01,3.670500e-01
6.00E+04,7.762524e+01,5.295975e-01
6.50E+04,7.767612e+01,9.867628e-02
7.00E+04,7.775376e+01,6.700727e-01
7.50E+04,7.827478e+01,5.275996e-01
8.00E+04,7.805762e+01,4.676073e-01
8.50E+04,7.862274e+01,1.364918e-01
9.00E+04,7.874930e+01,3.946167e-01
9.50E+04,7.857911e+01,7.129435e-01
1.00E+05,7.867258e+01,5.203640e-01
