Pressure,uptake,error
1.00E-04,1.452055e-04,9.252160e-05
5.00E-04,7.411980e-04,2.846785e-04
1.00E-03,1.274340e-03,3.433232e-04
5.00E-03,5.715026e-03,4.176975e-03
1.00E-02,1.158393e-02,5.397406e-03
5.00E-02,4.762305e-02,3.647202e-03
1.00E-01,8.810720e-02,1.379022e-02
2.00E-01,1.602201e-01,8.176881e-03
3.00E-01,2.008928e-01,9.969621e-03
4.00E-01,2.896069e-01,3.664231e-02
5.00E-01,3.351884e-01,3.608985e-02
6.00E-01,3.521471e-01,1.777194e-02
7.00E-01,4.150492e-01,3.095968e-02
8.00E-01,4.451479e-01,3.138881e-02
9.00E-01,5.114483e-01,4.540789e-02
1.00E+00,5.316145e-01,3.799348e-02
2.00E+00,8.746613e-01,3.499884e-02
3.00E+00,1.180544e+00,4.809847e-02
4.00E+00,1.466246e+00,5.338390e-02
5.00E+00,1.767998e+00,6.275879e-02
6.00E+00,1.965781e+00,2.935625e-02
7.00E+00,2.191222e+00,2.720548e-02
8.00E+00,2.464360e+00,1.051690e-01
9.00E+00,2.630726e+00,4.673906e-02
1.00E+01,2.916798e+00,1.415064e-01
2.00E+01,4.708501e+00,7.472542e-02
3.00E+01,6.269674e+00,7.451484e-02
4.00E+01,7.496713e+00,1.336166e-01
5.00E+01,8.482525e+00,1.337367e-01
6.00E+01,9.445116e+00,1.120333e-01
7.00E+01,1.024159e+01,1.241300e-01
8.00E+01,1.086339e+01,1.150224e-01
9.00E+01,1.150395e+01,1.868517e-01
1.00E+02,1.206547e+01,8.934889e-02
2.00E+02,1.619430e+01,1.001456e-01
3.00E+02,1.929272e+01,1.720754e-01
4.00E+02,2.203518e+01,1.890301e-01
5.00E+02,2.457555e+01,1.767613e-01
6.00E+02,2.710513e+01,1.545510e-01
7.00E+02,2.966734e+01,3.495166e-01
8.00E+02,3.116499e+01,
9.00E+02,3.415579e+01,
1.00E+03,3.623474e+01,2.683329e-01
5.00E+03,7.227268e+01,3.462341e-01
1.00E+04,8.869117e+01,3.148811e-01
2.00E+04,9.092195e+01,4.288776e-01
3.00E+04,9.201546e+01,2.837542e-01
4.00E+04,9.286595e+01,2.886616e-01
5.00E+04,9.344500e+01,2.060969e-01
6.00E+04,9.362681e+01,3.857966e-01
7.00E+04,9.419344e+01,4.115116e-01
8.00E+04,9.481204e+01,1.362354e-01
9.00E+04,9.479746e+01,3.473670e-01
1.00E+05,9.508137e+01,1.123724e-01
