Pressure,uptake,error
1.00E-04,1.137804e-04,6.843098e-05
5.00E-04,6.436719e-04,2.249777e-04
1.00E-03,1.316602e-03,2.450755e-04
5.00E-03,6.852830e-03,7.001337e-04
1.00E-02,1.289945e-02,1.811896e-03
5.00E-02,6.077498e-02,1.375096e-02
1.00E-01,1.161763e-01,1.450943e-02
2.00E-01,1.967653e-01,1.538801e-02
3.00E-01,3.008581e-01,3.023405e-02
4.00E-01,3.536522e-01,3.104890e-02
5.00E-01,4.360812e-01,2.482135e-02
6.00E-01,4.718635e-01,4.264174e-02
7.00E-01,5.160688e-01,2.576209e-02
8.00E-01,6.108349e-01,2.246947e-02
9.00E-01,6.678746e-01,2.927982e-02
1.00E+00,6.697081e-01,5.170561e-02
2.00E+00,1.130379e+00,3.589879e-02
3.00E+00,1.474964e+00,1.464769e-02
4.00E+00,1.719960e+00,7.186012e-02
5.00E+00,1.949003e+00,1.643469e-01
6.00E+00,2.209417e+00,5.877060e-02
7.00E+00,2.383862e+00,6.927612e-02
8.00E+00,2.549360e+00,8.638624e-02
9.00E+00,2.790422e+00,1.070761e-01
1.00E+01,2.948560e+00,4.210601e-02
2.00E+01,4.069027e+00,7.919644e-02
3.00E+01,4.834591e+00,8.338351e-02
4.00E+01,5.524584e+00,8.112492e-02
5.00E+01,6.084770e+00,9.452747e-02
6.00E+01,6.641722e+00,5.426375e-02
7.00E+01,7.192413e+00,8.395415e-02
8.00E+01,7.751910e+00,5.003181e-02
9.00E+01,8.241075e+00,5.748454e-02
1.00E+02,8.769757e+00,1.024516e-01
2.00E+02,1.398632e+01,1.897240e-01
3.00E+02,1.964789e+01,3.724307e-01
4.00E+02,2.666295e+01,6.135381e-01
5.00E+02,3.430583e+01,3.340651e-01
6.00E+02,4.185074e+01,3.743213e-01
7.00E+02,4.706412e+01,5.759639e-01
8.00E+02,4.990925e+01,5.459694e-01
9.00E+02,5.350929e+01,
1.00E+03,5.443971e+01,3.912708e-01
5.00E+03,7.668212e+01,2.668422e-01
1.00E+04,7.891949e+01,8.344805e-02
2.00E+04,8.039390e+01,6.074876e-01
3.00E+04,8.147622e+01,3.431840e-01
4.00E+04,8.195247e+01,1.394443e-01
5.00E+04,8.227022e+01,2.935122e-01
6.00E+04,8.246073e+01,4.840152e-01
7.00E+04,8.275959e+01,3.606365e-01
8.00E+04,8.325930e+01,4.203314e-01
9.00E+04,8.363907e+01,2.315985e-01
1.00E+05,8.380549e+01,1.442848e-01
