Pressure,uptake,error
1.00E-04,3.250868e-05,4.035839e-05
5.00E-04,8.452258e-05,6.120653e-05
1.00E-03,2.210590e-04,1.350650e-04
5.00E-03,9.622570e-04,1.726471e-04
1.00E-02,2.327622e-03,5.567410e-04
5.00E-02,1.068235e-02,9.912895e-04
1.00E-01,2.181333e-02,5.452118e-04
2.00E-01,4.496601e-02,5.872111e-04
3.00E-01,6.303434e-02,5.892809e-03
4.00E-01,8.603748e-02,7.904662e-03
5.00E-01,1.088781e-01,7.518119e-03
6.00E-01,1.227268e-01,5.369896e-03
7.00E-01,1.486297e-01,1.324868e-02
8.00E-01,1.704950e-01,8.382147e-03
9.00E-01,1.894216e-01,1.539331e-02
1.00E+00,2.190890e-01,1.407503e-02
2.00E+00,4.212605e-01,4.601212e-02
3.00E+00,5.923732e-01,4.835983e-02
4.00E+00,7.526930e-01,2.632927e-02
5.00E+00,8.805497e-01,5.911868e-02
6.00E+00,1.074022e+00,6.286096e-02
7.00E+00,1.243971e+00,6.578479e-02
8.00E+00,1.349962e+00,3.068581e-02
9.00E+00,1.455680e+00,7.321326e-02
1.00E+01,1.617112e+00,1.145544e-01
2.00E+01,2.721946e+00,5.356428e-02
3.00E+01,3.570962e+00,1.189945e-01
4.00E+01,4.476771e+00,1.430700e-01
5.00E+01,5.115098e+00,1.595664e-01
6.00E+01,5.954745e+00,1.507268e-01
7.00E+01,6.715839e+00,1.649983e-01
8.00E+01,7.524122e+00,1.803098e-01
9.00E+01,8.005120e+00,1.107667e-01
1.00E+02,8.730389e+00,2.469681e-01
2.00E+02,1.526216e+01,4.789204e-01
3.00E+02,2.129622e+01,1.469628e-01
4.00E+02,2.705211e+01,4.708439e-01
5.00E+02,3.261166e+01,3.559533e-01
6.00E+02,3.794965e+01,1.412814e+00
7.00E+02,4.338530e+01,1.410332e+00
8.00E+02,4.761294e+01,8.071301e-01
9.00E+02,4.949234e+01,7.767253e-01
1.00E+03,5.153296e+01,5.190588e-01
5.00E+03,6.845529e+01,4.124242e-01
1.00E+04,8.576786e+01,3.661918e-01
2.00E+04,8.828116e+01,3.203658e-01
3.00E+04,8.925546e+01,2.923267e-01
4.00E+04,9.023229e+01,4.742179e-01
5.00E+04,9.043537e+01,4.360892e-01
6.00E+04,9.114193e+01,7.702256e-01
7.00E+04,9.112044e+01,5.883742e-01
8.00E+04,9.209755e+01,9.110586e-01
9.00E+04,9.149598e+01,1.870656e-01
1.00E+05,9.177081e+01,6.224309e-01
